Organism,Count
Parabacteroides goldsteinii,4
Eikenella corrodens,4
Bacteroides salyersiae,4
Salmonella Typhi,4
Peptococcus species,4
Anaerobic diphtheroids,4
Trichophyton rubrum complex,4
Neisseria meningitidis,4
Acinetobacter ursingii,4
Prevotella denticola,4
Vibrio alginolyticus,4
Curvularia species,4
Pseudomonas stutzeri,4
Streptobacillus moniliformis,4
Dermacoccus species,4
Acinetobacter lwoffii,4
"Streptococcus, group D",4
Peptostreptococcus micros,4
Alistipes finegoldii,4
Candida norvegensis,3
Citrobacter amalonaticus complex,3
Salmonella kentucky,3
Candida glabrata complex,3
Capnocytophaga sputigena,3
Rothia koreensis,3
Saccharomyces species,3
Edwardsiella tarda,3
Pediococcus acidilactici,3
Proteus hauseri,3
Desulfovibrio species,3
Rapid growing mycobacteria,3
Dermabacter hominis,3
Ralstonia picketti,3
Prevotella nigrescens,3
Nocardia beijingensis,3
Candida duobushaemulonii,3
Cryptococcus species,3
Blastoschizomyces capitatus,3
Lysinibacillus species,3
Helcococcus kunzii,3
Campylobacter species,3
Morganella species,3
Bacteroides nordii,3
Gleimia europaea,3
Streptococcus gallolyticus,3
Mycobacterium gordonae,3
Aerococcus species,3
Leuconostoc lactis,3
Microbacterium species,3
Weissella confusa,3
Clostridium paraputrificum,2
Cryptococcus curvatus,2
Clostridium cadaveris,2
Corynebacterium oculi,2
Pseudoclavibacter,2
"Streptococcus, group F",2
Actinomyces neuii,2
Rahnella aquatilis,2
Achromobacter insolitus,2
Corynebacterium aurimucosum,2
Aerococcus urinae,2
Pseudomonas putida group,2
Vibrio species,2
Streptococcus suis,2
Ralstonia species,2
Achromobacter denitrificans,2
Arthrobacter cumminsii,2
Brachybacterium species,2
Sphingobacterium species,2
Campylobacter jejuni subsp. Jejuni,2
Candida utilis,2
Staphylococcus pettenkoferi,2
Scedosporium apiospermum,2
Salmonella typhimurium,2
Chaetomium species,2
Staphylococcus sciuri,2
Arthrobacter species,2
Bifidobacterium breve,2
Citrobacter braakii,2
Bacteroides stercoris,2
Streptococcus gallolyticus subspecies gallolyticus,2
Streptococcus infantarius,2
Rothia species,2
Clostridium bartlettii,2
Bacteroides cellulosilyticus,2
Corynebacterium afermentans,2
Microbacterium paraoxydans,2
Enterococcus thailandicus,2
Kazachstania telluris,2
Pasteurella species,2
Dysgonomonas gadei,2
Klebsiella pneumoniae subsp. Ozaenae,2
Kocuria palustris,2
Photobacterium damselae subsp damselae,2
Dermabacter species,2
Paenibacillus glucanolyticus,2
Delftia species,2
Cyberlindnera fabianii,2
Prevotella heparinolytica,2
Fusobacterium nucleatum,2
Acidaminococcus intestini,2
Elizabethkingia miricola,2
Nocardia farcinica,2
Prevotella oralis,2
Fungus,2
Eubacterium limosum,2
Propionibacterium granulosum,2
Escherichia fergusonii,2
Bacteroides xylanisolvens,1
Streptococcus lutetiensis,1
Bifidobacterium longum,1
Mycobacterium terrae complex,1
Atopobium parvulum,1
Helcococcus ovis,1
Bacillus simplex,1
Hanseniaspora uvarum,1
Stenotrophomonas species,1
Bacteroides coagulans,1
Bifidobacterium adolescentis,1
Mycobacterium mageritense,1
Haemophilus paraphrophilus,1
Graphium species,1
"Beta-haemolytic streptococcus, non-Group A, non-Group B",1
Streptococcus gordonii,1
Gram-negative cocci,1
Microsporum species,1
Basidiobolus species,1
Mycobacterium fortuitum,1
Fusobacterium ulcerans,1
Gardnerella vaginalis,1
Cryptococcus laurentii,1
Streptococcus pseudopneumoniae,1
Trichosporon inkin,1
Lactococcus lactis,1
Lactobacillus johnsonii,1
Leclercia adecarboxylata,1
Vibrio furnissii,1
Acremonium species,1
"Vibrio cholerae, non-O1/non-O139",1
Legionella pneumophila,1
Actinobaculum schaalii,1
Veillonella parvula,1
Veillonella dispar,1
Turicibacter sanguinis,1
Trueperella bernardiae,1
Lactobacillus jensenii,1
Actinomyces neuii ss neuii,1
Actinomyces radingae,1
Histoplasma capsulatum,1
Leptotrichia trevisanii,1
Leuconostoc mesenteroides,1
Lactobacillus gasseri,1
Trichophyton mentagrophytes,1
Trichoderma species,1
Aerococcus viridans,1
Sutterella species,1
Limosilactobacillus species,1
Aggregatibacter segnis,1
Kytococcus schroeteri,1
Aggregatibacter species,1
Agromyces mediolanus,1
Abiotrophia species,1
Faecalitalea cylindroides,1
Flavonifractor plautii,1
Neisseria flavescens,1
Exophiala species,1
Pseudomonas nitroreducens,1
Peptostreptococcus stomatis,1
Clostridium disporicum,1
Rhizomucor species,1
Clostridium hathewayi,1
Raoultella ornithinolytica,1
Pichia norvegensis,1
Clostridium symbiosum,1
Purpureocillium lilacinum,1
Cutibacterium species,1
Comamonas kerstersii,1
Lactococcus garvieae,1
Pseudomonas otitidis,1
Pseudomonas oryzihabitans,1
Pseudomonas mosselii,1
Brevibacterium ravenspurgense,1
Curtobacterium species,1
Pseudomonas koreensis,1
Corynebacterium glucuronolyticum,1
Pseudomonas citronellolis,1
Prevotella loescheii,1
Cupriavidus pauculus,1
Corynebacterium kroppenstedtii,1
Corynebacterium macginleyi,1
Corynebacterium minutissimum,1
Prototheca species,1
Prevotella nanceiensis,1
Corynebacterium propinquum,1
Cronobacter sakazakii group,1
Clostridium bifermentans,1
Roseomonas mucosa,1
Peptoniphilus gorbachii,1
Rothia dentocariosa,1
Staphylococcus pseudintermedius,1
Exophiala jeanselmei,1
Brevibacterium species,1
Burkholderia cenocepacia,1
Mycoplasma species,1
Campylobacter fetus,1
Neisseria subflava,1
Nocardia asteroides,1
Shewanella putrefaciens,1
Candida zeylanoides,1
Capnocytophaga gingivalis,1
Enterococcus cecorum,1
Scopulariopsis species,1
Ochrobactrum intermedium,1
Enterocloster clostridioformis,1
Cetobacterium somerae,1
Chrysosporium species,1
Paenibacillus species,1
Paenibacillus urinalis,1
Paeniclostridium sordellii,1
Enterobacter asburiae,1
Citrobacter farmeri,1
Pantoea agglomerans,1
Parabacteroides merdae,1
Cladosporium species,1
Ruminococcus gnavus,1
Pasteurella multocida,1
Acinetobacter schindleri,1
