Organism,Count
Aspergillus fumigatus complex,85
Parvimonas micra,84
Non-fermentative Gram-negative bacilli,82
Mycobacterium kansasii,80
Leuconostoc species,78
Moraxella species,76
Salmonella species,76
Prevotella intermedia,73
Parabacteroides distasonis,73
Saccharomyces cerevisiae,72
Finegoldia magna,72
Trichophyton rubrum,69
Granulicatella adiacens,66
Corynebacterium amycolatum,64
Serratia marcescens complex,63
Clostridium ramosum,62
Elizabethkingia anophelis,61
Acinetobacter junii,59
Enterobacter hormaechei,59
Aeromonas caviae,58
Bacteroides ovatus,57
Streptococcus parasanguinis,56
Mycobacterium fortuitum complex,56
Fusobacterium varium,55
Streptococcus gallolyticus,54
Plesiomonas shigelloides,53
Streptococcus oralis,52
Alcaligenes faecalis,51
Micrococcus luteus,50
Providencia rettgeri,49
Peptostreptococcus anaerobius,49
Kluyvera species,48
Sphingomonas species,48
Clostridium innocuum,48
Streptococcus salivarius,48
Gemella species,47
Streptococcus sanguinis,46
Salmonella Typhi,45
Shewanella algae,44
Streptococcus mitis,44
Listeria monocytogenes,43
Bacillus cereus,42
Staphylococcus warneri,42
Rhizopus species,41
"Streptococcus, group C",41
Pseudomonas putida,39
Haemophilus parahaemolyticus,39
Chryseobacterium gleum,38
Fusobacterium mortiferum,38
Prevotella buccae,37
Prevotella melaninogenica,37
Corynebacterium tuberculostearicum,36
Ochrobactrum species,35
Bacteroides uniformis,35
Gram-positive coccobacilli,34
Bifidobacterium species,34
Enterococcus hirae,33
Lactobacillus fermentum,33
Pseudomonas putida group,33
Legionella pneumophila serogroup 1,32
Alcaligenes species,32
Lactobacillus salivarius,32
Actinomyces odontolyticus,31
Pichia norvegensis,31
Candida norvegensis,31
Aspergillus niger,30
Arcanobacterium haemolyticum,30
Aeromonas veronii,30
Aeromonas sobria,29
Streptococcus gordonii,28
Streptococcus suis,28
Mycobacterium chelonae,26
Acinetobacter bereziniae,26
Lactococcus species,26
Nocardia species,26
Gemella morbillorum,25
Neisseria meningitidis,25
Clostridium tertium,25
Pichia species,25
Lactobacillus rhamnosus,24
Ralstonia mannitolilytica,23
Citrobacter amalonaticus complex,23
Haemophilus haemolyticus,23
Acinetobacter ursingii,23
Pediococcus species,23
Mycoplasma hominis,23
Beta-haemolytic streptococcus,23
Lactobacillus paracasei,23
Aspergillus flavus complex,23
Raoultella species,23
Capnocytophaga species,22
Salmonella group E,22
Clavispora lusitaniae,22
Corynebacterium resistens,22
Carbapenem resistant Acinetobacter baumannii,22
Slackia exigua,22
Malassezia pachydermatis,22
Peptoniphilus species,22
Campylobacter coli,21
Kluyveromyces marxianus,21
Dermabacter hominis,21
Peptoniphilus harei,21
Pseudomonas stutzeri,20
Actinomyces turicensis,20
Salmonella london,20
Raoultella planticola,19
Bacteroides pyogenes,19
Proteus penneri,19
Bacteroides caccae,19
Rothia species,19
Salmonella typhimurium,19
Pantoea species,19
Candida nivariensis,19
Brevibacterium species,19
Eikenella corrodens,18
Delftia acidovorans,18
Staphylococcus saccharolyticus,18
Trichosporon mucoides,18
Penicillium species,18
Aspergillus terreus,18
Eubacterium species,18
Prevotella nigrescens,18
Rhodotorula species,18
Citrobacter amalonaticus,18
Clostridium paraputrificum,17
Trichophyton rubrum complex,17
Campylobacter jejuni,17
Aeromonas veronii biovar sobria,17
Edwardsiella tarda,16
Ralstonia picketti,16
Lodderomyces elongisporus,16
Legionella pneumophila,16
Cyberlindnera fabianii,16
Abiotrophia defectiva,16
Aspergillus niger complex,16
Anaerobic diphtheroids,16
Anaerobic Gram-negative cocci,16
Peptostreptococcus micros,15
Kocuria species,15
Campylobacter jejuni subsp. Jejuni,15
Streptococcus gallolyticus subspecies gallolyticus,15
Vibrio parahaemolyticus,15
Shewanella putrefaciens,15
Proteus hauseri,15
Moraxella osloensis,15
Prevotella denticola,15
"Mycobacterium, non-TB",15
Cryptococcus species,15
Malassezia species,14
Malassezia furfur,14
Pasteurella multocida,14
Bacteroides salyersiae,14
Aerococcus urinae,14
Leuconostoc lactis,14
Citrobacter braakii,14
Lactobacillus,14
Pluralibacter gergoviae,14
Lactococcus garvieae,13
"Vibrio cholerae, non-O1/non-O139",13
Vibrio fluvialis,13
Scedosporium inflatum,13
Aerococcus species,13
Fusobacterium nucleatum,13
Exophiala dermatitidis,13
Candida famata,13
Absidia corymbifera,13
Hafnia alvei,13
Microbacterium species,13
Prevotella oralis,13
Ochrobactrum anthropi,13
"Streptococcus, group D",13
Citrobacter youngae,13
Anaerococcus species,12
Mycobacterium gordonae,12
Capnocytophaga sputigena,12
Lactobacillus gasseri,12
Veillonella parvula,12
Fusobacterium necrophorum,12
Mycobacterium mageritense,11
Weissella confusa,11
Corynebacterium minutissimum,11
Gardnerella vaginalis,11
Aggregatibacter actinomycetemcomitans,11
Geotrichum species,11
Edwardsiella species,11
Actinotignum species,11
Enterococcus cecorum,11
Rhodotorula rubra,11
Mucor species,11
Eubacterium limosum,10
Paenibacillus species,10
Saccharomyces species,10
Exophiala species,10
Bacillus cereus group not Bacillus anthracis,10
Pseudomonas mendocina,10
Bacteroides nordii,10
Clostridium sporogenes,10
Paenibacillus lautus,10
Vibrio alginolyticus,10
Enterococcus thailandicus,10
Campylobacter species,10
Trichophyton species,10
Bordetella bronchiseptica,10
Salmonella derby,10
Pseudomonas fluorescens,10
Eubacterium aerofaciens,10
Staphylococcus saprophyticus,9
Acinetobacter haemolyticus,9
Bacteroides stercoris,9
Clostridium saudiense,9
Corynebacterium simulans,9
Propionibacterium granulosum,9
Prevotella heparinolytica,9
Parabacteroides goldsteinii,9
Chryseobacterium arthrosphaerae,9
Rapid growing mycobacteria,9
Corynebacterium macginleyi,9
Acremonium species,9
Bilophila wadsworthia,9
Bifidobacterium longum,9
Comamonas kerstersii,9
Mycobacterium fortuitum,9
Bacillus licheniformis,9
Dialister pneumosintes,9
Prevotella disiens,8
Attenuated Mycobacterium bovis,8
Haemophilus influenzae type B,8
Ochrobactrum intermedium,8
Streptococcus mutans,8
Candida glabrata complex,8
Cupriavidus gilardii,8
Salmonella rissen,8
Enterocloster clostridioformis,8
Burkholderia gladioli,8
Bacteroides eggerthii,8
Pseudomonas mosselii,8
Corynebacterium pseudodiphtheriticum,8
Comamonas species,8
Campylobacter fetus,7
Aggregatibacter aphrophilus,7
Fungus,7
Parabacteroides gordonii,7
Pseudomonas otitidis,7
Staphylococcus pseudintermedius,7
Trueperella bernardiae,7
Mycobacterium obuense,7
Bifidobacterium breve,7
Delftia species,7
Parabacteroides merdae,7
Schizophyllum commune,7
Roseomonas species,7
Trichosporon japonicum,7
Corynebacterium aurimucosum,7
Curvularia species,7
Staphylococcus cohnii,7
Corynebacterium coyleae,7
Staphylococcus simulans,7
Citrobacter farmeri,7
Gleimia europaea,7
Rhizobium radiobacter,7
Aeromonas hydrophila complex,6
Gordonia species,6
Streptococcus vestibularis,6
Atopobium parvulum,6
Raoultella ornithinolytica,6
Limosilactobacillus species,6
Actinomyces neuii ss neuii,6
Tsukamurella species,6
Candida rugosa,6
Histoplasma capsulatum,6
Corynebacterium propinquum,6
Clostridium hathewayi,6
Elizabethkingia miricola,6
Tsukamurella pulmonis,6
Solobacterium moorei,6
Absidia species,6
Haemophilus species,6
Candida fabianii,6
Pandoraea pnomenusa,6
Gram-negative coccobacilli,6
Fungal Hyphae,6
Candida duobushaemulonii,6
Peptococcus species,5
Myroides species,5
Nocardia farcinica,5
Brevibacillus parabrevis,5
Mycobacterium xenopi,5
Streptococcus canis,5
Campylobacter rectus,5
Pantoea piersonii,5
Mycobacterium paragordonae,5
Leclercia adecarboxylata,5
Streptococcus infantarius,5
Staphylococcus pettenkoferi,5
Aeromonas caviae complex,5
Actinotignum schaalii,5
Parabacteroides species,5
Neisseria subflava,5
Nocardia asteroides,5
Catabacter hongkongensis,5
Lactobacillus delbrueckii,5
Acinetobacter lwoffii,5
Turicibacter sanguinis,5
Bacteroides cellulosilyticus,5
Ralstonia species,5
Escherichia fergusonii,5
Corynebacterium afermentans,5
Vibrio furnissii,5
Kocuria rhizophila,5
Dermacoccus species,5
Atopobium rimae,5
Cutibacterium species,5
Salmonella Paratyphi A,5
Cupriavidus species,5
Rothia dentocariosa,4
Mycobacterium lentiflavum,4
Aerococcus sanguinicola,4
Brachybacterium species,4
Trichosporon cutaneum,4
Mycobacterium chelonae complex,4
Clostridium disporicum,4
Trichosporon inkin,4
Anaerococcus vaginalis,4
Acidaminococcus intestini,4
Paenibacillus urinalis,4
Fusobacterium gonidiaformans,4
Flavonifractor plautii,4
Desulfovibrio species,4
Purpureocillium lilacinum,4
Streptobacillus moniliformis,4
Pandoraea species,4
Ruminococcus gnavus,4
Vagococcus species,4
Enterococcus durans,4
Campylobacter gracilis,4
Bacteroides massiliensis,4
Bacteroides intestinalis,4
Acinetobacter johnsonii,4
Bifidobacterium adolescentis,4
Brevibacillus species,4
Leptotrichia trevisanii,4
Cetobacterium somerae,4
Alistipes species,4
Chaetomium species,4
Brevundimonas diminuta,4
Actinomyces radingae,4
Pediococcus acidilactici,4
Lactobacillus acidophilus,4
Candida utilis,4
"Streptococcus, group F",4
Klebsiella pneumoniae subsp. Ozaenae,4
Prevotella loescheii,4
nontoxigenic Corynebacterium diphtheriae,4
Meyerozyma guilliermondii complex,4
Prevotella oris,4
Propionimicrobium lymphophilum,4
Alistipes finegoldii,4
Trichophyton mentagrophytes,4
Helcococcus kunzii,4
Sphingobacterium species,4
Prevotella timonensis,3
Propionibacterium avidum,3
Peptostreptococcus stomatis,3
Pantoea dispersa,3
Salmonella kentucky,3
Arthrobacter cumminsii,3
Alistipes onderdonkii,3
Porphyromonas species,3
Nocardia beijingensis,3
Blastoschizomyces capitatus,3
Scedosporium apiospermum complex,3
Rothia koreensis,3
Pseudomonas guariconensis,3
Bacteroides xylanisolvens,3
Rhodococcus hoagii,3
Oligella urethralis,3
Paeniclostridium sordellii,3
Scedosporium apiospermum,3
Pasteurella species,3
Paecilomyces species,3
Candida haemulonii,3
Abiotrophia species,3
Vibrio species,3
Clostridium glycolicum,3
Clostridium cadaveris,3
Morganella species,3
Candida kefyr,3
Lactococcus lactis,3
Candida lipolytica,3
Vibrio harveyi,3
Streptococcus iniae,3
Actinomyces urogenitalis,3
Lysinibacillus species,3
Acinetobacter variabilis,3
Streptococcus lutetiensis,3
Corynebacterium accolens,3
Globicatella species,3
Veillonella atypica,3
Kytococcus schroeteri,3
Eggerthella species,3
Lactobacillus johnsonii,3
Mycobacterium neoaurum,3
Helcococcus species,3
Actinomyces naeslundii,3
Achromobacter insolitus,3
Clostridium symbiosum,3
Kluyvera georgiana,3
Aerococcus viridans,3
Corynebacterium argentoratense,3
Cronobacter species,3
Weissella species,3
Trichophyton mentagrophytes complex,3
Actinomyces neuii,3
Gemella haemolysans,3
Clostridium butyricum,3
Actinomyces oris,3
Fusobacterium ulcerans,2
Clostridium novyi,2
Bacteroides kribbi,2
Pseudomonas chlororaphis,2
Pseudoglutamicibacter species,2
Pseudoclavibacter,2
Gram-positive cocci in chains,2
Anaerococcus prevotii,2
Clostridium bifermentans,2
Clostridium bartlettii,2
Anaerococcus murdochii,2
Clavispora opuntiae,2
Cladosporium species,2
Trichomonas vaginalis,2
Trichoderma species,2
Arcanobacterium species,2
Stenotrophomonas species,2
Pseudomonas oryzihabitans,2
Fusarium solani complex,2
Salmonella group C1,2
Cupriavidus pauculus,2
Salmonella group I,2
Curtobacterium flaccumfaciens,2
Salmonella bareilly,2
Cryptococcus curvatus,2
Cutibacterium modestum,2
Cronobacter sakazakii,2
Salmonella newport,2
Dermabacter species,2
Corynebacterium xerosis,2
Dysgonomonas gadei,2
Salmonella saintpaul,2
Corynebacterium oculi,2
Roseomonas mucosa,2
Arcobacter species,2
Achromobacter denitrificans,2
Rhodococcus species,2
Veillonella dispar,2
Arcobacter butzleri,2
Corynebacterium glucuronolyticum,2
Bacillus subtilis,2
Issatchenkia orientalis,2
Eubacterium tenue,2
Turicella otitidis,2
Rahnella aquatilis,2
Fusarium dimerum,2
Vagococcus fluvialis,2
Prevotella nanceiensis,2
Kazachstania telluris,2
Actinomyces meyeri,2
Streptococcus pseudopneumoniae,2
Brevibacterium casei,2
Leifsonia species,2
Brevibacterium ravenspurgense,2
Megamonas species,2
Parvimonas species,2
Paraclostridium bifermentans,2
Meyerozyma guilliermondii,2
Microbacterium paraoxydans,2
Candida pelliculosa,2
Streptococcus infantarius subspecies infantarius,2
Cryptococcus gattii,2
Candida haemulonii complex,2
Mycelia sterilia,2
Arthrobacter species,2
Mycobacterium iranicum,2
Mycobacterium mucogenicum group,2
Mycobacterium parascrofulaceum,2
Paenibacillus illinoisensis,2
Paenibacillus glucanolyticus,2
Streptococcus dysgalactiae subsp. dysgalactiae,2
Staphylococcus sciuri,2
Mycoplasma species,2
Odoribacter splanchnicus,2
Myroides odoratimimus,2
Necropsobacter rosorum,2
Streptococcus cristatus,2
Peptostreptococcus asaccharolyticus,2
Peptoniphilus gorbachii,2
Kytococcus sedentarius,2
Actinobaculum schaalii,2
Citrobacter werkmanii,2
Acinetobacter pittii,2
Alloscardovia omnicolens,2
Chryseomonas luteola,2
Kocuria palustris,2
Prevotella buccalis,2
Alloprevotella rava,2
Porphyromonas asaccharolytica,2
Aspergillus nidulans,2
Photobacterium damselae subsp damselae,2
Bordetella hinzii,2
Phocaeicola species,2
Aeromonas schubertii,1
Acinetobacter schindleri,1
Serratia fonticola,1
Streptomyces species,1
Actinobaculum species,1
Sphingobacterium multivorum,1
Staphylococcus lentus,1
Shigella sonnei,1
Sutterella species,1
Yarrowia lipolytica,1
Agromyces mediolanus,1
Aggregatibacter species,1
Aggregatibacter segnis,1
Stenotrophomonas acidaminiphila,1
Scopulariopsis species,1
Staphylococcus auricularis,1
Tsukamurella tyrosinosolvens,1
Trichosporon faecale,1
Vibrio metschnikovii,1
Sphingobacterium spiritivorum,1
Acinetobacter soli,1
Alloprevotella tannerae,1
Anaerotruncus colihominis,1
Alistipes putredinis,1
Staphylococcus chromogenes,1
Acidovorax temperans,1
Streptococcus sinensis,1
Staphylococcus petrasii,1
Staphylococcus pasteuri,1
Alistipes indistinctus,1
Varibaculum cambriense,1
Actinomyces georgiae,1
Cryptococcus laurentii,1
Aspergillus terreus complex,1
Hungatella species,1
Kodamaea species,1
Kocuria kristinae,1
Chrysosporium species,1
Kluyvera intermedia,1
Kluyvera ascorbata,1
Citrobacter sedlakii,1
Helcococcus ovis,1
Candida palmioleophila,1
Hanseniaspora uvarum,1
Hafnia species,1
Haemophilus paraphrophilus,1
Clostridium baratii,1
Graphium species,1
Granulicatella species,1
Kurthia gibsonii,1
Lacrimispora species,1
Lactobacillus crispatus,1
Chromobacterium species,1
Lactobacillus jensenii,1
Lactobacillus plantarum,1
Cellulosimicrobium funkei,1
Cellulosimicrobium cellulans,1
Cardiobacterium hominis,1
"Legionella pneumophila, not serogroup 1",1
Leuconostoc mesenteroides,1
Capnocytophaga gingivalis,1
Limnobacter thiooxidans,1
Limosilactobacillus reuteri,1
Capnocytophaga canimorsus,1
Candida zeylanoides,1
Metabacillus species,1
Gram-positive cocci in clusters,1
Clostridium celatum,1
Gram-negative cocci,1
Corynebacterium imitans,1
Curtobacterium species,1
Cutaneotrichosporon species,1
Cronobacter sakazakii group,1
Dermacoccus nishinomiyaensis,1
Corynebacterium singulare,1
Eggerthia catenaformis,1
Eikenella species,1
Eisenbergiella species,1
Corynebacterium mucifaciens,1
Empedobacter brevis,1
Enterobacter asburiae,1
Enterobacter bugandensis,1
Corynebacterium massiliense,1
Corynebacterium kroppenstedtii,1
Enterococcus canintestini,1
Globicatella sanguinis,1
Corynebacterium diphtheriae,1
Enterococcus malodoratus,1
Enterococcus mundtii,1
Escherichia species,1
Exophiala jeanselmei,1
Faecalitalea cylindroides,1
Finegoldia species,1
Clostridium subterminale,1
Franconibacter pulveris,1
Clostridium septicum,1
Fusobacterium necrogenes,1
Fusobacterium periodonticum,1
Gabonibacter species,1
Geotrichum candidum,1
Methylobacterium species,1
Microsporum species,1
Salmonella choleraesuis,1
Prevotella pallens,1
Prototheca species,1
Barrientosiimonas humi,1
Propionimicrobium species,1
Basidiobolus species,1
Prevotella veroralis,1
"Beta-haemolytic streptococcus, non-Group A, non-Group B",1
Bifidobacterium bifidum,1
Mobiluncus species,1
Prevotella jejuni,1
Prevotella histicola,1
Prevotella corporis,1
Prevotella baroniae,1
Porphyromonas somerae,1
Porphyromonas endodontalis,1
Pseudomonas citronellolis,1
Pseudomonas fulva,1
Pseudomonas koreensis,1
Pseudomonas monteilii,1
Pseudomonas nitroreducens,1
Bacteroides fluxus,1
Bacteroides dorei,1
Bacteroides coprocola,1
Bacteroides coagulans,1
Bacillus simplex,1
Rhizomucor species,1
Bacillus pumilus,1
Robinsoniella peoriensis,1
Rothia amarae,1
Rothia endophytica,1
Ruthenibacterium lactatiformans,1
Aspergillus versicolor Group,1
Blautia producta,1
Phialophora species,1
Peptoniphilus coxii,1
Nocardia asiatica,1
Candida membranifaciens,1
Mycobacterium avium,1
Mycobacterium haemophilum,1
Mycobacterium marinum,1
Mycobacterium smegmatis,1
Mycobacterium terrae complex,1
Myroides odoratus,1
Neisseria elongata,1
Neisseria flavescens,1
Neisseria flavescens subflava group,1
Campylobacter fetus subsp. Fetus,1
Neisseria meningitidis group Y,1
Neurospora species,1
Nocardia abscessus,1
Campylobacter concisus,1
Peptoniphilus asaccharolyticus,1
CDC Corynebacterium group G,1
Butyricimonas species,1
Non-photochromogenic mycobacteria,1
Nutritionally Variant Streptococcus,1
Ochroconis species,1
Olsenella uli,1
Pantoea agglomerans,1
Brucella melitensis,1
Parabacteroides faecis,1
Parabacteroides johnsonii,1
Paracoccus sanguinis,1
Paraeggerthella species,1
Brevundimonas species,1
Pediococcus pentosaceus,1
Burkholderia cenocepacia,1
