Organism,Count
Anaerobic bacteria,128
Bacteroides thetaiotaomicron,128
Moraxella catarrhalis,124
Staphylococcus caprae,120
Micrococcus species,120
Staphylococcus hominis,120
Staphylococcus species,119
Candida krusei,118
Fusobacterium species,116
Candida metapsilosis,113
Cryptococcus neoformans,113
Gram-positive bacilli,112
Eggerthella lenta,109
Corynebacterium urealyticum,109
Anaerobic Gram-positive cocci,108
Peptostreptococcus species,107
Burkholderia cepacia,106
Flavobacterium species,105
Burkholderia pseudomallei,104
Actinomyces species,103
Cutibacterium acnes,103
Clostridium species,101
Elizabethkingia meningoseptica,100
Corynebacterium jeikeium,96
Anaerobic Gram-positive bacilli,95
Achromobacter xylosoxidans,93
Streptococcus intermedius,92
Streptococcus salivarius group,91
Acid-fast bacillus,88
Streptococcus gallolyticus subspecies pasteurianus,88
Propionibacterium species,87
Chryseobacterium species,86
Klebsiella variicola,84
Providencia species,82
Kodamaea ohmeri,82
Shewanella species,81
Sphingomonas paucimobilis,79
Prevotella bivia,77
Parvimonas micra,74
Bacillus cereus group,74
Mycobacterium kansasii,72
Proteus vulgaris,71
Candida orthopsilosis,71
Aspergillus fumigatus complex,71
Burkholderia species,69
Prevotella intermedia,66
Fusarium species,66
Salmonella species,65
Bacteroides vulgatus,64
Mould,63
Aspergillus flavus,62
Salmonella group C,61
Veillonella species,59
Finegoldia magna,59
Corynebacterium amycolatum,56
Non-fermentative Gram-negative bacilli,54
Parabacteroides distasonis,52
Streptococcus gallolyticus,52
Trichophyton rubrum,52
Elizabethkingia anophelis,51
Moraxella species,51
Granulicatella adiacens,50
Clostridium ramosum,49
Enterobacter hormaechei,48
Mycobacterium fortuitum complex,47
Serratia marcescens complex,47
Streptococcus parasanguinis,47
Plesiomonas shigelloides,46
Acinetobacter junii,46
Aeromonas caviae,44
Peptostreptococcus anaerobius,42
Chryseobacterium indologenes,42
Salmonella Typhi,41
Streptococcus oralis,41
Alcaligenes faecalis,40
Fusobacterium varium,40
Clostridium innocuum,39
Shewanella algae,39
Streptococcus sanguinis,38
Saccharomyces cerevisiae,38
Leuconostoc species,37
Providencia rettgeri,37
Kluyvera species,35
Staphylococcus warneri,35
Streptococcus salivarius,34
Bacteroides ovatus,34
Enterococcus hirae,33
Gemella species,33
Micrococcus luteus,33
Sphingomonas species,32
Fusobacterium mortiferum,32
"Streptococcus, group C",32
Pseudomonas putida group,31
Listeria monocytogenes,31
Pichia norvegensis,30
Corynebacterium tuberculostearicum,28
Candida norvegensis,28
Streptococcus gordonii,27
Streptococcus suis,26
Bifidobacterium species,26
Gram-positive coccobacilli,26
Bacteroides uniformis,25
Gemella morbillorum,25
Rhizopus species,25
Lactobacillus salivarius,25
Aeromonas veronii,25
Prevotella buccae,25
Actinomyces odontolyticus,24
Aspergillus niger,24
Chryseobacterium gleum,23
Ochrobactrum species,23
Aspergillus flavus complex,23
Slackia exigua,22
Legionella pneumophila serogroup 1,22
Pseudomonas putida,22
Lactobacillus fermentum,22
Peptoniphilus species,22
Peptoniphilus harei,21
Haemophilus parahaemolyticus,21
Neisseria meningitidis,21
Citrobacter amalonaticus complex,20
Nocardia species,20
Aeromonas sobria,20
Lactobacillus rhamnosus,20
Pichia species,20
Raoultella planticola,20
Acinetobacter ursingii,19
Bacteroides pyogenes,19
Pediococcus species,19
Lactococcus species,19
Prevotella melaninogenica,19
Brevibacterium species,18
Acinetobacter bereziniae,18
Dermabacter hominis,18
Haemophilus haemolyticus,18
Arcanobacterium haemolyticum,17
Salmonella typhimurium,17
Rothia species,17
Mycobacterium chelonae,16
Clavispora lusitaniae,16
Pseudomonas stutzeri,16
Aspergillus niger complex,16
Corynebacterium resistens,15
Campylobacter jejuni subsp. Jejuni,15
Vibrio parahaemolyticus,15
Prevotella nigrescens,15
Legionella pneumophila,15
Ralstonia mannitolilytica,15
Bacillus cereus,15
Campylobacter coli,15
Clostridium paraputrificum,15
Actinomyces turicensis,14
Salmonella group E,14
Eikenella corrodens,14
Citrobacter amalonaticus,14
Pantoea species,14
Clostridium tertium,14
Shewanella putrefaciens,14
Cyberlindnera fabianii,14
Kluyveromyces marxianus,14
Edwardsiella tarda,13
Trichosporon mucoides,13
Trichophyton rubrum complex,13
Bacteroides caccae,13
Pasteurella multocida,13
Alcaligenes species,13
Candida nivariensis,13
Proteus penneri,13
Hafnia alvei,13
Ralstonia picketti,13
Aspergillus terreus,13
Raoultella species,13
Salmonella london,13
Scedosporium inflatum,13
Streptococcus gallolyticus subspecies gallolyticus,13
Lactococcus garvieae,12
Capnocytophaga species,12
Proteus hauseri,12
Citrobacter braakii,12
Cryptococcus species,12
Lactobacillus paracasei,12
Aerococcus urinae,12
Streptococcus mitis,12
"Vibrio cholerae, non-O1/non-O139",12
Fusobacterium necrophorum,12
Anaerococcus species,12
Anaerobic diphtheroids,12
Eubacterium species,12
Penicillium species,11
Prevotella denticola,11
Veillonella parvula,11
Leuconostoc lactis,11
Prevotella oralis,11
Lactobacillus gasseri,11
Staphylococcus saccharolyticus,11
Fusobacterium nucleatum,11
Peptostreptococcus micros,11
Abiotrophia defectiva,11
Actinotignum species,11
Beta-haemolytic streptococcus,11
Edwardsiella species,11
Salmonella derby,10
Microbacterium species,10
Corynebacterium minutissimum,10
Rhodotorula species,10
Anaerobic Gram-negative cocci,10
Gardnerella vaginalis,10
Eubacterium aerofaciens,10
Aerococcus species,10
Mycobacterium mageritense,10
Enterococcus cecorum,10
Campylobacter jejuni,10
Bacteroides salyersiae,10
Lodderomyces elongisporus,10
Pluralibacter gergoviae,9
"Streptococcus, group D",9
Paenibacillus species,9
Aeromonas veronii biovar sobria,9
Chryseobacterium arthrosphaerae,9
Bilophila wadsworthia,9
Moraxella osloensis,9
Capnocytophaga sputigena,9
Exophiala species,9
Lactobacillus,9
Mycobacterium gordonae,9
Corynebacterium simulans,9
Dialister pneumosintes,9
Clostridium saudiense,9
Citrobacter youngae,8
Bacteroides nordii,8
Delftia acidovorans,8
Bifidobacterium longum,8
Haemophilus influenzae type B,8
Prevotella disiens,8
"Mycobacterium, non-TB",8
Corynebacterium macginleyi,8
Attenuated Mycobacterium bovis,8
Absidia corymbifera,8
Comamonas kerstersii,8
Acremonium species,8
Weissella confusa,8
Eubacterium limosum,8
Mycobacterium fortuitum,8
Streptococcus mutans,8
Comamonas species,8
Enterococcus thailandicus,8
Propionibacterium granulosum,7
Campylobacter species,7
Corynebacterium coyleae,7
Bacteroides stercoris,7
Saccharomyces species,7
Kocuria species,7
Pseudomonas mosselii,7
Schizophyllum commune,7
Enterocloster clostridioformis,7
Vibrio fluvialis,7
Mycobacterium obuense,7
Trichosporon japonicum,7
Aggregatibacter aphrophilus,7
Staphylococcus cohnii,7
Prevotella heparinolytica,7
Malassezia furfur,7
Malassezia pachydermatis,7
Ochrobactrum intermedium,7
Staphylococcus simulans,7
Tsukamurella pulmonis,6
Fungal Hyphae,6
Parabacteroides merdae,6
Staphylococcus pseudintermedius,6
Pseudomonas otitidis,6
Citrobacter farmeri,6
Aeromonas hydrophila complex,6
Trueperella bernardiae,6
Streptococcus vestibularis,6
Candida rugosa,6
Campylobacter fetus,6
Ochrobactrum anthropi,6
Tsukamurella species,6
Candida fabianii,6
Rapid growing mycobacteria,6
Vibrio alginolyticus,6
Haemophilus species,6
Gordonia species,6
Solobacterium moorei,6
Paenibacillus lautus,6
Gram-negative coccobacilli,6
Exophiala dermatitidis,6
Mycobacterium paragordonae,5
Clostridium hathewayi,5
Candida glabrata complex,5
Parabacteroides species,5
Parabacteroides goldsteinii,5
Limosilactobacillus species,5
Myroides species,5
Carbapenem resistant Acinetobacter baumannii,5
Pantoea piersonii,5
Catabacter hongkongensis,5
Malassezia species,5
Mycobacterium xenopi,5
Histoplasma capsulatum,5
Corynebacterium aurimucosum,5
Salmonella Paratyphi A,5
Actinomyces neuii ss neuii,5
Actinotignum schaalii,5
Fungus,5
Delftia species,5
Aeromonas caviae complex,5
Streptococcus canis,5
Cupriavidus species,5
Geotrichum species,5
Lactobacillus delbrueckii,5
Atopobium rimae,5
Bacillus cereus group not Bacillus anthracis,5
Corynebacterium propinquum,5
Atopobium parvulum,5
Bifidobacterium breve,5
Brevibacillus parabrevis,5
Campylobacter rectus,5
Kocuria rhizophila,5
Raoultella ornithinolytica,5
Aggregatibacter actinomycetemcomitans,4
Vibrio furnissii,4
Acinetobacter johnsonii,4
Mycobacterium lentiflavum,4
Vagococcus species,4
Turicibacter sanguinis,4
Trichosporon cutaneum,4
Campylobacter gracilis,4
Prevotella oris,4
Aerococcus sanguinicola,4
Propionimicrobium lymphophilum,4
Neisseria subflava,4
Nocardia asteroides,4
Candida famata,4
Alistipes species,4
Staphylococcus saprophyticus,4
Brevundimonas diminuta,4
Anaerococcus vaginalis,4
Brevibacillus species,4
Pseudomonas fluorescens,4
Pseudomonas mendocina,4
Bacteroides intestinalis,4
Bacteroides massiliensis,4
Pandoraea species,4
Mycobacterium chelonae complex,4
nontoxigenic Corynebacterium diphtheriae,4
Lactobacillus acidophilus,4
Gleimia europaea,4
Enterococcus durans,4
Leclercia adecarboxylata,4
Cutibacterium species,4
Clostridium sporogenes,4
Meyerozyma guilliermondii complex,4
Fusobacterium gonidiaformans,4
Elizabethkingia miricola,4
Trichosporon inkin,3
Kluyvera georgiana,3
Escherichia fergusonii,3
Trichophyton mentagrophytes,3
Trichophyton mentagrophytes complex,3
Curvularia species,3
Paecilomyces species,3
Acinetobacter variabilis,3
Leptotrichia trevisanii,3
Rhodotorula rubra,3
Purpureocillium lilacinum,3
Paenibacillus urinalis,3
Flavonifractor plautii,3
Parabacteroides gordonii,3
Pantoea dispersa,3
Ralstonia species,3
Trichophyton species,3
Alistipes onderdonkii,3
Roseomonas species,3
Porphyromonas species,3
Prevotella loescheii,3
Actinomyces urogenitalis,3
Actinomyces radingae,3
Actinomyces oris,3
Corynebacterium argentoratense,3
Corynebacterium afermentans,3
Candida duobushaemulonii,3
Prevotella timonensis,3
Actinomyces naeslundii,3
Pseudomonas guariconensis,3
Propionibacterium avidum,3
Corynebacterium accolens,3
Candida haemulonii,3
Streptococcus iniae,3
Burkholderia gladioli,3
Candida kefyr,3
Candida lipolytica,3
Streptococcus infantarius,3
Oligella urethralis,3
Rhodococcus hoagii,3
Eggerthella species,3
Staphylococcus pettenkoferi,3
Globicatella species,3
Bacteroides cellulosilyticus,3
Mucor species,3
Weissella species,3
Scedosporium apiospermum complex,3
Mycobacterium neoaurum,3
Clostridium butyricum,3
Bacteroides eggerthii,3
Vibrio harveyi,3
Clostridium disporicum,3
Gemella haemolysans,3
Cronobacter species,3
Veillonella atypica,3
Mycoplasma hominis,3
Clostridium glycolicum,3
Cetobacterium somerae,3
Nocardia farcinica,3
Rothia dentocariosa,3
Helcococcus species,3
Ruminococcus gnavus,3
Bifidobacterium adolescentis,3
Streptococcus lutetiensis,2
Aerococcus viridans,2
Arcobacter species,2
Rhodococcus species,2
Curtobacterium flaccumfaciens,2
Aspergillus nidulans,2
Fusarium solani complex,2
Abiotrophia species,2
Salmonella saintpaul,2
Anaerococcus murdochii,2
Kytococcus schroeteri,2
Fusarium dimerum,2
Anaerococcus prevotii,2
Kytococcus sedentarius,2
Bacillus subtilis,2
Gram-positive cocci in chains,2
Cryptococcus gattii,2
Cupriavidus gilardii,2
Arcobacter butzleri,2
Streptococcus infantarius subspecies infantarius,2
Salmonella rissen,2
Alloprevotella rava,2
Bacteroides xylanisolvens,2
Salmonella bareilly,2
Corynebacterium xerosis,2
Arcanobacterium species,2
Salmonella group C1,2
Bordetella hinzii,2
Cronobacter sakazakii,2
Bacteroides kribbi,2
Brachybacterium species,2
Streptococcus cristatus,2
Salmonella group I,2
Streptococcus dysgalactiae subsp. dysgalactiae,2
Klebsiella pneumoniae subsp. Ozaenae,2
Pseudomonas chlororaphis,2
Pseudoglutamicibacter species,2
Brevibacterium casei,2
Cutibacterium modestum,2
Issatchenkia orientalis,2
Salmonella newport,2
Alloscardovia omnicolens,2
Prevotella buccalis,2
Sphingobacterium species,2
Acidaminococcus intestini,2
Mycobacterium parascrofulaceum,2
Trichomonas vaginalis,2
Eubacterium tenue,2
Parvimonas species,2
Paraclostridium bifermentans,2
Chryseomonas luteola,2
Myroides odoratimimus,2
Leifsonia species,2
Necropsobacter rosorum,2
Clostridium novyi,2
Mycobacterium mucogenicum group,2
Paeniclostridium sordellii,2
Acinetobacter pittii,2
Chaetomium species,2
Paenibacillus illinoisensis,2
Odoribacter splanchnicus,2
Megamonas species,2
Turicella otitidis,2
Meyerozyma guilliermondii,2
Vagococcus fluvialis,2
Absidia species,2
Candida utilis,2
Candida haemulonii complex,2
Clostridium symbiosum,2
Lactococcus lactis,2
Porphyromonas asaccharolytica,2
Mycelia sterilia,2
Phocaeicola species,2
Actinomyces meyeri,2
Peptostreptococcus stomatis,2
Peptostreptococcus asaccharolyticus,2
Citrobacter werkmanii,2
Mycobacterium iranicum,2
"Streptococcus, group F",2
Candida pelliculosa,2
Clavispora opuntiae,2
Lactobacillus johnsonii,2
Aspergillus terreus complex,1
Staphylococcus lentus,1
Anaerotruncus colihominis,1
Aspergillus versicolor Group,1
Staphylococcus pasteuri,1
Eikenella species,1
Staphylococcus chromogenes,1
Enterococcus canintestini,1
Acidovorax temperans,1
Eisenbergiella species,1
Globicatella sanguinis,1
Vibrio metschnikovii,1
Staphylococcus auricularis,1
Achromobacter insolitus,1
Vibrio species,1
Veillonella dispar,1
Yarrowia lipolytica,1
Empedobacter brevis,1
Arthrobacter cumminsii,1
Staphylococcus petrasii,1
Streptococcus pseudopneumoniae,1
Varibaculum cambriense,1
Dermacoccus species,1
Streptomyces species,1
Actinobaculum species,1
Alistipes indistinctus,1
Cutaneotrichosporon species,1
Actinomyces georgiae,1
Fusobacterium periodonticum,1
Aeromonas schubertii,1
Eggerthia catenaformis,1
Fusobacterium necrogenes,1
Finegoldia species,1
Actinomyces neuii,1
Streptococcus sinensis,1
Sphingobacterium spiritivorum,1
Dermacoccus nishinomiyaensis,1
Actinobaculum schaalii,1
Trichoderma species,1
Alistipes putredinis,1
Fusobacterium ulcerans,1
Acinetobacter soli,1
Desulfovibrio species,1
Trichosporon faecale,1
Alloprevotella tannerae,1
Stenotrophomonas species,1
Escherichia species,1
Stenotrophomonas acidaminiphila,1
Franconibacter pulveris,1
Acinetobacter lwoffii,1
Enterococcus mundtii,1
Tsukamurella tyrosinosolvens,1
Enterococcus malodoratus,1
Geotrichum candidum,1
Gabonibacter species,1
Cladosporium species,1
Sphingobacterium multivorum,1
Pediococcus pentosaceus,1
Limnobacter thiooxidans,1
Cardiobacterium hominis,1
Parabacteroides faecis,1
"Legionella pneumophila, not serogroup 1",1
Parabacteroides johnsonii,1
Clostridium septicum,1
Paracoccus sanguinis,1
Paraeggerthella species,1
Capnocytophaga canimorsus,1
Pasteurella species,1
Pediococcus acidilactici,1
Clostridium subterminale,1
Cupriavidus pauculus,1
Peptococcus species,1
Peptoniphilus asaccharolyticus,1
Peptoniphilus coxii,1
Peptoniphilus gorbachii,1
Candida palmioleophila,1
Enterobacter bugandensis,1
Phialophora species,1
Porphyromonas endodontalis,1
Porphyromonas somerae,1
Prevotella baroniae,1
Lactobacillus plantarum,1
Limosilactobacillus reuteri,1
Olsenella uli,1
Ochroconis species,1
Metabacillus species,1
Mycobacterium haemophilum,1
Citrobacter sedlakii,1
Clostridium baratii,1
Mycobacterium marinum,1
Clostridium bifermentans,1
Mycobacterium smegmatis,1
Clostridium cadaveris,1
Mobiluncus species,1
Clostridium celatum,1
Mycoplasma species,1
Myroides odoratus,1
Neisseria elongata,1
Neisseria flavescens subflava group,1
Chromobacterium species,1
Neisseria meningitidis group Y,1
Neurospora species,1
Nocardia abscessus,1
Nocardia asiatica,1
Methylobacterium species,1
Cellulosimicrobium funkei,1
Cellulosimicrobium cellulans,1
Non-photochromogenic mycobacteria,1
Nutritionally Variant Streptococcus,1
Prevotella corporis,1
Prevotella histicola,1
Lactobacillus crispatus,1
Corynebacterium massiliense,1
Bifidobacterium bifidum,1
Mycobacterium avium,1
Hungatella species,1
Robinsoniella peoriensis,1
Roseomonas mucosa,1
Rothia amarae,1
Rothia endophytica,1
Ruthenibacterium lactatiformans,1
Barrientosiimonas humi,1
Helcococcus kunzii,1
Hafnia species,1
Corynebacterium pseudodiphtheriticum,1
Salmonella choleraesuis,1
Corynebacterium singulare,1
Granulicatella species,1
Bacteroides fluxus,1
Scedosporium apiospermum,1
Bacteroides dorei,1
Gram-positive cocci in clusters,1
Serratia fonticola,1
Bacteroides coprocola,1
Bacillus pumilus,1
Shigella sonnei,1
Corynebacterium mucifaciens,1
Blautia producta,1
Prevotella jejuni,1
Bordetella bronchiseptica,1
Prevotella nanceiensis,1
Lacrimispora species,1
Campylobacter fetus subsp. Fetus,1
Prevotella pallens,1
Prevotella veroralis,1
Kurthia gibsonii,1
Campylobacter concisus,1
Kodamaea species,1
Propionimicrobium species,1
CDC Corynebacterium group G,1
Butyricimonas species,1
Brucella melitensis,1
Brevundimonas species,1
Kocuria kristinae,1
Brevibacterium ravenspurgense,1
Corynebacterium diphtheriae,1
Corynebacterium glucuronolyticum,1
Pseudomonas fulva,1
Kluyvera intermedia,1
Pseudomonas monteilii,1
Pseudomonas oryzihabitans,1
Kluyvera ascorbata,1
Corynebacterium imitans,1
Candida membranifaciens,1
