Dx/Px Description (HAMDCT),count
Intestinal obstruction (560.9:0),195
Atrial fibrillation (427.31:0),192
"Duodenal ulcer, acute w hemorrhage (532.00:0)",190
Acute cerebrovascular disease (436:0),180
Perforated sigmoid colon (569.83:7),179
Myelodysplastic syndrome (238.7:2),179
Cholelithiasis (574.90:0),179
Gram negative septicemia (038.40:0),174
Pulmonary TB confirmed (011.96:0),173
Cancer of prostate (185:0),172
Pancreatitis (577.0:6),172
Dengue (061:0),170
Uncontrol type II DM ketoacidosis (250.12:0),167
"SAH, non-traumatic (430:0)",166
"Inferior AMI, initial (410.41:0)",163
Methicillin resist SA septicemia (038.1:4),159
Esophageal varices hemorrhag (456.0:0),159
Recurrent pyogenic cholangitis (576.1:4),158
Acute lung edema (518.4:0),155
"Hydronephrosis, Rt (591:2)",154
Leukemia (208.90:0),153
Pleural effusion (511.9:0),152
"Fever, unknown origin (780.6:0)",151
Type II respiratory failure (518.81:2),150
Intestinal disorders (569.89:0),149
GI hemorrhage (578.9:0),148
"Lymphoma, multi sites (202.88:0)",145
Cancer extrahepatic bile ducts (156.1:0),143
Uncontro type II DM hyperglycaemia (250.82:1),142
Hematuria (599.7:0),140
Decubitus ulcer (707.0:0),140
Anemia (285.9:0),139
Salmonella septicemia (003.1:0),137
Cholecystitis (575.10:0),137
CBD stricture (576.2:4),134
Gangrene of leg or foot (785.4:4),133
Acute gangrenous cholecystitis (575.0:2),132
Sputum Retention (786.4:1),131
Pancytopenia (284.8:2),131
Cancer intrahepatic bile duct (155.1:0),131
Malign neopl ovary (183.0:0),130
Pneumonia E coli (482.82:0),129
Ac lymph leuk in remissn (204.01:0),129
"Hydronephrosis, Lt (591:1)",127
Acute duodenal ulcer w perforation (532.10:0),127
Acute gastric ulcer w perforation (531.10:0),123
GE presumed infectious origin (009.1:1),122
Renal failure (586:0),122
Calculus of gallbladder (574.20:0),121
Pulmonary embolism (415.1:0),121
Cancer of gallbladder (156.0:0),121
"Dissecting aneurysm, thoracic (441.01:0)",121
Cancer of ascending colon (153.6:0),119
Acute appendicitis+ perito abscess (540.1:0),119
Staph aureus septicemia (038.1:2),117
Esophageal varices (456.1:0),116
Lactic acidosis (276.2:2),116
Heart failure (428.9:0),115
Cancer esophagus - thoracic (150.1:0),112
Closed # pelvis (808.8:0),112
Acute appendicitis (540.9:0),110
IO due to small bowel adhesion (560.81:3),110
Cancer of cervix uteri (180.9:0),110
Cancer of pyloric antrum (151.2:0),109
Aspiration pneumonia (507.0:1),108
Aortic valve stenosis (424.1:9),107
"Abdominal pain, epigastric (789.06:0)",107
Meningitis (322.9:0),107
"Pyogenic arthritis, knee (711.06:1)",105
Empyema (510.9:0),104
"COVID-19, virus identified (519.8:9)",104
Influenza (487.8:0),102
Hepatic encephalopathy (572.2:1),102
Lung disease (518.89:0),100
Alcohol cirrhosis liver (571.2:0),97
Chronic IHD (414.9:0),97
Convulsion (780.32:1),97
Dementia (294.8:1),96
Acute duodenal ulcer (532.30:0),95
Clinical sepsis (038.9:1),95
Hemophilus pneumonia (482.2:0),95
Acute gastric ulcer (531.30:0),94
Dissect thor/aortic pseudoaneurysm (441.01:3),92
Acute stomach ulcer w hemorrhage (531.00:0),92
Shock (785.50:0),92
Mitral valve regurgitation (424.0:12),92
"Lymphosarcoma, multiple (200.18:0)",91
Ascites (789.5:0),91
Gangrene (785.4:0),90
Chronic duoden ulcer+ perforation (532.50:0),90
Cancer of transverse colon (153.1:0),90
Dehydration (276.5:1),89
ITP (287.3:2),87
Duodena ulcer chronic w hemorrhage (532.40:0),87
Type II DM (250.00:2),86
Colitis (558.9:1),86
Acute necrotizing pancreatitis (577.0:2),85
Cancer rectosigmoid junction (154.0:0),84
Acute retention of urine (788.20:1),83
Cancer hepatic flexure of colon (153.0:0),83
E. coli infection (041.4:0),82
"Bed sore, buttock (707.0:2)",82
Cancer of descending colon (153.2:0),82
Impaired liver function (573.8:1),81
GB stone w acute cholecystitis (574.00:0),80
"Biliary obstruction, malignancy (576.2:2)",80
Fecal peritonitis (567.8:2),80
Cellulitis site (682.8:0),79
Cancer of cecum (153.4:0),79
Unc beh neo brain / spinal (237.5:0),79
Feeding problem of adult (783.3:4),79
Metabolic acidosis (276.2:1),78
"Dilate CBD, acquired (576.8:4)",77
Spontaneous bacterial peritonitis (567.2:9),77
Dilated cardiomyopathy (425.4:1),77
Cancer of pancreas (157.9:0),77
Acute appendicitis+ gen peritoniti (540.0:0),76
Fournier gangrene (608.83:5),76
Peritonitis (567.9:0),76
Pancreatic disease (577.8:0),75
Abdominal aortic aneurysm (441.4:0),75
Cancer of ampulla of Vater (156.2:0),74
Grand mal-not intractable (345.10:0),73
Streptococcal pneumonia (482.30:0),73
Scrub typhus (081.2:0),73
HIV infection (042:3),72
Liver disorder (573.9:0),71
CML (205.10:0),71
Dissecting aortic aneurysm (441.00:0),71
Pulmonary TB by culture (011.94:0),70
Brain abscess (324.0:1),70
Chronic gastric ulcer + perforate (531.50:0),70
IO due to adhesion (560.81:2),70
Gangrene of ischemic bowel (557.0:3),69
Hypotension (458.9:0),69
Pelvic # closed / pelvic disrupt (808.43:0),68
Essential hypertension (401.9:0),67
"Cellulitis/abscess foot, not toes (682.7:0)",67
Disorders of biliary tract (576.8:0),66
Cancer of pancreas - body (157.1:0),66
Proteus mirabilis infection (041.6:3),66
CMV Infection (078.5:0),66
Non-alcoholic cirrhosis - C (571.5:6),65
Perforation of intestine (569.83:0),65
Hemoptysis (786.3:0),65
Infective spondylodiscitis (722.90:5),64
Malig neo corpus uteri not isthmus (182.0:0),64
ESRF admitted for HD (585.9:3),64
Cancer of colon (153.9:0),64
Cancer of stomach (151.9:0),64
Choledocholithiasis w obst (574.51:0),64
Encounter for aftercare (V58.89:0),64
Stricture bile duct (576.2:1),63
Intracranial h'mage non-traumatic (432.9:0),63
Chronic airway obstruction (496:0),63
Rectal bleeding (569.3:1),63
Chronic hep B (070.32:0),63
Cancer of stomach - cardia (151.0:0),63
Staphylococcal septicemia (038.1:0),62
Streptococcal septicemia (038.0:0),62
Rhabdomyolysis (728.89:3),61
"Anteroseptal AMI, initial (410.11:1)",61
Low back pain (724.2:1),60
Hyperglycemia (790.6:1),60
Thrombocytopenia (287.5:0),60
Thrombo thrombocytopenic purpura (446.6:1),60
Bleeding gastric varices (456.8:2),59
Epilepsy (345.90:0),59
Disease blood + blood-form organ (289.9:0),59
Hyponatremia (276.1:1),58
Bronchiectasis (494:0),58
Bilateral hydronephrosis (591:3),58
Renal calculi (592.0:0),58
Subacute bacterial endocarditis (421.0:3),58
Encephalitis (323.9:0),58
Esophagitis (530.10:0),58
Chronic lymphocytic leukemia (204.10:0),57
Gastric ulcer (531.90:0),57
Psoas abscess (728.89:2),57
Biliary acute pancreatitis (577.0:9),57
Infectious mononucleosis (075:0),56
# hip (820.8:2),56
Stevens Johnson syndrome (695.1:5),55
Gastroduodenal dis (537.89:0),55
RSV pneumonia (480.1:0),55
Uncontrol type II DM hyperosm coma (250.22:1),54
Cancer of pancreas - tail (157.2:0),54
Hypoglycemia (251.2:2),54
CA female breast upper-outer (174.4:0),53
WBC disease (288.9:0),53
Acute necrosis of liver (570:0),53
Viral pneumonia (480.8:0),53
Adult respiratory distres syndrome (518.82:1),52
Hepatic failure (572.8:3),52
Heat stroke (992.0:1),51
Cancer of stomach - body (151.4:0),50
Myocarditis (429.0:0),50
Syst lupus erythe w lupus nephriti (710.0:3),50
Asthma (493.90:0),50
"Lower limb ischaemia, acute (729.89:1)",50
Pseudomonas septicemia (038.43:0),50
"Endocarditis, bacterial (421.0:2)",50
Closed # transcervical femur (820.09:0),49
Interstitial pulmonary disease (516.9:1),49
"Anterolateral AMI, initial (410.01:0)",49
Liver tumor (239.0:2),49
"Intracranial injury, no LOC (854.01:0)",48
Candidiasis of lung (112.4:0),48
"Intest infect, clostrid difficile (008.45:1)",48
Dyspnea (786.09:4),47
Acute pulm edema d/t heart failure (428.1:1),47
Cancer splenic flexure of colon (153.7:0),47
Cord Compression (336.9:1),46
"Cancer middle lobe, bronchus/ lung (162.4:0)",46
Candidemia (112.5:2),45
Herpes zoster infection (053.9:0),45
Chronic kidney disease (585.9:10),45
Cortex contusion-prolng coma (851.04:0),44
Aortic valve regurgitation (424.1:10),44
Kidney transplant status (V42.0:0),44
Falciparum malaria (084.0:0),44
"Cancer of kidney, left (189.0:6)",43
Chronic subdural hematoma (432.1:1),43
Uncontrol type II DM hyperosmolar (250.22:0),43
Influenza B (487.1:4),43
Type I respiratory failure (518.81:1),43
ESRF admitted for PD (585.9:4),43
Gangrene of small bowel (557.0:4),43
Burn of face and head (941.00:0),43
"GI anastomotic leakage, postop (997.4:12)",43
Acute pulmonary embolism (415.1:2),42
Diarrhea (787.91:0),42
Acute coronary syndrome (411.1:2),42
Gastric Polyp (211.1:3),42
Ischaemic cardiomyopathy (414.8:1),42
Myasthenia gravis (358.0:0),42
Abdominal cavity abscess (567.2:1),41
Cellulitis and abscess - arm (682.3:0),41
Hypothermia (780.9:1),41
MRSA infection (041.11:1),41
Pneumoperitoneum (568.89:3),40
Rash (782.1:0),40
# Femur Subtrochanteric (820.22:0),40
Liver cirrhosis (571.5:0),40
Perforated rectum (569.49:5),40
Burkitt's lymphoma (200.20:0),40
Liver cyst (573.8:2),40
Carcinoma with liver metastasis (199.1:8),40
Gastric Erosion (535.40:2),40
Hemoperitoneum nontrauma (568.81:0),40
Typhoid fever (002.0:0),40
# femur shaft - closed (821.01:0),39
Melena (578.1:1),39
Chronic gastric ulcer (531.70:0),39
Cl vault# cer lac+ prol LOC regain (800.14:0),39
Delirium (780.09:3),39
Abscess of lung (513.0:0),39
Unilat inguinal hernia w obstruct (550.10:0),39
IO due to internal herniation (552.8:1),39
"Alcoholic cirrhosis of liver, C (571.2:3)",38
Pneumocystis pneumonia (136.3:1),38
Cellulitis/abscess hand-not finger (682.4:0),38
Post-op wound infection (998.59:3),38
Chronic gastic bleeding ulcer (531.40:0),37
Abnormal liver function (794.8:1),37
Ulcer of esophagus (530.2:0),37
"Ca urinary bladder, other site (188.8:0)",37
Infected joint prosthesis (996.66:0),37
SARS with atypical pneumonia (480.8:2),37
Hypovolaemic shock (785.59:1),36
Chronic duodenal ulcer (532.70:0),36
Liver transplant status (V42.7:0),36
Viral infection (079.99:0),36
Bronchitis (490:0),36
Adenoviral pneumonia (480.0:0),36
"Intra-spinal abscess, epidural (324.1:3)",36
IO due to adhesion (560.81:0),36
Abscess of prostate (601.2:0),36
Obstructive jaundice (576.8:3),35
Volvulus of sigmoid colon (560.2:3),35
Duodenal bleeding (537.89:6),35
Intermediate coronary syndrome (411.1:0),35
Myelofibrosis (289.8:1),35
Chest infection (519.8:1),35
URTI (465.9:1),35
Multi resist staphylo septicemia (038.1:1),35
Retropharyngeal abscess (478.24:0),35
Foot ulcer (707.1:2),35
Lymphoproliferative disease (238.7:7),35
Deep vein thrombosis (453.8:1),35
Dermatomyositis (710.3:0),34
Uncontrolled DM with ketoacidosis (250.12:1),34
Haemophagocytic syndrome (277.8:21),34
Disorder of rectum and anus (569.49:0),34
Postop - cardiac arrest resusc'ed (427.5:1),34
Cancer of body of uterus (182.8:0),34
Hematemesis (578.0:0),34
Poisoning - medicinal agent (977.8:0),34
"Grand mal status, epileptic (345.3:0)",34
Cancer stomach lesser curve (151.5:0),34
Brain metastasis (198.3:2),33
Hepatitis (573.3:0),33
Cancer of duodenum (152.0:0),33
Perianal abscess (566:6),33
# base femoral neck - closed (820.03:0),33
Intramuscular abscess (728.89:1),33
TB lung cavitation by micro exam (011.23:0),33
Retroperitoneal hematoma-nontrauma (568.81:2),33
Intra-abdominal sepsis (038.9:2),32
Complete heart block (426.0:0),32
Orthopedic aftercare (V54.9:0),32
Parapneumonic effusion (511.1:1),32
Pseudo-obstruction of colon (564.8:2),32
Metast carcinoma unknown primary (199.1:10000),32
Enterobacter septicemia (038.49:1),32
"COVID-19, with virus identified (519.8:9)",32
"Cancer of kidney, right (189.0:5)",32
Malig lymphoma head+ neck LN (202.81:0),32
Cellulitis of neck (682.1:0),31
Varicella (052.9:0),31
Hodgkin's lymphoma (201.90:0),31
Ischemic colitis (557.9:5),31
Pneumothorax (512.8:1),30
Acute peptic ulcer (533.30:0),30
Rickettsiosis (083.9:0),30
Gout (274.9:0),30
Pneumocystosis (136.3:0),30
Hypercalcemia (275.4:2),30
Crohn's disease (555.9:2),30
Chronic renal impairment (585.1:0),30
Spine metastasi + cord compression (198.5:6),30
Cancer of urinary bladder (188.9:0),30
Legionnaires' Disease (482.83:1),30
Mallory-Weiss syndrome (530.7:1),30
Sigmoid Diverticulitis (562.11:7),30
Chest pain (786.50:0),30
Microscopic polyangiitis (446.0:2),30
Perforation of esophagus (530.4:0),29
Endophthalmitis (360.00:1),29
Fungemia (117.9:9),29
Pseudoaneurysm (442.9:1),29
Compartment syndrome non-traumatic (729.9:5),28
Ac peptic ulcer w hemorr (533.00:0),28
Nodular lymphoma (202.00:0),28
Confusion (298.9:3),28
Ac alcoholic hepatitis (571.1:0),28
Resp syncytial virus infection (079.6:0),28
Tricuspid valve regurgitation (397.0:6),28
Perforated transverse colon (569.83:11),28
Parapharyngeal abscess (478.22:0),28
Acute viral hepatitis B infection (070.30:0),28
"Pyogenic arthritis, shoulder (711.01:0)",28
Influenza A human swine flu (487.1:10),28
Pyogenic arthritis (711.00:0),28
Hemothorax (511.8:1),28
Duodenal ulcer (532.90:0),27
Malaria (084.6:0),27
Osteomyelitis (730.20:0),27
HIV with specific infection (042:13),27
Parinfluenza viral pneum (480.2:0),27
Parkinson's disease (332.0:2),27
Obstructive uropathy (599.6:3),27
Iron deficiency anemia (280.9:0),27
Duodenal obstruction (537.3:0),27
Hypernatremia (276.0:1),27
Subdural intracranial hematoma (432.1:2),27
Asthma w status asthmat (493.91:0),27
Gastroenteritis (558.9:7),27
"Jaundice, not newborn (782.4:0)",26
Adult-onset Still's disease (714.30:10),26
Renal Abscess (590.2:2),26
Renal mass (593.9:4),26
"Pyogenic arthritis, hip (711.05:1)",26
Nonrheumatic aortic valve stenosis (424.1:2),26
Proteus species infection (041.6:5),26
Thyrotoxicosis (242.90:0),26
TB meningitis (013.00:0),26
Skin abscess (682.9:10),26
Chronic rheumatic heart disease (398.90:1),26
Ileus of bowel (560.1:1),25
VF (427.41:0),25
Metastasis to liver (197.7:999),25
Angina pectoris (413.9:0),25
Salmonella GE (003.0:0),25
Encephalopathy (348.3:0),25
Non-rheumatic mitral regurg (424.0:2),25
Portal hypertensive gastropathy (537.89:8),25
Loin pain (593.83:1),25
Cervical lymphadenopathy (785.6:3),25
Pulmonary tuberculosis (011.90:0),24
Peripheral vascular disease (443.9:1),24
"Lymphoma, spleen (202.87:0)",24
Old CVA (438:0),24
LOC (780.09:2),24
Hip joint pain (719.45:2),24
Rupture sigmoid diverticulum (562.10:5),24
Acquire immunodeficiency syndro (042:0),24
"Delivered, PPPH + uterine atony (666.12:803)",24
Lymphadenopathy (785.6:1),24
Ca urinary bladder (188.9:1),24
Human metapneumovirus pneumonia (480.8:3),24
Mal neo female breast- central (174.1:0),24
"Lymphosarcoma, abdominal (200.13:0)",24
Cellulitis of trunk (682.2:0),23
Closed # pelvis w ring disruption (808.43:1),23
Cancer of main bronchus (162.2:0),23
Small bowel bleeding (578.9:4),23
Fungal septicemia (117.9:5),23
Hypokalemia (276.8:1),23
Small bowel infarction (557.0:13),23
M&B dis alcohol withdraw delirium (291.0:5),23
Diverticulosis colon w hemorrhage (562.12:0),23
Melioidosis (025:0),23
Upper airway obstruction (519.8:2),22
Pseudomembranous colitis (008.45:0),22
Extensive bowel gangrene (557.0:2),22
Cellulitis of face (682.0:0),22
Hyperkalemia (276.7:1),22
Coronary atherosclerosis (414.00:0),22
Subdural hemorrhage (432.1:999),22
Tubo-ovarian abscess (614.2:4),22
Myeloma (203.00:2),22
Unc behav neo meninges (237.6:0),22
Rheumatic mitral stenosis (394.0:1),22
Pulmonary hypertension (416.0:1),22
Guillain Barre syndrome (357.0:3),22
Cellulitis of buttock (682.5:0),22
Vitamin B12 deficiency (266.2:7),22
"Abdom pain, right upper quadrant (789.01:0)",22
Perforation of duodenum (569.83:1),22
Parainfluenza infection (079.89:4),22
Drug-induced skin rash (693.0:1),22
Cl vault # cere lac+ contu mod LOC (800.13:0),22
Subendocardial AMI (410.71:0),22
Pericardial effusion (423.9:1),22
Cancer of stomach - pylorus (151.1:0),21
Gastroduodenitis (535.50:2),21
Closed # C1-C4 + cord injury (806.00:0),21
Salmonella sepsis (003.1:1),21
Cancer of pancreas (157.8:0),21
Gastric varices (456.8:5),21
Irradiation cystitis (595.82:0),21
LL weakness (780.9:3),21
Alcohol withdrawal delirium (291.0:0),21
Ulcerative colitis (556.9:0),21
Carcinomatosis (199.0:2),21
Hydronephrosis (591:0),21
Aspiration pneumonitis (507.0:4),21
Arch aortic aneurysm (441.2:6),21
"Femoral Hernia, Gangrene (551.00:0)",21
Food bolus obstruct of intestine (560.89:4),20
Constipation (564.0:0),20
"Delivered, severe pre-eclampsia (642.51:800)",20
Syncope (780.2:2),20
GB+ bile duct calc+ acute cholecys (574.60:0),20
Disseminated cancer (199.0:0),20
Chronic hepatic failure (571.8:2),20
Rheum mitral stenosis+ insuffic (394.2:0),20
Pulmonary aspiration (934.8:3),20
Post gastrectomy (V15.2:1),20
Cirrhosis w bleed esophap varices (571.5:2),20
Stage IV decubitus ulcer (707.0:7),20
Cardiac tamponade (423.9:2),20
Retroperitoneal Abscess (567.2:8),20
Necrotizing pancreatitis (577.0:4),20
Hemorrhage (459.0:0),20
Hypoxic ischemic encephalopathy (348.1:2),19
Acute peptic ulcer w perforation (533.10:0),19
"Streptococcal sepsis, group B (038.0:5)",19
Neuroleptic malignant syndrome (333.92:0),19
Rectal ulcer with bleeding (569.41:5),19
Aplastic anemia (284.9:0),19
Typhus (081.9:0),19
Toxic diffuse goiter (242.00:0),19
Cortex contusion mod coma (851.03:0),19
Rectal ulcer (569.41:3),19
Lymphoma abdominal (202.83:0),19
Close skull vault # prolong coma (800.44:0),19
Gas gangrene (040.0:0),19
Stone GB+ bile duct w obstruction (574.91:0),19
Cl vault# ICH pro LOC regain consc (800.24:0),19
Dizziness (780.4:1),19
Neutropenia (288.0:1),19
Brain disorder (348.9:0),19
Chronic myelomonocytic leukemia (205.10:1),19
Plasmacytoma (238.6:1),19
Malign tumour thyroid (193:0),18
Unc behav neo pituitary (237.0:0),18
Neutropenic fever (780.6:3),18
Aspergillosis (117.3:0),18
Miliary TB (018.90:0),18
Impaired renal function (593.9:6),18
Elevated liver enzyme level (790.5:5),18
Duodenitis (535.60:0),18
Subdural h'mage brief coma (852.22:0),18
Toxic diffuse goiter w crisis (242.01:0),18
Dislodge right nephrostomy tube (996.39:11),18
Perforated small & large bowel (569.83:8),18
Gram negative sepsis (038.40:1),18
Uncontroll DM with hyperglycaemia (250.82:6),18
Pancreatic abscess (577.0:5),18
CMV pneumonia (078.5:1),18
"GE, noninfectious (558.9:8)",18
Small bowel tumor (239.0:8),18
"COVID-19, virus not identified (519.8:10)",18
Hx-major cardiovasc surg (V15.1:0),17
Viral pneumonia (480.9:0),17
Bronchio obliter organis pneumonia (516.8:1),17
Infection orthopaedic device (996.67:2),17
Hydronephrosis w stone obstruction (591:9),17
Thyrotoxicosis with crisis (242.91:0),17
Anemia due to chronic illness (285.8:1),17
"Aortic dissect aneur, thorac, rupt (441.01:2)",17
"Lymphosarcoma, head (200.11:0)",17
Ascending aortic aneurysm (441.2:5),17
Dieulafoy's vascular malformation (447.8:3),17
CA pyriform sinus (148.1:0),17
"Myocarditis, Acute (422.90:0)",17
Nephrogenic diabetes insipidus (588.1:0),17
Acute hepatitis B with coma (070.20:0),17
Rheumatoid arthritis (714.0:0),17
Peritonsillar abscess (475:0),17
Knee effusion (719.06:1),17
Myeloproliferative disease (238.7:5),17
Non-TB septic spondylitis (720.9:1),17
Portal vein thrombosis (452:0),17
Alcoholic liver failure (571.3:1),17
Cerebrovascular disease (437.9:0),17
Local skin infection (686.9:0),17
Acute duoden ulcer w h'age+ perfor (532.20:0),17
Perforation GI tract (569.83:13),16
"Posterior AMI, initial (410.61:0)",16
Retroperitoneal tumor (239.0:7),16
Empyema gallbladder (575.0:1),16
Burn Eye/Adenexa (940.9:0),16
"Dehydration, severe (276.5:4)",16
Non-alcoholic cirrhosis - B (571.5:5),16
"SDH, nontraumatic (432.1:0)",16
Cerebral cortex contus <1 hr coma (851.02:0),16
Nephrotic syndrome (581.9:0),16
BPH (600:4),16
Dysphagia (787.2:0),16
Persistent vomiting (536.2:0),16
Penicillosis (117.9:7),16
Epistaxis (784.7:0),16
"Twin pregnancy, delivered (651.01:0)",16
"Cancer, primary unknown (199.1:14)",16
Mother delivered w fetal distress (656.31:800),16
Skin disorders (709.8:0),16
Rupture 1 Ca liver (573.8:5),16
Traumatic laceration of liver (864.05:1),16
"Pyogenic arthritis, ankle & foot (711.07:0)",16
"Nodular lymphoma, multi sites (202.08:0)",16
Acalculous cholecystitis (575.10:1),16
Uncontrol type II DM ketoacid coma (250.32:1),16
Diverticulitis of colon (562.11:0),16
Cancer connective+ soft tissue (171.9:0),16
Vomiting alone (787.03:0),16
Ludwig's Angina (528.3:2),16
Intracranial inj >24 hrs LOS (854.04:0),16
Autoimmune encephalitis (323.8:2),16
Perforated gallbladder (575.4:0),16
Gouty arthritis (274.0:1),16
Dislodge left nephrostomy tube (996.39:13),16
Leg ulcer (707.1:5),15
Transient cerebral ischemia (435.9:0),15
Cryptococcal meningitis (117.5:1),15
Intracranial inj w LOS <1 hr (854.02:0),15
PVD of lower limb (443.9:2),15
Psychosis (298.9:0),15
Iliac artery aneurysm (442.2:0),15
Ruptured Thoracic Aneury (441.1:0),15
Acute epiglottitis (464.30:0),15
Cancer of retroperitoneum (158.0:0),15
AMI initial episode of care (410.91:0),15
Strepto pneumococcal septicemia (038.2:0),15
Pernicious anemia (281.0:0),15
Primary biliary cholangitis (571.6:1),15
Malig brain tumor - temporal lobe (191.2:0),15
Pulmonary hemorrhage (786.3:3),15
Ventricular tachycardia (427.1:2),15
Old MI (412:0),15
Recurrent Cholangitis (576.1:3),15
Pseudomonas infection (041.7:0),15
B-cell lymphoma (202.80:37),15
# femur - closed (821.00:0),15
Viral exanthem (057.9:0),15
Malignant Ascites (197.6:1),15
Pseudo-obs of intestine (564.8:1),15
Dis of gallbladder (575.8:0),15
Bullous pemphigoid (694.5:3),15
Acute bronchitis (466.0:0),15
Falls (799.5:0),15
Decrease in appetite (783.0:1),15
Colon polyp (569.89:4),15
Poison by anticoagulant (964.2:0),15
Post COVID-19 condition (139.8:5),15
Unilateral IH with gangrene (550.00:0),15
Myelodysplastic/proliferative dis (238.7:10),15
Thoracic aortic aneurysm (441.2:0),15
Spotted fevers (082.0:0),15
Cong cystic liver disease (751.62:0),15
Hydrocephalus (331.4:5),15
Respiratory arrest (799.1:0),15
Systemic vasculitis (447.6:10),15
BPH with AROU (600:1),14
Supraventricular tachycardia (427.89:1),14
Malig neo frontal lobe (191.1:0),14
Bone metastasis (198.5:1),14
Vivax malaria (084.1:0),14
CML in complete remission (205.11:0),14
CA urinary bladder lateral wall (188.2:0),14
M&B alcohol dependence synd (303.90:7),14
Neuromyelitis optica (341.0:0),14
Leukemia (208.80:0),14
Edema of LL (782.3:1),14
Viral hep B carrier (V02.61:0),14
Brain death (348.8:1),14
"Lymphosarcoma, thorax (200.12:0)",14
Blocked PTBD catheter (996.59:14),14
Vasculitis (447.6:1),14
Small bowel volvulus (560.2:5),14
Streptococcal sepsis (038.0:3),14
Fungal peritonitis (117.9:4),14
Acute and chronic cholecystitis (575.12:0),14
Cerv spondyl w myelopath (721.1:0),14
Empyema thoracis (510.9:1),14
CBD stone w acute cholecystitis (574.30:0),14
Int hemorrhoid w/o compl (455.0:0),14
Human metapneumovirus infection (079.89:8),14
Diverticulitis (562.11:999),14
Normal spontaneous delivery (650:1),14
Hiatus Hernia (553.3:1),14
CA female breast upper-inner quad (174.2:0),14
Acute gastritis (535.00:0),14
Traumatic SAH LOC < 1 hr (852.02:0),14
Chronic peptic ulcer w perforation (533.50:0),13
Atypical mycobacterial infection (031.9:0),13
Chr duoden bleed ulcer + perforate (532.60:0),13
Infection due to enterococcus (041.04:2),13
Bacteremia due to salmonella (790.7:2),13
Laceration (879.8:5),13
Cancer of tonsil (146.0:0),13
Plasma cell leukemia (203.10:0),13
Bradycardia (427.89:15),13
Pulmonary edema (514:3),13
Abdominal distension (787.3:3),13
Stricture of ureter (593.3:3),13
Intestinal ulcer (569.82:0),13
Necrosis of skin/subcutaneo tissue (785.4:5),13
Bladder disorder (596.9:0),13
Acinetobacter septicemia (038.49:2),13
Knee pain (719.46:1),13
CBD obstruction (576.2:3),13
Uncontrol type I DM ketoacidosis (250.13:0),13
