Organism,Count
Campylobacter jejuni,91
Clostridium ramosum,90
Corynebacterium amycolatum,90
Bacillus cereus group,90
Burkholderia pseudomallei,83
Bacteroides ovatus,83
Shewanella species,77
Veillonella species,77
Mycobacterium mageritense,76
Anaerobic Gram-positive bacilli,75
Trichophyton rubrum,73
Streptococcus sanguinis,72
Alcaligenes faecalis,71
Streptococcus gallolyticus,71
Vibrio vulnificus,70
Aspergillus species,70
Streptococcus gallolyticus subspecies pasteurianus,68
Aerococcus urinae,63
Aspergillus fumigatus,58
Chryseobacterium species,58
Parabacteroides distasonis,58
Acinetobacter junii,58
Citrobacter freundii,57
Clostridium species,56
"Streptococcus, group C",55
Candida guilliermondii,54
Vibrio parahaemolyticus,54
Actinomyces odontolyticus,53
Candida orthopsilosis,53
Streptococcus gordonii,52
Clostridium innocuum,52
Streptococcus salivarius,52
Candida metapsilosis,51
Kodamaea ohmeri,51
Gemella morbillorum,50
Prevotella nigrescens,50
Fusobacterium varium,50
Salmonella group C,50
Achromobacter xylosoxidans,50
Trichosporon species,50
Staphylococcus warneri,49
Eikenella corrodens,48
Corynebacterium resistens,47
Moraxella catarrhalis,46
Elizabethkingia anophelis,46
Pasteurella multocida,45
Mycobacterium gordonae,45
Actinomyces turicensis,44
Cryptococcus neoformans,43
Mycobacterium chelonae,41
Proteus vulgaris,41
Saccharomyces cerevisiae,40
Bacteroides pyogenes,39
Pseudomonas putida group,39
Proteus hauseri,38
Bacteroides uniformis,38
Corynebacterium tuberculostearicum,38
Slackia exigua,37
Streptococcus oralis,37
Pluralibacter gergoviae,37
Pichia species,37
Arcanobacterium haemolyticum,36
Fusobacterium nucleatum,36
Dermabacter hominis,36
Moraxella osloensis,35
Granulicatella adiacens,34
Fusobacterium mortiferum,33
Prevotella buccae,33
Mould,33
Aspergillus fumigatus complex,33
Non-haemolytic streptococcus,33
Anaerococcus species,33
Aeromonas hydrophila,32
Gemella species,30
Kocuria species,30
Mycobacterium parascrofulaceum,29
Actinotignum species,29
Listeria monocytogenes,28
Plesiomonas shigelloides,28
Micrococcus luteus,28
Mycobacterium lentiflavum,27
Enterococcus hirae,27
Moraxella species,27
Aspergillus niger,26
Enterobacter cloacae,26
Aspergillus flavus,26
Alcaligenes species,26
Staphylococcus saprophyticus,25
Raoultella species,25
Anaerococcus vaginalis,25
Trichophyton rubrum complex,25
Salmonella group E,25
Gram-positive coccobacilli,24
Actinomyces neuii,24
Lactobacillus rhamnosus,24
Kluyvera species,24
Enterobacter hormaechei,24
Lactococcus species,24
Mycobacterium marinum,24
Bacteroides caccae,24
Salmonella typhimurium,23
Bifidobacterium longum,23
Haemophilus parahaemolyticus,22
Proteus penneri,22
Prevotella disiens,22
Aggregatibacter aphrophilus,22
Aeromonas caviae,22
Corynebacterium simulans,22
Shewanella algae,21
Acinetobacter bereziniae,21
Bacillus cereus,20
Bifidobacterium species,20
Nocardia species,20
Campylobacter coli,20
Pseudomonas putida,19
Clavispora lusitaniae,19
Bacteroides nordii,19
Brevibacterium species,19
Haemophilus species,19
Fusarium species,19
Prevotella melaninogenica,19
Chryseobacterium indologenes,19
Salmonella Typhi,18
Neisseria gonorrhoeae,18
Lactococcus garvieae,18
Porphyromonas gingivalis,17
Corynebacterium macginleyi,17
Corynebacterium aurimucosum,17
Prevotella denticola,17
Corynebacterium pseudodiphtheriticum,16
Lactobacillus gasseri,16
Streptococcus vestibularis,16
Gleimia europaea,16
Sphingomonas paucimobilis,16
Staphylococcus pettenkoferi,16
Peptoniphilus indolicus,16
Clostridium paraputrificum,16
Paenibacillus species,16
Ochrobactrum species,16
Acinetobacter ursingii,15
Actinotignum schaalii,15
Campylobacter rectus,15
Aggregatibacter segnis,15
Anaerococcus murdochii,15
Trichophyton species,15
Bacteroides salyersiae,15
Porphyromonas species,15
Kluyveromyces marxianus,15
Prevotella heparinolytica,15
"Vibrio cholerae, non-O1/non-O139",14
Aspergillus niger complex,14
Vibrio fluvialis,14
Corynebacterium coyleae,14
Clostridium tertium,14
Lactobacillus fermentum,14
Citrobacter braakii,13
Campylobacter jejuni subsp. Jejuni,13
Microbacterium species,13
Comamonas species,13
Mycobacterium mucogenicum group,13
Oligella urethralis,13
Actinomyces neuii ss neuii,13
Candida nivariensis,13
Haemophilus haemolyticus,13
Candida glabrata complex,13
Corynebacterium kroppenstedtii,13
Eubacterium species,13
Penicillium species,13
Dialister pneumosintes,13
Neisseria subflava,13
Porphyromonas asaccharolytica,12
Bacteroides stercoris,12
Pasteurella species,12
Mycobacterium xenopi,12
Aerococcus species,12
Pseudomonas otitidis,12
Aerococcus sanguinicola,12
Rothia species,12
Corynebacterium accolens,12
Candida norvegensis,11
Comamonas kerstersii,11
Acinetobacter pittii,11
Gardnerella species,11
Gordonia species,11
Candida haemulonii complex,11
Lactobacillus paracasei,11
Aggregatibacter species,11
Tsukamurella species,11
Exophiala dermatitidis,11
Leuconostoc species,10
Staphylococcus saccharolyticus,10
Pasteurella canis,10
Lactobacillus delbrueckii,10
Rothia dentocariosa,10
Acidaminococcus intestini,10
Mycobacterium haemophilum,10
Dermabacter species,10
Edwardsiella tarda,10
Neisseria meningitidis,10
Prevotella baroniae,9
Vibrio species,9
Citrobacter amalonaticus,9
Prevotella oralis,9
Pseudomonas stutzeri,9
Capnocytophaga species,9
Staphylococcus cohnii,9
Pseudoglutamicibacter species,9
Legionella pneumophila serogroup 1,9
Aspergillus flavus complex,9
Clostridium sporogenes,9
Attenuated Mycobacterium bovis,9
Streptococcus suis,9
Finegoldia species,8
Elizabethkingia meningoseptica,8
Campylobacter species,8
Bilophila wadsworthia,8
Lodderomyces elongisporus,8
Bifidobacterium breve,8
Rhodotorula species,8
Actinomyces oris,8
Prevotella buccalis,8
Catabacter hongkongensis,8
Prevotella veroralis,8
Candida duobushaemulonii,8
Prevotella oris,8
Streptococcus mitis,8
Campylobacter fetus,8
Pasteurella stomatis,8
Raoultella planticola,8
Neisseria elongata,7
Fusobacterium necrophorum,7
Abiotrophia defectiva,7
Arthrobacter cumminsii,7
Pseudomonas oryzihabitans,7
Pantoea species,7
Atopobium rimae,7
Aeromonas veronii biovar sobria,7
Magnusiomyces species,7
Roseomonas species,7
Vagococcus fluvialis,7
Prevotella timonensis,7
Paenibacillus urinalis,7
Tsukamurella tyrosinosolvens,7
Chryseobacterium arthrosphaerae,7
Acinetobacter lwoffii,7
Delftia acidovorans,7
Raoultella ornithinolytica,7
Cutibacterium species,7
Hafnia alvei,7
Enterococcus thailandicus,7
Peptoniphilus harei,7
Aeromonas hydrophila complex,7
Ralstonia mannitolilytica,7
Eggerthia catenaformis,6
Ruminococcus gnavus,6
Cutibacterium modestum,6
Roseomonas mucosa,6
Lactobacillus salivarius,6
Enterococcus cecorum,6
Brevibacterium ravenspurgense,6
Schaalia species,6
Malassezia species,6
Pichia norvegensis,6
Solobacterium moorei,6
Shewanella putrefaciens,6
Actinomyces radingae,6
Candida haemulonii,6
Clostridium saudiense,6
Rhizobium species,6
Aspergillus terreus complex,6
Myroides odoratimimus,6
Mycobacterium paragordonae,6
Capnocytophaga sputigena,6
Edwardsiella species,6
Gemella haemolysans,6
Porphyromonas somerae,6
Mycoplasma hominis,6
Bordetella bronchiseptica,6
Anaerobic Gram-negative cocci,6
Mycobacterium simiae,6
Salmonella london,6
Staphylococcus simulans,6
Atopobium parvulum,6
Parabacteroides goldsteinii,6
Veillonella parvula,5
Parabacteroides species,5
Limosilactobacillus species,5
Neisseria oralis,5
Eubacterium aerofaciens,5
Staphylococcus pseudintermedius,5
Ralstonia picketti,5
Cryptococcus species,5
Fusobacterium gonidiaformans,5
Globicatella sanguinis,5
Salmonella stanley,5
Brevibacillus species,5
Streptococcus dysgalactiae subsp. dysgalactiae,5
Kocuria kristinae,5
Mycobacterium neoaurum,5
Actinomyces georgiae,5
Clostridium bifermentans,5
Actinomyces graevenitzii,5
Myroides species,5
Paraclostridium bifermentans,5
Flavonifractor plautii,5
Dolosigranulum pigrum,5
Ralstonia species,5
Streptococcus pseudopneumoniae,5
Streptococcus gallolyticus subspecies gallolyticus,5
Burkholderia gladioli,5
Fannyhessea vaginae,5
Ochrobactrum intermedium,5
Peptoniphilus gorbachii,5
Bifidobacterium bifidum,5
Legionella pneumophila,5
Staphylococcus petrasii,5
Parabacteroides merdae,5
Mucor species,5
Clostridium septicum,4
Bergeyella zoohelcum,4
Corynebacterium afermentans,4
Streptobacillus moniliformis,4
Bacteroides cellulosilyticus,4
Meyerozyma guilliermondii,4
nontoxigenic Corynebacterium diphtheriae,4
Mycobacterium paraffinicum,4
Saccharomyces species,4
Brevundimonas species,4
Paenibacillus lautus,4
Bifidobacterium adolescentis,4
Aeromonas veronii,4
Actinomyces urogenitalis,4
Globicatella species,4
Vagococcus species,4
Streptococcus minor,4
Streptococcus mutans,4
Peptostreptococcus stomatis,4
Mycobacterium africanum,4
Propionibacterium avidum,4
Schizophyllum commune,4
Leuconostoc lactis,4
Peptoniphilus lacrimalis,4
Candida rugosa,4
Corynebacterium glucuronolyticum,4
Desulfovibrio species,4
Bacteroides intestinalis,4
Eubacterium limosum,4
Shigella flexneri,4
Gordonibacter species,4
Eggerthella hongkongensis,4
Malassezia furfur,4
Prevotella corporis,4
Kodamaea species,4
Geotrichum species,4
Streptococcus cristatus,4
Rhizopus species,4
Helcococcus species,4
Staphylococcus sciuri,4
Pantoea dispersa,4
Trichophyton mentagrophytes,3
Mycobacterium terrae complex,3
Trichosporon japonicum,3
Ochrobactrum anthropi,3
Turicella otitidis,3
Clostridium butyricum,3
Wickerhamomyces anomalus,3
Mycobacterium scrofulaceum,3
Salmonella group I,3
Parabacteroides gordonii,3
Gram-negative cocci,3
Nocardia farcinica complex,3
Atopobium species,3
Nocardia farcinica,3
Cellulosimicrobium cellulans,3
Citrobacter werkmanii,3
Pseudomonas mendocina,3
Mycobacterium iranicum,3
Clostridium disporicum,3
Clostridium hathewayi,3
Citrobacter amalonaticus complex,3
Mycobacterium asiaticum,3
Dermacoccus species,3
Serratia marcescens complex,3
Cryptococcus gattii,3
Aeromonas sobria,3
Neisseria zoodegmatis,3
Gordonia sputi,3
Filifactor alocis,3
Mycobacterium obuense,3
Olsenella uli,3
Escherichia fergusonii,3
Paenibacillus glucanolyticus,3
Eikenella species,3
Bacteroides massiliensis,3
Cladosporium species,3
Porphyromonas uenonis,3
Lactobacillus johnsonii,3
Eggerthella sinensis,3
Pseudomonas fluorescens,3
Aggregatibacter actinomycetemcomitans,3
Brevibacterium casei,3
Meyerozyma guilliermondii complex,3
Mycobacterium novocastrense,3
Limosilactobacillus reuteri,3
Bordetella trematum,3
Kerstersia gyiorum,3
Trueperella bernardiae,3
Kocuria rhizophila,3
Neisseria macacae,3
Desulfovibrio desulfuricans,3
Peptoniphilus asaccharolyticus,3
Prevotella nanceiensis,3
Acidovorax temperans,3
Prevotella pallens,3
Brachybacterium species,3
Scotochromogenic mycobacteria,3
Aspergillus terreus,3
Pantoea agglomerans,3
Rothia koreensis,3
Acinetobacter radioresistens,3
Varibaculum species,3
Salmonella derby,3
Escherichia species,3
Candida lipolytica,3
Weissella confusa,3
Weissella species,3
Collinsella species,2
Corynebacterium minutissimum,2
Prevotella histicola,2
Leclercia adecarboxylata,2
Alistipes indistinctus,2
Anaerococcus tetradius,2
Staphylococcus piscifermentans,2
Brevundimonas vesicularis,2
Campylobacter gracilis,2
Dysgonomonas species,2
Odoribacter splanchnicus,2
Bordetella species,2
Trichosporon inkin,2
Actinotignum sanguinis,2
Pseudescherichia vulneris,2
Rhodotorula rubra,2
Streptococcus canis,2
Peptoniphilus coxii,2
Bacteroides faecis,2
Streptococcus infantarius,2
Prevotella loescheii,2
Mycobacterium kyorinense,2
"Legionella pneumophila, not serogroup 1",2
Bacillus subtilis,2
Actinobaculum schaalii,2
Pantoea septica,2
Corynebacterium pyruviciproducens,2
Kluyvera ascorbata,2
Bacillus licheniformis,2
Aeromonas caviae complex,2
Exophiala species,2
Prevotella bergensis,2
Pediococcus species,2
Coprobacillus cateniformis,2
Pseudomonas guariconensis,2
Chryseobacterium hominis,2
Arthrobacter species,2
Lysinibacillus species,2
Bacillus megaterium,2
Nocardia cyriacigeorgica,2
Pseudoramibacter alactolyticus,2
Prevotella salivae,2
Erysipelothrix rhusiopathiae,2
Lactobacillus crispatus,2
Burkholderia species,2
Actinomyces israelii,2
Cutaneotrichosporon species,2
Propionibacterium granulosum,2
Clostridium glycolicum,2
Prevotella dentalis,2
Acinetobacter baylyi,2
Neisseria weaveri,2
Kazachstania telluris,2
Mycobacterium agri,2
Alloprevotella tannerae,2
Fusobacterium canifelinum,2
Acinetobacter johnsonii,2
Mycobacterium saopaulense,2
Actinobaculum massiliense,2
Salmonella group K,2
Clostridium baratii,2
Paeniclostridium sordellii,2
Aerococcus viridans,2
Facklamia hominis,2
Actinomyces naeslundii,2
Propionimicrobium lymphophilum,2
Salmonella group G,2
Gram-positive cocci in clusters,2
Prototheca species,2
Campylobacter fetus subsp. Fetus,2
Nocardia beijingensis,2
Streptococcus urinalis,2
Oscillibacter ruminantium,2
Fusarium oxysporum complex,2
Lactococcus lactis,2
Corynebacterium propinquum,2
Mycelia sterilia,2
Phocaeicola species,2
Fusarium solani complex,2
Caulobacter species,2
Citrobacter farmeri,2
Elizabethkingia miricola,2
Peptostreptococcus asaccharolyticus,2
Penicillium citrinum,2
Salmonella Paratyphi A,2
Citrobacter youngae,2
Rhodococcus species,2
Alloprevotella rava,2
Corynebacterium argentoratense,2
Vagococcus lutrae,2
Candida utilis,2
Mycoplasma species,2
Fusobacterium ulcerans,2
Varibaculum cambriense,2
Mycobacterium europaeum,2
Limosilactobacillus mucosae,1
Alistipes finegoldii,1
Chryseobacterium gleum,1
Ruthenibacterium lactatiformans,1
Acremonium species,1
Bordetella hinzii,1
Curvularia species,1
Metabacillus species,1
Helicobacter pullorum,1
Robinsoniella peoriensis,1
Scedosporium species,1
Mycobacterium interjectum,1
Parvimonas species,1
Lancefieldella species,1
Chromobacterium species,1
Sutterella species,1
Victivallis lenta,1
Clostridium cadaveris,1
Pseudomonas nitroreducens,1
Eutypella species,1
Dolosicoccus paucivorans,1
Cyberlindnera fabianii,1
Blastoschizomyces capitatus,1
Streptococcus infantarius subspecies infantarius,1
Lysinibacillus fusiformis,1
Burkholderia cenocepacia,1
Frederiksenia canicola,1
Actinomyces funkei,1
Corynebacterium diphtheriae,1
Neisseria animaloris,1
Candida pararugosa,1
Pseudomonas mosselii,1
Corynebacterium massiliense,1
Mycobacterium grossiae,1
Bacteroides ureolyticus,1
Corynebacterium imitans,1
Staphylococcus xylosus,1
Salmonella Paratyphi B,1
Empedobacter brevis,1
Sphingobacterium multivorum,1
Franconibacter pulveris,1
Actinomyces cardiffensis,1
Salmonella group F,1
Arthrinium species,1
Sphingomonas species,1
Sporosarcina soli,1
Fungus,1
Providencia alcalifaciens,1
Lactobacillus brevis,1
Lacrimispora species,1
Lachancea fermentati,1
Trichosporon mucoides,1
Phanerochaete species,1
Mycobacterium cosmeticum,1
Enterocloster bolteae,1
Staphylococcus succinus,1
Lactobacillus jensenii,1
"Mycobacterium, non-TB",1
Faecalitalea cylindroides,1
Exiguobacterium species,1
Chryseomonas luteola,1
"Vibrio species, not Vibrio cholerae",1
Massilia species,1
Moraxella nonliquefaciens,1
Comamonas testosteroni,1
Facklamia languida,1
Clostridium subterminale,1
Magnusiomyces capitatus,1
Christensenella minuta,1
Pediococcus acidilactici,1
Dietzia species,1
Wohlfahrtiimonas chitiniclastica,1
Actinomyces meyeri,1
Dialister species,1
Peptostreptococcus canis,1
Kosakonia species,1
Microsporum species,1
Alloprevotella species,1
Oligella species,1
Stenotrophomonas acidaminiphila,1
Bacillus simplex,1
Pediococcus pentosaceus,1
Helcococcus kunzii,1
Kytococcus schroeteri,1
Murdochiella asaccharolytica,1
Deinococcus species,1
Dialister micraerophilus,1
Calidifontibacter indicus,1
Prevotella amnii,1
Shigella sonnei,1
Haemophilus paraphrohaemolyticus,1
Sutterella wadsworthensis,1
Paenibacillus residui,1
Enterocloster clostridioformis,1
Streptococcus mutans group,1
Rhizobium radiobacter,1
Laribacter hongkongensis,1
Kingella species,1
Streptococcus equi subsp. equi,1
Haemophilus paraphrophilus,1
Salmonella wandsworth,1
Staphylococcus schleiferi,1
Salmonella rissen,1
Gram-positive cocci in chains,1
Gram-negative coccobacilli,1
Scopulariopsis species,1
Corynebacterium falsenii,1
Microbacterium esteraromaticum,1
Mycobacterium mantenii,1
Bacillus circulans,1
Mycobacterium celatum,1
Clostridium symbiosum,1
Actinobaculum urinale,1
Dermacoccus nishinomiyaensis,1
Corynebacterium freneyi,1
Yarrowia lipolytica,1
Paraeggerthella species,1
Gemella sanguinis,1
Enterococcus pseudoavium,1
Anaerococcus hydrogenalis,1
Acinetobacter variabilis,1
Hungatella species,1
Eubacterium tenue,1
Lysinibacillus odysseyi,1
Nocardia abscessus,1
Micrococcus terreus,1
Corynebacterium mucifaciens,1
Vibrio metschnikovii,1
Limnobacter thiooxidans,1
Peptoniphilus olsenii,1
Escherichia hermannii,1
Trichoderma species,1
Haemophilus sputorum,1
Bulleidia extructa,1
Epidermophyton floccosum,1
Veillonella atypica,1
Salmonella weltevreden,1
Paecilomyces species,1
Leptotrichia hofstadii,1
Rapid growing mycobacteria,1
Lautropia mirabilis,1
Prevotella jejuni,1
Fungal Hyphae,1
Trichophyton tonsurans,1
Haemophilus pittmaniae,1
Trametes species,1
Trichomonas vaginalis,1
Pseudomonas alcaliphila,1
Tsukamurella pulmonis,1
Kosakonia cowanii,1
Streptococcus porcinus,1
Cronobacter species,1
Chryseobacterium gambrini,1
Bacteroides eggerthii,1
Fusobacterium naviforme,1
Prototheca wickerhamii,1
Rhodotorula minuta,1
Clostridium jeddahense,1
Brevibacterium paucivorans,1
Achromobacter insolitus,1
Mycobacterium szulgai,1
Serratia liquefaciens,1
Pandoraea species,1
Acinetobacter defluvii,1
Bacteroides dorei,1
Leptotrichia trevisanii,1
Clostridium bartlettii,1
Trichophyton mentagrophytes complex,1
Candida famata,1
Aspergillus versicolor complex,1
Microsporum canis,1
Olsenella species,1
Delftia species,1
Pseudomonas koreensis,1
Bacillus oceanisediminis,1
Actinobacillus species,1
Ochroconis species,1
Scedosporium apiospermum,1
Achromobacter mucicolens,1
Cohnella species,1
Actinomyces weissii,1
Anaerococcus prevotii,1
Ignatzschineria species,1
Anaerobic Gram-positive coccobacilli,1
Brevibacterium otitidis,1
Gordonia bronchialis,1
Pluralibacter species,1
Gallibacterium anatis,1
Propionimicrobium species,1
Veillonella dispar,1
Pseudomonas stutzeri group,1
Acinetobacter baumannii group,1
Tissierella praeacuta,1
Parabacteroides faecis,1
Alistipes onderdonkii,1
Kocuria rosea,1
Pseudomonas citronellolis,1
Agromyces mediolanus,1
