Year,V02,V03,V04,V099,V11,V13,V14,V18,V23,V27,V43,V44,V47,V58,V67,V69,V77,V811,V91,V94,W01,W03,W05,W06,W08,W10,W11,W12,W13,W15,W17,W18,W19,W20,W27,W65,W67,W69,W74,W78,W79,W80,W83,W84,W92,X00,X02,X04,X06,X08,X09,X10,X11,X30,X41,X42,X44,X45,X47,X59,X60,X61,X63,X64,X67,X68,X69,X70,X71,X76,X78,X80,X99,Y04,Y11,Y14,Y21,Y40,Y42,Y60,Y600,Y71,Y830,Y831,Y832,Y833,Y838,Y839,Y841,Y848,Y849,Y88,Y882
2013,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2016,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,6,2,1,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2017,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,4,0,0,1,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,2,2,0,0,0,0,1,0,0,1,0,1,0,0,1,0,4,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,2,0,0,0,0
2018,0,5,2,0,0,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,3,3,0,0,0,0,0,1,0,4,0,0,2,1,0,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,2,1,0,0,3,0,1,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,2,0,1,0,0,0
2019,0,4,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,2,1,0,0,1,0,8,4,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,1,0,0,0,1,1,5,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,1
2020,1,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,4,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,1,0,1,2,1,0,0,3,0,0,2,0,0,1
2021,0,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,3,11,1,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,4,1,0,0,3,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,2,0,0,0
2022,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,2,0,0,1,0,1,4,5,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,2,0,0,0
2023,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,3,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0
2024,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
