Organism_Combination,Count
Klebsiella pneumoniae complex | Pseudomonas aeruginosa,89
Enterococcus faecalis | Proteus mirabilis,88
Proteus mirabilis | Pseudomonas aeruginosa,88
Mycobacterium abscessus,86
"Streptococcus, group G",83
Candida albicans | Klebsiella pneumoniae complex,82
Candida albicans | Enterococcus faecium | Escherichia coli,81
Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus,79
Candida tropicalis | Escherichia coli,77
Escherichia coli | Morganella morganii,76
Escherichia coli | Streptococcus agalactiae,75
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Staphylococcus aureus,73
Enterococcus faecium | Methicillin resistant Staphylococcus aureus,73
Salmonella Enteritidis,73
Klebsiella pneumoniae | Pseudomonas aeruginosa,71
Mycobacterium avium complex | Mycobacterium species,71
Candida albicans | Klebsiella pneumoniae,71
Aeromonas species,70
Candida albicans | Candida glabrata,68
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans,67
"Streptococcus, viridans group",67
Escherichia coli | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa,67
Campylobacter jejuni,66
Enterococcus faecalis | Methicillin resistant Staphylococcus aureus,65
Escherichia coli | Klebsiella aerogenes,63
Streptococcus pneumoniae,63
Gram-negative bacilli,62
"Staphylococcus aureus | Staphylococcus, coagulase negative",61
Enterococcus faecalis | Pseudomonas aeruginosa,61
Enterobacter cloacae complex | Escherichia coli,61
Candida glabrata | Enterococcus faecium,59
Klebsiella pneumoniae | Klebsiella species,59
Escherichia coli | Streptococcus anginosus,58
Mycobacterium fortuitum complex,57
Acid-fast bacillus | Mycobacterium avium complex,57
Yeast,57
Enterobacter species,56
Clostridioides difficile | Escherichia coli,56
Corynebacterium striatum | Methicillin resistant Staphylococcus aureus,56
Escherichia coli | Streptococcus species,55
Staphylococcus aureus | Streptococcus agalactiae,54
Enterococcus faecalis | Staphylococcus aureus,53
Citrobacter species | Escherichia coli,53
"Methicillin resistant Staphylococcus aureus | Staphylococcus, coagulase negative",52
Staphylococcus capitis,52
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Escherichia coli | Methicillin resistant Staphylococcus aureus,52
Diphtheroids | Escherichia coli,52
Acinetobacter species,51
Candida albicans | Escherichia coli | Pseudomonas aeruginosa,50
Escherichia coli | Methicillin resistant Staphylococcus aureus | Proteus mirabilis,49
Streptococcus intermedius,49
Corynebacterium striatum | Escherichia coli,49
Candida parapsilosis complex,48
Candida albicans | Escherichia coli | Methicillin resistant Staphylococcus aureus,47
Providencia stuartii,47
Mycobacterium abscessus | Mycobacterium species,46
Klebsiella pneumoniae | Staphylococcus aureus,45
Streptococcus dysgalactiae subsp. equisimilis,45
Pseudomonas aeruginosa | Stenotrophomonas maltophilia,45
Lactobacillus species,45
Salmonella species,45
Streptococcus constellatus,44
Proteus species,44
Acinetobacter baumannii,44
Streptococcus mitis group,43
Escherichia coli | Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus,43
Candida albicans | Proteus mirabilis,42
Candida species | Escherichia coli,42
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Proteus mirabilis,41
Enterococcus faecium | Klebsiella pneumoniae complex,41
Candida albicans | Candida species,40
Proteus mirabilis | Staphylococcus aureus,40
Salmonella group B,39
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Klebsiella pneumoniae,39
"Enterococcus faecalis | Staphylococcus, coagulase negative",39
Serratia marcescens,39
Klebsiella pneumoniae complex | Staphylococcus aureus,39
Escherichia coli | Proteus mirabilis | Pseudomonas aeruginosa,39
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Enterococcus faecium,39
Bacillus species,38
Aeromonas species | Escherichia coli,38
Candida albicans | Candida tropicalis,38
Pichia kudriavzevii,37
Candida glabrata | Methicillin resistant Staphylococcus aureus,37
Escherichia coli | Klebsiella pneumoniae complex | Methicillin resistant Staphylococcus aureus,37
Escherichia coli | Gram-negative bacilli,37
Citrobacter koseri | Escherichia coli,36
Bacteroides fragilis group | Escherichia coli,36
"Pseudomonas aeruginosa | Staphylococcus, coagulase negative",36
Streptococcus pyogenes,36
Klebsiella species | Pseudomonas aeruginosa,35
Bacteroides fragilis | Escherichia coli,35
Klebsiella aerogenes | Methicillin resistant Staphylococcus aureus,35
Enterococcus faecium | Escherichia coli | Methicillin resistant Staphylococcus aureus,35
Vibrio parahaemolyticus,35
Corynebacterium striatum | Pseudomonas aeruginosa,35
Candida tropicalis | Pseudomonas aeruginosa,34
Klebsiella aerogenes | Pseudomonas aeruginosa,34
Candida glabrata | Pseudomonas aeruginosa,34
Escherichia coli | Stenotrophomonas maltophilia,34
Klebsiella pneumoniae complex | Proteus mirabilis,34
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa,33
Candida albicans | Mycobacterium tuberculosis,33
Enterobacter cloacae complex | Pseudomonas aeruginosa,33
Cutibacterium acnes,33
Candida glabrata | Klebsiella pneumoniae complex,33
Candida tropicalis | Enterococcus faecium,33
Candida albicans | Escherichia coli | Klebsiella pneumoniae complex,32
Klebsiella pneumoniae complex | Klebsiella species,32
Candida albicans | Enterococcus faecalis | Escherichia coli,32
Candida albicans | Enterococcus faecalis,32
Escherichia coli | Klebsiella pneumoniae complex | Pseudomonas aeruginosa,32
Coliform bacteria | Enterococcus faecalis,32
Corynebacterium species,32
Candida albicans | Stenotrophomonas maltophilia,32
"Staphylococcus aureus | Streptococcus, group G",31
"Candida albicans | Staphylococcus, coagulase negative",31
Candida albicans | Klebsiella species,31
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Klebsiella pneumoniae complex,31
Alpha-haemolytic streptococcus | Neisseria species | Rothia mucilaginosa,31
Gardnerella vaginalis,31
Enterococcus faecium | Staphylococcus aureus,31
Corynebacterium urealyticum,30
Candida albicans | Mycobacterium tuberculosis | Mycobacterium tuberculosis complex,30
Corynebacterium striatum | Staphylococcus aureus,29
Escherichia coli | Klebsiella pneumoniae | Pseudomonas aeruginosa,29
Propionibacterium species,29
Candida albicans | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa,29
Clostridium perfringens | Escherichia coli,29
Candida albicans | Enterococcus faecium | Pseudomonas aeruginosa,29
Pseudomonas aeruginosa | Serratia species,29
Enterococcus faecium | Proteus mirabilis,28
Enterococcus faecium | Klebsiella pneumoniae,28
Enterobacter cloacae complex | Klebsiella pneumoniae complex,28
Burkholderia cepacia complex,28
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Escherichia coli | Pseudomonas aeruginosa,28
Enterococcus faecium | Escherichia coli | Klebsiella pneumoniae complex,27
Candida albicans | Corynebacterium striatum,27
Diphtheroids | Methicillin resistant Staphylococcus aureus,27
Enterococcus faecalis | Klebsiella pneumoniae,27
Enterococcus faecalis | Klebsiella pneumoniae complex,27
Enterobacter cloacae complex | Staphylococcus aureus,27
Candida albicans | Enterococcus faecium | Methicillin resistant Staphylococcus aureus,26
Enterococcus faecalis | Escherichia coli | Proteus mirabilis,26
Mycobacterium kansasii,26
Bacteroides fragilis group,26
Candida albicans | Enterobacter cloacae complex,26
Enterococcus faecium | Escherichia coli | Pseudomonas aeruginosa,26
Enterococcus faecalis | Escherichia coli | Pseudomonas aeruginosa,26
Enterococcus faecalis | Enterococcus faecium | Escherichia coli,26
Candida albicans | Streptococcus agalactiae,26
Staphylococcus aureus | Staphylococcus lugdunensis,26
Bacteroides fragilis,26
Acid-fast bacillus | Mycobacterium abscessus,25
Acid-fast bacillus | Mycobacterium kansasii,25
Escherichia coli | Serratia species,25
Parvimonas micra,25
Klebsiella pneumoniae | Proteus mirabilis,25
Enterobacter cloacae complex | Methicillin resistant Staphylococcus aureus,25
Salmonella group C,25
Escherichia coli | Klebsiella pneumoniae | Staphylococcus aureus,24
"Enterococcus faecium | Staphylococcus, coagulase negative",24
Streptococcus bovis group,24
Morganella morganii | Proteus mirabilis,23
Enterococcus faecium | Escherichia coli | Proteus mirabilis,23
Alpha-haemolytic streptococcus | Neisseria species,23
Escherichia coli | Methicillin resistant Staphylococcus aureus | Staphylococcus aureus,23
Diphtheroids | Staphylococcus aureus,23
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Methicillin resistant Staphylococcus aureus,23
Mycobacterium fortuitum complex | Mycobacterium species,23
Candida glabrata | Staphylococcus aureus,22
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida glabrata,22
Diphtheroids | Enterococcus faecium,22
Enterococcus faecalis | Escherichia coli | Methicillin resistant Staphylococcus aureus,22
"Proteus mirabilis | Staphylococcus, coagulase negative",22
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Enterococcus faecalis,22
Candida albicans | Klebsiella aerogenes,22
Enterococcus faecalis | Morganella morganii,22
Providencia stuartii | Pseudomonas aeruginosa,21
Enterococcus faecalis | Escherichia coli | Klebsiella pneumoniae complex,21
Candida tropicalis | Klebsiella pneumoniae complex,21
Candida dubliniensis,21
Escherichia coli | Klebsiella pneumoniae | Proteus mirabilis,21
Pseudomonas species,21
Klebsiella oxytoca,21
Staphylococcus aureus | Streptococcus pyogenes,21
Citrobacter freundii complex,20
Mycobacterium species,20
Staphylococcus caprae,20
Coliform bacteria | Klebsiella pneumoniae,20
Enterococcus faecalis | Enterococcus faecium,20
Pseudomonas aeruginosa | Streptococcus agalactiae,20
Corynebacterium striatum | Escherichia coli | Methicillin resistant Staphylococcus aureus,20
Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa | Staphylococcus aureus,20
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida tropicalis,20
Escherichia coli | Streptococcus bovis group,20
Diphtheroids | Pseudomonas aeruginosa,20
Candida tropicalis | Methicillin resistant Staphylococcus aureus,20
Candida glabrata | Enterococcus faecium | Escherichia coli,20
Candida glabrata | Escherichia coli | Methicillin resistant Staphylococcus aureus,20
Enterobacter cloacae complex | Klebsiella pneumoniae,19
Methicillin resistant Staphylococcus aureus | Proteus mirabilis | Pseudomonas aeruginosa,19
Candida albicans | Candida glabrata | Escherichia coli,19
Methicillin resistant Staphylococcus aureus | Stenotrophomonas maltophilia,19
Candida glabrata | Candida tropicalis,19
Bacteroides species | Escherichia coli,19
Candida albicans | Escherichia coli | Staphylococcus aureus,19
Streptococcus gallolyticus,19
Candida albicans | Enterococcus faecium | Escherichia coli | Methicillin resistant Staphylococcus aureus,19
Streptococcus salivarius group,19
Escherichia coli | Mycobacterium tuberculosis | Mycobacterium tuberculosis complex,19
Coliform bacteria | Streptococcus species,19
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Escherichia coli,19
Candida glabrata | Escherichia coli | Klebsiella pneumoniae complex,18
Klebsiella species | Staphylococcus aureus,18
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Methicillin resistant Staphylococcus aureus | Proteus mirabilis,18
Coliform bacteria | Proteus mirabilis,18
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Stenotrophomonas maltophilia,18
"Klebsiella pneumoniae | Staphylococcus, coagulase negative",18
Coliform bacteria | Klebsiella pneumoniae complex,18
"Methicillin resistant Staphylococcus aureus | Streptococcus, group G",18
Burkholderia pseudomallei,18
Enterococcus faecium | Escherichia coli | Klebsiella species,18
"Pseudomonas aeruginosa | Streptococcus, group G",18
"Diphtheroids | Staphylococcus, coagulase negative",18
Coliform bacteria | Methicillin resistant Staphylococcus aureus,18
Morganella morganii | Pseudomonas aeruginosa,18
Staphylococcus hominis,18
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Enterococcus faecium | Escherichia coli,17
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Corynebacterium striatum,17
"Klebsiella pneumoniae complex | Staphylococcus, coagulase negative",17
"Escherichia coli | Methicillin resistant Staphylococcus aureus | Staphylococcus, coagulase negative",17
"Staphylococcus lugdunensis | Staphylococcus, coagulase negative",17
Citrobacter species | Pseudomonas aeruginosa,17
Methicillin resistant Staphylococcus aureus | Streptococcus agalactiae,17
Citrobacter koseri | Methicillin resistant Staphylococcus aureus,17
Klebsiella species | Methicillin resistant Staphylococcus aureus,17
Candida glabrata | Klebsiella pneumoniae,17
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Escherichia coli | Staphylococcus aureus,17
Streptococcus sanguinis,17
Klebsiella aerogenes | Staphylococcus aureus,17
Staphylococcus species,17
Peptostreptococcus species,17
Enterococcus faecalis | Escherichia coli | Klebsiella pneumoniae,16
Klebsiella aerogenes | Klebsiella pneumoniae complex,16
Enterococcus faecalis | Klebsiella species,16
Micrococcus species,16
Clostridioides difficile | Methicillin resistant Staphylococcus aureus,16
Coliform bacteria | Enterococcus faecium,16
Candida albicans | Klebsiella pneumoniae complex | Pseudomonas aeruginosa,16
Serratia species | Staphylococcus aureus,16
Corynebacterium jeikeium,16
Enterococcus species,16
Candida albicans | Clostridioides difficile,16
Alpha-haemolytic streptococcus,16
Coliform bacteria | Pseudomonas aeruginosa,16
Staphylococcus haemolyticus,16
Corynebacterium striatum | Escherichia coli | Pseudomonas aeruginosa,16
Candida albicans | Candida glabrata | Enterococcus faecium,16
Escherichia coli | Streptococcus gallolyticus,16
Escherichia coli | Staphylococcus epidermidis,16
Escherichia coli | Pseudomonas aeruginosa | Staphylococcus aureus,16
Escherichia coli | Haemophilus influenzae,16
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Escherichia coli | Proteus mirabilis,16
Gram-positive bacilli,15
Candida tropicalis | Klebsiella pneumoniae,15
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Escherichia coli | Klebsiella pneumoniae,15
Escherichia coli | Klebsiella pneumoniae complex | Staphylococcus aureus,15
Candida albicans | Diphtheroids,15
Candida parapsilosis | Escherichia coli,15
Mycobacterium kansasii | Mycobacterium species,15
Candida glabrata | Proteus mirabilis,15
Corynebacterium striatum | Klebsiella pneumoniae,15
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Enterobacter cloacae complex,15
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Pseudomonas aeruginosa | Staphylococcus aureus,15
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Methicillin resistant Staphylococcus aureus | Staphylococcus aureus,15
Gram-positive cocci | Staphylococcus aureus,14
Candida albicans | Escherichia coli | Klebsiella pneumoniae,14
Acid-fast bacillus | Mycobacterium fortuitum complex,14
Streptococcus dysgalactiae,14
Enterococcus faecium | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa,14
Citrobacter koseri | Pseudomonas aeruginosa,14
Diphtheroids | Escherichia coli | Methicillin resistant Staphylococcus aureus,14
Klebsiella pneumoniae complex | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa,14
Klebsiella pneumoniae | Klebsiella pneumoniae complex,14
"Escherichia coli | Streptococcus, viridans group",14
Candida albicans | Enterobacter species,14
Mycobacterium mageritense,14
Candida albicans | Methicillin resistant Staphylococcus aureus | Staphylococcus aureus,14
Escherichia coli | Proteus species,14
"Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Staphylococcus, coagulase negative",14
"Corynebacterium species | Staphylococcus, coagulase negative",14
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Pseudomonas aeruginosa,14
Klebsiella variicola,14
Enterococcus faecium | Klebsiella species,13
Non-fermentative Gram-negative bacilli,13
Aerococcus urinae | Escherichia coli,13
Anaerobic bacteria,13
Enterococcus faecalis | Escherichia coli | Staphylococcus aureus,13
Candida albicans | Enterococcus faecium | Klebsiella pneumoniae complex,13
Candida glabrata | Escherichia coli | Pseudomonas aeruginosa,13
Finegoldia magna,13
Candida species | Pseudomonas aeruginosa,13
Plesiomonas shigelloides,13
Prevotella species,13
"Corynebacterium striatum | Staphylococcus, coagulase negative",13
Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa,13
Staphylococcus aureus | Stenotrophomonas maltophilia,13
Coliform bacteria | Escherichia coli | Methicillin resistant Staphylococcus aureus,13
Diphtheroids | Enterococcus faecium | Escherichia coli,13
Candida albicans | Enterococcus faecium | Escherichia coli | Pseudomonas aeruginosa,13
Bacteroides species,13
Fusobacterium species,13
Enterococcus faecium | Stenotrophomonas maltophilia,13
Haemophilus influenzae | Methicillin resistant Staphylococcus aureus,13
Klebsiella pneumoniae complex | Morganella morganii,13
Salmonella group E,13
Streptococcus parasanguinis,13
Corynebacterium striatum | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa,13
Enterococcus faecium | Escherichia coli | Klebsiella pneumoniae,13
Escherichia coli | Providencia stuartii,12
Clostridioides difficile | Pseudomonas aeruginosa,12
Candida tropicalis | Proteus mirabilis,12
Streptococcus gordonii,12
Acinetobacter junii,12
Methicillin resistant Staphylococcus aureus | Serratia species,12
Aerococcus urinae,12
Candida albicans | Escherichia coli | Klebsiella species,12
Candida albicans | Coliform bacteria,12
Acinetobacter baumannii | Escherichia coli,12
Escherichia coli | Proteus mirabilis | Staphylococcus aureus,12
Methicillin resistant Staphylococcus aureus | Morganella morganii,12
Candida albicans | Pseudomonas aeruginosa | Stenotrophomonas maltophilia,12
"Escherichia coli | Streptococcus, group G",12
Enterococcus faecalis | Klebsiella aerogenes,12
Bacteroides fragilis | Escherichia coli | Streptococcus anginosus,12
Citrobacter species | Klebsiella pneumoniae complex,12
Citrobacter species | Enterococcus faecalis,12
Candida albicans | Corynebacterium striatum | Pseudomonas aeruginosa,12
"Candida glabrata | Staphylococcus, coagulase negative",12
Candida albicans | Candida parapsilosis,12
Enterococcus faecalis | Proteus mirabilis | Pseudomonas aeruginosa,12
Prevotella bivia,12
Enterococcus faecalis | Escherichia coli | Klebsiella species,12
Candida tropicalis | Enterococcus faecium | Escherichia coli,12
Klebsiella pneumoniae | Stenotrophomonas maltophilia,12
Escherichia coli | Klebsiella species | Pseudomonas aeruginosa,12
Escherichia coli | Methicillin resistant Staphylococcus aureus | Proteus mirabilis | Pseudomonas aeruginosa,12
Providencia species,11
Candida glabrata | Candida species,11
Coliform bacteria | Escherichia coli | Proteus mirabilis,11
Enterococcus species | Escherichia coli,11
Escherichia coli | Klebsiella oxytoca,11
Escherichia coli | Mycobacterium tuberculosis,11
Haemophilus influenzae | Pseudomonas aeruginosa,11
Candida species | Methicillin resistant Staphylococcus aureus,11
Escherichia coli | Lactobacillus species,11
Candida albicans | Escherichia coli | Proteus mirabilis,11
Escherichia coli | Streptococcus milleri group,11
Klebsiella aerogenes | Klebsiella pneumoniae,11
Coliform bacteria | Gram-negative bacilli,11
Corynebacterium striatum | Proteus mirabilis,11
Escherichia coli | Klebsiella pneumoniae complex | Streptococcus anginosus,11
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Escherichia coli | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa,11
Candida glabrata | Enterococcus faecalis | Escherichia coli,11
Escherichia coli | Salmonella group D,11
Mycobacterium gordonae,11
Escherichia coli | Pseudomonas aeruginosa | Stenotrophomonas maltophilia,11
"Klebsiella aerogenes | Staphylococcus, coagulase negative",11
Candida albicans | Methicillin resistant Staphylococcus aureus | Proteus mirabilis,11
Corynebacterium species | Staphylococcus aureus,11
Candida albicans | Candida glabrata | Methicillin resistant Staphylococcus aureus,11
Trichosporon asahii,11
Candida tropicalis | Staphylococcus aureus,11
Klebsiella species | Proteus mirabilis,11
Candida glabrata | Escherichia coli | Klebsiella pneumoniae,11
Klebsiella pneumoniae complex | Mycobacterium tuberculosis,11
Enterococcus faecalis | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa,11
Candida albicans | Enterococcus faecium | Escherichia coli | Klebsiella pneumoniae,11
Bacillus cereus group,11
Candida lusitaniae,11
Candida glabrata | Enterococcus faecalis,11
Clostridioides difficile | Staphylococcus aureus,11
Staphylococcus saprophyticus,10
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Enterococcus faecium,10
Candida tropicalis | Escherichia coli | Klebsiella pneumoniae complex,10
Streptococcus milleri group,10
Candida albicans | Haemophilus influenzae,10
Moraxella osloensis,10
Methicillin resistant Staphylococcus aureus | Providencia stuartii,10
Candida albicans | Enterococcus faecium | Escherichia coli | Proteus mirabilis,10
Pseudomonas aeruginosa | Streptococcus species,10
Acinetobacter baumannii | Methicillin resistant Staphylococcus aureus,10
Clostridioides difficile | Escherichia coli | Klebsiella pneumoniae,10
Enterobacter cloacae complex | Klebsiella species,10
Candida albicans | Candida species | Escherichia coli,10
Candida albicans | Pseudomonas aeruginosa | Staphylococcus aureus,10
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Providencia stuartii,10
Escherichia coli | Serratia marcescens,10
Elizabethkingia species,10
Staphylococcus aureus | Streptococcus anginosus,10
Talaromyces marneffei,10
Mycobacterium avium complex | Pseudomonas aeruginosa,10
Candida albicans | Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus,10
"Staphylococcus, coagulase negative | Streptococcus agalactiae",10
Streptococcus gallolyticus subspecies pasteurianus,10
"Klebsiella species | Staphylococcus, coagulase negative",10
Klebsiella pneumoniae complex | Streptococcus agalactiae,10
Enterococcus faecalis | Escherichia coli | Morganella morganii,10
Candida albicans | Candida glabrata | Candida species,10
Candida albicans | Klebsiella pneumoniae complex | Methicillin resistant Staphylococcus aureus,10
Candida albicans | Candida glabrata | Pseudomonas aeruginosa,10
Escherichia coli | Klebsiella aerogenes | Pseudomonas aeruginosa,10
Moraxella catarrhalis,10
Enterococcus faecium | Klebsiella aerogenes,10
Escherichia coli | Klebsiella pneumoniae complex | Proteus mirabilis,10
Escherichia coli | Streptococcus constellatus,10
Achromobacter species,10
Enterococcus faecalis | Methicillin resistant Staphylococcus aureus | Proteus mirabilis,10
Candida glabrata | Escherichia coli | Proteus mirabilis,10
Candida albicans | Escherichia coli | Morganella morganii,10
Klebsiella pneumoniae complex | Stenotrophomonas maltophilia,10
Coliform bacteria | Escherichia coli | Klebsiella pneumoniae complex,10
Corynebacterium striatum | Enterococcus faecium,10
Corynebacterium striatum | Diphtheroids,10
Escherichia coli | Methicillin resistant Staphylococcus aureus | Streptococcus agalactiae,10
Staphylococcus capitis | Staphylococcus epidermidis,9
Enterococcus faecium | Klebsiella pneumoniae complex | Methicillin resistant Staphylococcus aureus,9
Anaerobic Gram-negative bacilli,9
Enterococcus raffinosus | Escherichia coli,9
Candida albicans | Mycobacterium avium complex,9
Corynebacterium striatum | Klebsiella pneumoniae complex,9
Citrobacter koseri | Proteus mirabilis,9
"Escherichia coli | Klebsiella pneumoniae complex | Staphylococcus, coagulase negative",9
"Enterobacter cloacae complex | Staphylococcus, coagulase negative",9
Clostridioides difficile | Klebsiella pneumoniae,9
Pseudomonas aeruginosa | Streptococcus pneumoniae,9
Escherichia coli | Morganella morganii | Pseudomonas aeruginosa,9
Candida albicans | Candida tropicalis | Escherichia coli,9
Escherichia coli | Staphylococcus capitis,9
Candida albicans | Enterococcus faecium | Klebsiella pneumoniae,9
Coliform bacteria | Enterococcus faecalis | Escherichia coli,9
Corynebacterium striatum | Klebsiella pneumoniae | Pseudomonas aeruginosa,9
"Candida albicans | Escherichia coli | Staphylococcus, coagulase negative",9
Clostridium perfringens,9
Escherichia coli | Staphylococcus lugdunensis,9
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus,9
Escherichia coli | Streptococcus pneumoniae,9
Candida auris,9
Morganella morganii | Staphylococcus aureus,9
"Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa | Staphylococcus, coagulase negative",9
Candida albicans | Diphtheroids | Enterococcus faecium,9
Candida tropicalis | Enterococcus faecium | Pseudomonas aeruginosa,9
Actinomyces species,9
"Enterococcus faecalis | Escherichia coli | Staphylococcus, coagulase negative",9
Anaerobic Gram-positive cocci,9
Candida tropicalis | Corynebacterium striatum,9
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Corynebacterium striatum | Pseudomonas aeruginosa,9
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Enterococcus faecalis | Escherichia coli,9
Proteus mirabilis | Streptococcus species,9
Acinetobacter species | Escherichia coli,9
Corynebacterium striatum | Escherichia coli | Staphylococcus aureus,9
Mycobacterium tuberculosis | Pseudomonas aeruginosa,9
Escherichia coli | Pseudomonas aeruginosa | Serratia species,9
Proteus mirabilis | Streptococcus agalactiae,9
Candida albicans | Candida glabrata | Enterococcus faecium | Escherichia coli,9
Candida albicans | Klebsiella pneumoniae | Staphylococcus aureus,9
Escherichia coli | Klebsiella pneumoniae | Klebsiella species,9
Escherichia coli | Staphylococcus aureus | Streptococcus agalactiae,9
Haemophilus parainfluenzae,9
Enterococcus faecium | Morganella morganii,9
Salmonella Typhi,9
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Enterococcus faecium | Methicillin resistant Staphylococcus aureus,9
Mycobacterium abscessus | Pseudomonas aeruginosa,9
Citrobacter species | Klebsiella species,9
Candida glabrata | Enterococcus faecium | Methicillin resistant Staphylococcus aureus,9
Enterobacter cloacae complex | Enterococcus faecalis,9
Candida albicans | Enterococcus faecalis | Enterococcus faecium,9
Pseudomonas aeruginosa | Staphylococcus capitis,8
