Organism,Count,Year
Staphylococcus epidermidis,146,2004
Enterobacter species,114,2004
Coliform bacteria,109,2004
Diphtheroids,89,2004
Bacillus species,59,2004
Candida tropicalis,55,2004
Bacteroides species,48,2004
Proteus mirabilis,46,2004
Pseudomonas species,44,2004
Enterococcus faecalis,41,2004
Morganella morganii,40,2004
Candida glabrata,36,2004
Citrobacter species,32,2004
Mycobacterium tuberculosis,30,2004
Serratia species,27,2004
Proteus species,26,2004
Enterococcus faecium,25,2004
Candida parapsilosis,24,2004
Enterobacter cloacae,23,2004
Streptococcus milleri group,21,2004
Aeromonas hydrophila,21,2004
Serratia marcescens,20,2004
Alpha-haemolytic streptococcus,19,2004
Acinetobacter baumannii,17,2004
Corynebacterium striatum,16,2004
Achromobacter xylosoxidans,16,2004
Bacteroides fragilis,16,2004
Streptococcus pneumoniae,16,2004
Elizabethkingia meningoseptica,16,2004
Providencia species,15,2004
Haemophilus influenzae,15,2004
Burkholderia cepacia,15,2004
"Streptococcus, group G",15,2004
Non-haemolytic streptococcus,14,2004
Klebsiella aerogenes,14,2004
Chryseobacterium indologenes,12,2004
Streptococcus agalactiae,11,2004
Citrobacter freundii,10,2004
Aeromonas species,10,2004
Anaerobic Gram-positive cocci,10,2004
Mycobacterium species,10,2004
Clostridium perfringens,10,2004
Klebsiella oxytoca,9,2004
Bacteroides fragilis group,9,2004
Corynebacterium species,8,2004
Acinetobacter haemolyticus,7,2004
Lactobacillus,7,2004
Proteus vulgaris,7,2004
Acid-fast bacillus,7,2004
Aeromonas caviae,7,2004
Clostridium species,7,2004
Vibrio vulnificus,6,2004
Anaerobic bacteria,6,2004
Salmonella group D,6,2004
Trichosporon species,6,2004
Aspergillus species,6,2004
Streptococcus bovis group,6,2004
Flavobacterium species,6,2004
Neisseria species,6,2004
Pichia kudriavzevii,5,2004
Providencia stuartii,5,2004
Prevotella melaninogenica,5,2004
Micrococcus species,5,2004
Aspergillus flavus,5,2004
Aspergillus fumigatus,4,2004
Edwardsiella tarda,4,2004
Staphylococcus species,4,2004
"Streptococcus, viridans group",4,2004
Dermabacter hominis,4,2004
Sphingomonas species,4,2004
Acinetobacter calcoaceticus-Acinetobacter baumannii complex,4,2004
Ochrobactrum anthropi,4,2004
Rothia mucilaginosa,4,2004
Streptococcus constellatus,4,2004
Arcanobacterium haemolyticum,4,2004
Corynebacterium jeikeium,3,2004
Cryptococcus neoformans,3,2004
Burkholderia species,3,2004
Enterococcus gallinarum,3,2004
Alcaligenes species,3,2004
"Streptococcus, group F",3,2004
Anaerobic Gram-positive bacilli,3,2004
Leuconostoc species,3,2004
Enterococcus avium,3,2004
"Streptococcus, group D",3,2004
Peptostreptococcus species,3,2004
Trichophyton rubrum,3,2004
Trichosporon cutaneum,3,2004
Citrobacter koseri,3,2004
Alcaligenes faecalis,2,2004
Salmonella group B,2,2004
Candida guilliermondii,2,2004
Mycobacterium chelonae,2,2004
Citrobacter braakii,2,2004
Fusobacterium species,2,2004
Bacteroides thetaiotaomicron,2,2004
Propionibacterium species,2,2004
Prevotella bivia,2,2004
Rhizopus species,2,2004
Delftia acidovorans,2,2004
Corynebacterium urealyticum,2,2004
Bacillus cereus,2,2004
Enterococcus casseliflavus,2,2004
Talaromyces marneffei,2,2004
Providencia rettgeri,2,2004
Lactobacillus species,2,2004
Streptococcus mitis,2,2004
Anaerobic Gram-negative bacilli,2,2004
Mycobacterium tuberculosis complex,2,2004
Staphylococcus capitis,2,2004
Peptococcus species,2,2004
Aeromonas sobria,2,2004
Bifidobacterium adolescentis,1,2004
Chryseobacterium species,1,2004
Aeromonas veronii,1,2004
Moraxella catarrhalis,1,2004
Plesiomonas shigelloides,1,2004
Pseudomonas putida,1,2004
Eggerthella lenta,1,2004
Burkholderia pseudomallei,1,2004
Haemophilus parainfluenzae,1,2004
Aspergillus terreus,1,2004
Bacteroides caccae,1,2004
Clostridium ramosum,1,2004
Gemella species,1,2004
Acinetobacter lwoffii,1,2004
Prevotella oralis,1,2004
Candida famata,1,2004
Streptococcus dysgalactiae subsp. equisimilis,1,2004
Tsukamurella pulmonis,1,2004
Salmonella Typhi,1,2004
Salmonella choleraesuis,1,2004
Chrysosporium species,1,2004
Nocardia asteroides,1,2004
Streptococcus sanguinis,1,2004
Streptococcus pyogenes,1,2004
Salmonella Paratyphi A,1,2004
Campylobacter jejuni,1,2004
Staphylococcus haemolyticus,1,2004
Sphingomonas paucimobilis,1,2004
Eubacterium species,1,2004
Beta-haemolytic streptococcus,1,2004
Proteus penneri,1,2004
Bacteroides vulgatus,1,2004
Pseudomonas stutzeri,1,2004
Rapid growing mycobacteria,1,2004
Streptococcus species,1,2004
Gemella haemolysans,1,2004
Ralstonia picketti,1,2004
Clostridioides difficile,1,2004
Eikenella corrodens,1,2004
Exophiala dermatitidis,1,2004
Aspergillus niger,1,2004
Streptococcus anginosus,1,2004
Veillonella species,1,2004
Escherichia coli,1024,2005
Pseudomonas aeruginosa,1020,2005
Candida albicans,1002,2005
Methicillin resistant Staphylococcus aureus,918,2005
"Staphylococcus, coagulase negative",585,2005
Enterococcus species,504,2005
Acinetobacter species,477,2005
Stenotrophomonas maltophilia,470,2005
Klebsiella species,419,2005
Candida species,415,2005
Yeast,199,2005
Coliform bacteria,181,2005
Staphylococcus aureus,173,2005
Klebsiella pneumoniae,162,2005
Staphylococcus epidermidis,112,2005
Enterobacter species,109,2005
Diphtheroids,98,2005
Candida tropicalis,83,2005
Pseudomonas species,80,2005
Bacillus species,72,2005
Proteus mirabilis,72,2005
Enterococcus faecalis,69,2005
Alpha-haemolytic streptococcus,53,2005
Candida glabrata,50,2005
Morganella morganii,43,2005
Bacteroides species,42,2005
Acinetobacter baumannii,42,2005
Streptococcus milleri group,40,2005
Gram-negative bacilli,39,2005
Proteus species,37,2005
Klebsiella aerogenes,34,2005
Staphylococcus species,33,2005
Corynebacterium striatum,33,2005
Non-haemolytic streptococcus,33,2005
Candida parapsilosis,31,2005
Burkholderia cepacia,31,2005
Bacteroides fragilis,28,2005
Enterococcus faecium,26,2005
Mycobacterium tuberculosis,25,2005
Haemophilus influenzae,25,2005
Streptococcus pneumoniae,24,2005
Citrobacter species,24,2005
"Streptococcus, group G",24,2005
Enterobacter cloacae,23,2005
Elizabethkingia meningoseptica,22,2005
Mycobacterium species,21,2005
Serratia species,21,2005
Serratia marcescens,20,2005
Aspergillus species,17,2005
Anaerobic Gram-positive cocci,17,2005
Neisseria species,17,2005
Vibrio vulnificus,16,2005
Clostridium perfringens,15,2005
Streptococcus pyogenes,15,2005
Providencia species,15,2005
Flavobacterium species,14,2005
Klebsiella oxytoca,14,2005
Proteus vulgaris,13,2005
Citrobacter freundii,12,2005
Acinetobacter calcoaceticus-Acinetobacter baumannii complex,12,2005
Achromobacter xylosoxidans,11,2005
Trichosporon asahii,11,2005
Streptococcus species,11,2005
Rothia mucilaginosa,11,2005
Streptococcus constellatus,10,2005
Aspergillus fumigatus,10,2005
Lactobacillus species,10,2005
Streptococcus agalactiae,10,2005
Aeromonas species,10,2005
Clostridioides difficile,10,2005
Trichosporon species,9,2005
Mycoplasma hominis,9,2005
Aspergillus flavus,9,2005
Chryseobacterium indologenes,9,2005
Bacteroides fragilis group,8,2005
Beta-haemolytic streptococcus,8,2005
Corynebacterium species,8,2005
Alcaligenes species,8,2005
Clostridium species,8,2005
Anaerobic Gram-positive bacilli,7,2005
Mycobacterium avium complex,7,2005
Aeromonas hydrophila,7,2005
Citrobacter koseri,7,2005
"Streptococcus, viridans group",7,2005
Salmonella Typhi,6,2005
Salmonella group D,6,2005
Enterococcus gallinarum,6,2005
Veillonella species,6,2005
Peptostreptococcus species,6,2005
Anaerobic bacteria,6,2005
Staphylococcus haemolyticus,6,2005
Aeromonas sobria,6,2005
Corynebacterium jeikeium,5,2005
Moraxella catarrhalis,5,2005
Prevotella bivia,5,2005
Candida guilliermondii,5,2005
Fusobacterium species,4,2005
Streptococcus anginosus,4,2005
"Streptococcus, group D",4,2005
Staphylococcus capitis,4,2005
Streptococcus bovis group,3,2005
Prevotella melaninogenica,3,2005
Aspergillus niger,3,2005
Prevotella species,3,2005
Curvularia species,3,2005
Micrococcus species,3,2005
Trichosporon mucoides,3,2005
Arcanobacterium haemolyticum,3,2005
Fusarium species,3,2005
Bacillus cereus,3,2005
Haemophilus parahaemolyticus,3,2005
Blastoschizomyces capitatus,2,2005
Peptostreptococcus micros,2,2005
Ralstonia picketti,2,2005
Pantoea species,2,2005
Mycobacterium chelonae,2,2005
Listeria monocytogenes,2,2005
Klebsiella pneumoniae complex,2,2005
Streptococcus intermedius,2,2005
Cutibacterium acnes,2,2005
"Streptococcus, group C",2,2005
Anaerobic Gram-negative bacilli,2,2005
Moraxella species,2,2005
Staphylococcus simulans,2,2005
Haemophilus parainfluenzae,2,2005
Malassezia species,2,2005
Pichia kudriavzevii,2,2005
Streptococcus mitis,2,2005
Staphylococcus lugdunensis,2,2005
Sphingomonas paucimobilis,2,2005
Corynebacterium xerosis,1,2005
Streptococcus suis,1,2005
Candida dubliniensis,1,2005
Pseudomonas putida,1,2005
Nocardia species,1,2005
Propionibacterium species,1,2005
Ochrobactrum anthropi,1,2005
Acinetobacter haemolyticus,1,2005
Burkholderia pseudomallei,1,2005
"Beta-haemolytic streptococcus, non-Group A, non-Group B",1,2005
Salmonella group B,1,2005
Eggerthella lenta,1,2005
Corynebacterium propinquum,1,2005
Staphylococcus saprophyticus,1,2005
Lactobacillus acidophilus,1,2005
Campylobacter gracilis,1,2005
Prevotella oralis,1,2005
Pasteurella multocida,1,2005
Lactobacillus,1,2005
Fusobacterium necrophorum,1,2005
Enterococcus casseliflavus,1,2005
Arcanobacterium species,1,2005
Haemophilus haemolyticus,1,2005
Enterococcus avium,1,2005
Chryseobacterium species,1,2005
Non-fermentative Gram-negative bacilli,1,2005
Providencia stuartii,1,2005
Pluralibacter gergoviae,1,2005
Sphingomonas species,1,2005
Corynebacterium urealyticum,1,2005
Ralstonia mannitolilytica,1,2005
Trichophyton rubrum,1,2005
Delftia acidovorans,1,2005
Clostridium butyricum,1,2005
Mycobacterium kansasii,1,2005
Campylobacter species,1,2005
Saccharomyces cerevisiae,1,2005
Rhodotorula species,1,2005
Rhodotorula rubra,1,2005
Absidia corymbifera,1,2005
Hafnia alvei,1,2005
Anaerobic diphtheroids,1,2005
Trichoderma species,1,2005
Pseudomonas stutzeri,1,2005
Staphylococcus cohnii,1,2005
Morganella species,1,2005
Candida albicans,699,2006
Escherichia coli,675,2006
Pseudomonas aeruginosa,630,2006
"Staphylococcus, coagulase negative",560,2006
Methicillin resistant Staphylococcus aureus,514,2006
Enterococcus species,314,2006
Klebsiella species,270,2006
Stenotrophomonas maltophilia,243,2006
Yeast,236,2006
Acinetobacter species,190,2006
Staphylococcus aureus,163,2006
Candida species,149,2006
Klebsiella pneumoniae,118,2006
Coliform bacteria,84,2006
Enterobacter species,80,2006
Diphtheroids,73,2006
Candida tropicalis,64,2006
Bacillus species,57,2006
Mycobacterium tuberculosis,49,2006
Mycobacterium species,44,2006
Gram-negative bacilli,41,2006
Enterococcus faecalis,37,2006
Bacteroides species,37,2006
Citrobacter species,34,2006
Non-haemolytic streptococcus,31,2006
Proteus species,30,2006
Pseudomonas species,29,2006
Corynebacterium striatum,29,2006
Staphylococcus species,28,2006
Alpha-haemolytic streptococcus,26,2006
Candida glabrata,24,2006
Burkholderia cepacia,24,2006
Anaerobic Gram-positive cocci,23,2006
Streptococcus pneumoniae,23,2006
Morganella morganii,21,2006
Enterobacter cloacae,21,2006
Streptococcus milleri group,19,2006
Anaerobic Gram-positive bacilli,18,2006
Bacteroides fragilis,18,2006
Streptococcus agalactiae,18,2006
Enterococcus faecium,18,2006
Bacteroides fragilis group,17,2006
Candida parapsilosis,16,2006
Klebsiella aerogenes,16,2006
Streptococcus constellatus,15,2006
Clostridium perfringens,15,2006
Acinetobacter baumannii,15,2006
Haemophilus influenzae,15,2006
Vibrio vulnificus,14,2006
Staphylococcus epidermidis,14,2006
Corynebacterium species,14,2006
Proteus mirabilis,13,2006
Serratia species,13,2006
Elizabethkingia meningoseptica,12,2006
Flavobacterium species,11,2006
Streptococcus pyogenes,11,2006
Achromobacter xylosoxidans,10,2006
Salmonella Enteritidis,10,2006
Talaromyces marneffei,9,2006
Neisseria species,9,2006
Corynebacterium amycolatum,9,2006
Citrobacter freundii,9,2006
Prevotella melaninogenica,8,2006
Streptococcus species,8,2006
Enterococcus avium,7,2006
Aeromonas hydrophila,7,2006
Corynebacterium jeikeium,7,2006
Peptostreptococcus species,7,2006
"Mycobacterium, non-TB",7,2006
Moraxella catarrhalis,6,2006
Lactobacillus species,6,2006
Proteus vulgaris,6,2006
Serratia marcescens,5,2006
Veillonella species,5,2006
Klebsiella oxytoca,5,2006
Alcaligenes species,5,2006
Eggerthella lenta,5,2006
Providencia species,5,2006
Chryseobacterium indologenes,5,2006
Rothia mucilaginosa,4,2006
Aeromonas species,4,2006
Streptococcus oralis,4,2006
Propionibacterium species,4,2006
Leuconostoc species,3,2006
Mycobacterium kansasii,3,2006
Mycobacterium chelonae,3,2006
Citrobacter koseri,3,2006
Bacillus cereus,3,2006
Trichosporon species,3,2006
Salmonella group C,3,2006
Streptococcus mitis,3,2006
Fusobacterium species,3,2006
Aspergillus species,3,2006
Enterococcus casseliflavus,3,2006
Anaerobic bacteria,3,2006
Cryptococcus neoformans,3,2006
Clostridioides difficile,3,2006
Micrococcus species,3,2006
Aeromonas sobria,2,2006
Streptococcus dysgalactiae subsp. equisimilis,2,2006
Acinetobacter calcoaceticus-Acinetobacter baumannii complex,2,2006
Fusarium species,2,2006
Cutibacterium acnes,2,2006
"Streptococcus, group D",2,2006
Streptococcus anginosus,2,2006
Enterococcus gallinarum,2,2006
Gardnerella vaginalis,2,2006
Streptococcus bovis group,2,2006
Candida famata,2,2006
Vibrio parahaemolyticus,2,2006
Sphingomonas paucimobilis,2,2006
Arcanobacterium haemolyticum,2,2006
Bacteroides caccae,2,2006
Chryseobacterium species,2,2006
Mycobacterium tuberculosis complex,2,2006
Pichia kudriavzevii,2,2006
Staphylococcus lugdunensis,2,2006
Clostridium species,2,2006
Candida dubliniensis,2,2006
"Streptococcus, viridans group",2,2006
"Streptococcus, group G",2,2006
Clostridium ramosum,1,2006
Prevotella denticola,1,2006
Staphylococcus capitis,1,2006
Streptococcus suis,1,2006
Mucor species,1,2006
Pluralibacter gergoviae,1,2006
Salmonella Typhi,1,2006
Malassezia furfur,1,2006
Streptococcus gallolyticus subspecies pasteurianus,1,2006
Aspergillus fumigatus,1,2006
Trichophyton rubrum,1,2006
Corynebacterium urealyticum,1,2006
Rhodotorula rubra,1,2006
Providencia stuartii,1,2006
Salmonella group E,1,2006
Streptococcus sanguinis,1,2006
Gemella species,1,2006
Streptococcus salivarius,1,2006
Enterocloster clostridioformis,1,2006
Prevotella species,1,2006
Prevotella loescheii,1,2006
Alcaligenes faecalis,1,2006
Bifidobacterium species,1,2006
Pantoea species,1,2006
Aeromonas caviae,1,2006
Trichosporon mucoides,1,2006
Actinomyces turicensis,1,2006
Campylobacter gracilis,1,2006
Peptostreptococcus micros,1,2006
Klebsiella pneumoniae subsp. Ozaenae,1,2006
Aspergillus flavus,1,2006
Ralstonia picketti,1,2006
Pasteurella species,1,2006
Aerococcus species,1,2006
"Streptococcus, group C",1,2006
Comamonas species,1,2006
Penicillium species,1,2006
Mycobacterium avium complex,1,2006
Beta-haemolytic streptococcus,1,2006
Salmonella group D,1,2006
Corynebacterium xerosis,1,2006
Absidia species,1,2006
Escherichia coli,754,2007
Candida albicans,708,2007
Pseudomonas aeruginosa,661,2007
Methicillin resistant Staphylococcus aureus,426,2007
Enterococcus species,355,2007
"Staphylococcus, coagulase negative",329,2007
Stenotrophomonas maltophilia,324,2007
Klebsiella species,296,2007
Acinetobacter species,258,2007
Yeast,200,2007
Candida species,171,2007
Staphylococcus aureus,121,2007
Klebsiella pneumoniae,119,2007
Enterobacter species,104,2007
Coliform bacteria,98,2007
Staphylococcus epidermidis,73,2007
Mycobacterium tuberculosis,65,2007
Candida tropicalis,53,2007
Diphtheroids,50,2007
Candida glabrata,48,2007
Gram-negative bacilli,47,2007
Alpha-haemolytic streptococcus,43,2007
Bacillus species,42,2007
Acinetobacter baumannii,42,2007
Pseudomonas species,40,2007
Candida parapsilosis,35,2007
Mycobacterium species,33,2007
Bacteroides species,33,2007
Proteus mirabilis,32,2007
Enterococcus faecium,32,2007
Non-haemolytic streptococcus,31,2007
Proteus species,29,2007
Aspergillus fumigatus,28,2007
Enterobacter cloacae,28,2007
Morganella morganii,26,2007
Burkholderia cepacia,25,2007
Streptococcus milleri group,24,2007
Enterococcus faecalis,23,2007
Staphylococcus species,21,2007
Citrobacter species,20,2007
Neisseria species,20,2007
Bacteroides fragilis,20,2007
Klebsiella aerogenes,20,2007
Streptococcus agalactiae,20,2007
Elizabethkingia meningoseptica,16,2007
Rothia mucilaginosa,15,2007
Streptococcus pneumoniae,15,2007
Serratia marcescens,15,2007
Vibrio vulnificus,14,2007
Serratia species,13,2007
Lactobacillus species,13,2007
Streptococcus species,13,2007
Haemophilus influenzae,12,2007
Bacteroides fragilis group,12,2007
Sphingomonas paucimobilis,11,2007
Corynebacterium striatum,10,2007
Pichia kudriavzevii,10,2007
Beta-haemolytic streptococcus,9,2007
Aspergillus species,9,2007
Anaerobic Gram-positive cocci,8,2007
Staphylococcus capitis,8,2007
Streptococcus bovis group,7,2007
"Streptococcus, group G",7,2007
Aeromonas hydrophila,7,2007
Acremonium species,7,2007
Chryseobacterium indologenes,6,2007
Clostridium perfringens,6,2007
Cryptococcus neoformans,6,2007
Corynebacterium species,6,2007
Achromobacter xylosoxidans,6,2007
Clostridium species,6,2007
Streptococcus constellatus,5,2007
Staphylococcus lugdunensis,5,2007
Klebsiella oxytoca,5,2007
Propionibacterium species,5,2007
Fusarium species,5,2007
Peptostreptococcus species,5,2007
Clostridioides difficile,4,2007
Providencia species,4,2007
Achromobacter species,4,2007
Fusobacterium species,4,2007
Listeria monocytogenes,4,2007
Aeromonas species,4,2007
Rhizopus species,4,2007
Providencia stuartii,4,2007
Salmonella group D,3,2007
Gram-positive bacilli,3,2007
Salmonella Typhi,3,2007
Streptococcus anginosus,3,2007
Cutibacterium acnes,3,2007
"Streptococcus, group C",3,2007
Citrobacter freundii,3,2007
Streptococcus sanguinis,3,2007
Bacillus cereus,3,2007
Haemophilus parainfluenzae,3,2007
Streptococcus oralis,3,2007
Streptococcus mitis,3,2007
Gemella species,3,2007
Trichosporon species,3,2007
Flavobacterium species,3,2007
Micrococcus species,3,2007
Enterococcus gallinarum,3,2007
Corynebacterium jeikeium,2,2007
Anaerobic Gram-positive bacilli,2,2007
Plesiomonas shigelloides,2,2007
Veillonella species,2,2007
"Streptococcus, group D",2,2007
Haemophilus parahaemolyticus,2,2007
Staphylococcus caprae,2,2007
Mycobacterium chelonae,2,2007
"Streptococcus, viridans group",2,2007
Pseudomonas fluorescens,2,2007
Capnocytophaga species,2,2007
Salmonella group C1,2,2007
Staphylococcus haemolyticus,2,2007
Streptococcus salivarius,2,2007
Salmonella Enteritidis,2,2007
Nocardia species,2,2007
Staphylococcus hominis,2,2007
Prevotella species,2,2007
Aeromonas caviae,1,2007
Prevotella bivia,1,2007
Leuconostoc species,1,2007
Cronobacter sakazakii,1,2007
Actinomyces turicensis,1,2007
Aerococcus viridans,1,2007
Aspergillus niger,1,2007
Nutritionally Variant Streptococcus,1,2007
Proteus vulgaris,1,2007
Klebsiella pneumoniae subsp. Ozaenae,1,2007
Mucor species,1,2007
Edwardsiella tarda,1,2007
Kluyvera species,1,2007
Enterococcus casseliflavus,1,2007
Candida dubliniensis,1,2007
Ochrobactrum anthropi,1,2007
Anaerobic bacteria,1,2007
Pseudomonas oryzihabitans,1,2007
Bacteroides stercoris,1,2007
Citrobacter koseri,1,2007
Mycobacterium tuberculosis complex,1,2007
Haemophilus haemolyticus,1,2007
Aspergillus flavus,1,2007
Non-fermentative Gram-negative bacilli,1,2007
Enterococcus cecorum,1,2007
Chryseobacterium species,1,2007
Enterococcus avium,1,2007
Anaerobic diphtheroids,1,2007
Corynebacterium resistens,1,2007
Corynebacterium tuberculostearicum,1,2007
Alcaligenes species,1,2007
Moraxella catarrhalis,1,2007
Candida famata,1,2007
Streptococcus dysgalactiae,1,2007
Moraxella species,1,2007
Acinetobacter calcoaceticus-Acinetobacter baumannii complex,1,2007
Trichophyton rubrum,1,2007
Prevotella melaninogenica,1,2007
Prevotella buccae,1,2007
Escherichia coli,880,2008
Candida albicans,823,2008
Pseudomonas aeruginosa,765,2008
"Staphylococcus, coagulase negative",534,2008
Methicillin resistant Staphylococcus aureus,452,2008
Enterococcus species,409,2008
Klebsiella species,408,2008
Acinetobacter species,328,2008
Stenotrophomonas maltophilia,268,2008
Staphylococcus aureus,191,2008
Klebsiella pneumoniae,178,2008
Candida species,174,2008
Yeast,168,2008
Alpha-haemolytic streptococcus,122,2008
Enterobacter species,104,2008
Diphtheroids,82,2008
Candida tropicalis,80,2008
Acinetobacter calcoaceticus-Acinetobacter baumannii complex,67,2008
Bacillus species,63,2008
Proteus mirabilis,58,2008
Acinetobacter baumannii,55,2008
Neisseria species,54,2008
Burkholderia cepacia,53,2008
Proteus species,50,2008
Bacteroides species,45,2008
Coliform bacteria,40,2008
Candida glabrata,39,2008
Citrobacter species,35,2008
Enterococcus faecalis,33,2008
Rothia mucilaginosa,33,2008
Streptococcus pyogenes,30,2008
Vibrio vulnificus,26,2008
Enterococcus faecium,26,2008
Serratia species,26,2008
Pseudomonas species,25,2008
Klebsiella aerogenes,25,2008
Streptococcus milleri group,24,2008
Candida parapsilosis,22,2008
Morganella morganii,21,2008
Bacteroides fragilis group,21,2008
Staphylococcus epidermidis,20,2008
Corynebacterium striatum,20,2008
Mycobacterium tuberculosis,19,2008
Streptococcus agalactiae,19,2008
Non-haemolytic streptococcus,18,2008
Providencia species,18,2008
"Streptococcus, group G",17,2008
Mycobacterium species,17,2008
Haemophilus influenzae,16,2008
Bacteroides fragilis,15,2008
Enterobacter cloacae,15,2008
Citrobacter freundii,14,2008
Clostridioides difficile,13,2008
Corynebacterium species,13,2008
Gram-negative bacilli,13,2008
Streptococcus pneumoniae,13,2008
Klebsiella oxytoca,11,2008
Elizabethkingia meningoseptica,10,2008
Bacillus cereus,10,2008
Lactobacillus species,10,2008
"Streptococcus, viridans group",9,2008
Peptostreptococcus species,9,2008
Pichia kudriavzevii,9,2008
Achromobacter xylosoxidans,8,2008
