Organism,Count,Year
Coliform bacteria,303,2005
Enterobacter species,226,2005
Staphylococcus epidermidis,215,2005
Diphtheroids,190,2005
Proteus mirabilis,185,2005
Bacillus species,154,2005
Pseudomonas species,135,2005
Mycobacterium tuberculosis,119,2005
Proteus species,118,2005
Candida tropicalis,116,2005
Alpha-haemolytic streptococcus,109,2005
Enterococcus faecalis,108,2005
Haemophilus influenzae,97,2005
Morganella morganii,95,2005
Acinetobacter baumannii,91,2005
Bacteroides species,83,2005
Gram-negative bacilli,81,2005
Streptococcus milleri group,80,2005
Candida glabrata,78,2005
Klebsiella aerogenes,67,2005
Staphylococcus species,66,2005
Non-haemolytic streptococcus,64,2005
Streptococcus pneumoniae,62,2005
Corynebacterium striatum,58,2005
Enterobacter cloacae,55,2005
Citrobacter species,54,2005
"Streptococcus, group G",51,2005
Burkholderia cepacia,50,2005
Candida parapsilosis,49,2005
Bacteroides fragilis,48,2005
Serratia species,42,2005
Streptococcus agalactiae,41,2005
Elizabethkingia meningoseptica,40,2005
Enterococcus faecium,40,2005
Neisseria species,39,2005
Serratia marcescens,38,2005
Mycobacterium species,36,2005
Clostridium perfringens,33,2005
Providencia species,32,2005
Proteus vulgaris,27,2005
Streptococcus pyogenes,27,2005
Anaerobic Gram-positive cocci,26,2005
Bacteroides fragilis group,25,2005
Aeromonas hydrophila,25,2005
Klebsiella oxytoca,24,2005
Achromobacter xylosoxidans,24,2005
Vibrio vulnificus,23,2005
Flavobacterium species,23,2005
Corynebacterium species,22,2005
Aspergillus species,21,2005
Citrobacter freundii,20,2005
Beta-haemolytic streptococcus,19,2005
Streptococcus constellatus,18,2005
Aeromonas species,18,2005
Peptostreptococcus species,16,2005
Lactobacillus species,16,2005
Rothia mucilaginosa,16,2005
Salmonella group B,15,2005
Streptococcus species,15,2005
Trichosporon species,14,2005
Acinetobacter calcoaceticus-Acinetobacter baumannii complex,14,2005
Fusobacterium species,14,2005
Clostridioides difficile,13,2005
Moraxella catarrhalis,13,2005
Trichosporon asahii,13,2005
Clostridium species,13,2005
Chryseobacterium indologenes,12,2005
Citrobacter koseri,12,2005
Alcaligenes species,12,2005
Mycoplasma hominis,12,2005
Candida guilliermondii,11,2005
"Streptococcus, viridans group",11,2005
"Streptococcus, group C",11,2005
Anaerobic Gram-positive bacilli,10,2005
Prevotella melaninogenica,10,2005
Anaerobic bacteria,10,2005
Aspergillus fumigatus,10,2005
Cutibacterium acnes,9,2005
Corynebacterium jeikeium,9,2005
Staphylococcus haemolyticus,9,2005
Prevotella species,9,2005
Aspergillus flavus,9,2005
Aeromonas sobria,8,2005
Fusarium species,8,2005
Micrococcus species,8,2005
Staphylococcus capitis,8,2005
Streptococcus bovis group,8,2005
Mycobacterium avium complex,8,2005
Veillonella species,8,2005
Mycobacterium chelonae,8,2005
Salmonella group D,7,2005
Shewanella species,6,2005
Salmonella Typhi,6,2005
Prevotella bivia,6,2005
Streptococcus intermedius,6,2005
Enterococcus gallinarum,6,2005
Sphingomonas paucimobilis,6,2005
Pichia kudriavzevii,5,2005
Moraxella species,5,2005
"Streptococcus, group D",5,2005
Trichophyton rubrum,5,2005
Streptococcus anginosus,5,2005
Mycobacterium tuberculosis complex,5,2005
Haemophilus parainfluenzae,4,2005
Haemophilus parahaemolyticus,4,2005
Eggerthella lenta,4,2005
Streptococcus suis,4,2005
Anaerobic Gram-negative bacilli,4,2005
Staphylococcus lugdunensis,3,2005
Prevotella loescheii,3,2005
Trichosporon mucoides,3,2005
Bacillus cereus,3,2005
Propionibacterium species,3,2005
Aspergillus niger,3,2005
Curvularia species,3,2005
Arcanobacterium haemolyticum,3,2005
Peptococcus species,3,2005
Corynebacterium urealyticum,3,2005
Streptococcus mitis,3,2005
Pseudomonas stutzeri,3,2005
Streptococcus salivarius,3,2005
Neisseria gonorrhoeae,3,2005
Arcanobacterium species,3,2005
Enterococcus durans,3,2005
Pantoea species,2,2005
Blastoschizomyces capitatus,2,2005
Haemophilus haemolyticus,2,2005
Malassezia species,2,2005
Klebsiella pneumoniae complex,2,2005
Ralstonia picketti,2,2005
Providencia stuartii,2,2005
Staphylococcus simulans,2,2005
Non-fermentative Gram-negative bacilli,2,2005
Corynebacterium amycolatum,2,2005
Streptococcus dysgalactiae subsp. equisimilis,2,2005
Campylobacter species,2,2005
Pseudomonas putida,2,2005
Salmonella Enteritidis,2,2005
Streptococcus dysgalactiae,2,2005
Peptostreptococcus micros,2,2005
Rhodotorula species,2,2005
Listeria monocytogenes,2,2005
Cryptococcus neoformans,2,2005
Pediococcus species,2,2005
Corynebacterium propinquum,1,2005
Acinetobacter haemolyticus,1,2005
"Streptococcus, group F",1,2005
Fusobacterium necrophorum,1,2005
"Mycobacterium, non-TB",1,2005
Lactobacillus,1,2005
Bacteroides eggerthii,1,2005
Proteus penneri,1,2005
Streptococcus oralis,1,2005
Streptococcus mutans,1,2005
Actinomyces turicensis,1,2005
Staphylococcus cohnii,1,2005
Raoultella ornithinolytica,1,2005
Burkholderia pseudomallei,1,2005
"Beta-haemolytic streptococcus, non-Group A, non-Group B",1,2005
Granulicatella adiacens,1,2005
Trichosporon cutaneum,1,2005
Dermabacter hominis,1,2005
Staphylococcus saprophyticus,1,2005
Lactobacillus acidophilus,1,2005
Pasteurella multocida,1,2005
Clostridium hastiforme,1,2005
Prevotella oralis,1,2005
Chromobacterium species,1,2005
Eikenella corrodens,1,2005
Bifidobacterium species,1,2005
Campylobacter gracilis,1,2005
Eubacterium aerofaciens,1,2005
Rothia species,1,2005
Mycobacterium kansasii,1,2005
Rhodococcus species,1,2005
Peptococcus niger,1,2005
Staphylococcus warneri,1,2005
Staphylococcus auricularis,1,2005
Staphylococcus hominis,1,2005
Enterococcus hirae,1,2005
Enterococcus casseliflavus,1,2005
Salmonella group Q,1,2005
Rhodotorula rubra,1,2005
Saccharomyces cerevisiae,1,2005
Salmonella group G,1,2005
Aggregatibacter aphrophilus,1,2005
Staphylococcus xylosus,1,2005
Ralstonia mannitolilytica,1,2005
Anaerobic diphtheroids,1,2005
Ochrobactrum anthropi,1,2005
Absidia corymbifera,1,2005
Enterococcus avium,1,2005
Morganella species,1,2005
Comamonas species,1,2005
Trichoderma species,1,2005
Nocardia species,1,2005
Hafnia alvei,1,2005
Salmonella group C,1,2005
Eubacterium species,1,2005
Capnocytophaga species,1,2005
Clostridium butyricum,1,2005
Delftia acidovorans,1,2005
Salmonella Paratyphi A,1,2005
Aeromonas caviae,1,2005
Chryseobacterium species,1,2005
Pluralibacter gergoviae,1,2005
Gardnerella vaginalis,1,2005
Plesiomonas shigelloides,1,2005
Candida dubliniensis,1,2005
Streptococcus sanguinis,1,2005
Corynebacterium xerosis,1,2005
Sphingomonas species,1,2005
Eubacterium limosum,1,2005
Escherichia coli,1502,2006
Candida albicans,1272,2006
Pseudomonas aeruginosa,1179,2006
Methicillin resistant Staphylococcus aureus,1064,2006
"Staphylococcus, coagulase negative",936,2006
Klebsiella species,639,2006
Enterococcus species,622,2006
Stenotrophomonas maltophilia,425,2006
Yeast,382,2006
Acinetobacter species,377,2006
Staphylococcus aureus,310,2006
Candida species,296,2006
Klebsiella pneumoniae,256,2006
Enterobacter species,212,2006
Coliform bacteria,161,2006
Diphtheroids,121,2006
Bacillus species,106,2006
Gram-negative bacilli,90,2006
Candida tropicalis,88,2006
Mycobacterium tuberculosis,87,2006
Proteus species,79,2006
Bacteroides species,68,2006
Non-haemolytic streptococcus,67,2006
Alpha-haemolytic streptococcus,64,2006
Staphylococcus species,63,2006
Streptococcus milleri group,62,2006
Citrobacter species,61,2006
Enterococcus faecalis,60,2006
Mycobacterium species,60,2006
Pseudomonas species,57,2006
Corynebacterium striatum,54,2006
Streptococcus pneumoniae,51,2006
Proteus mirabilis,50,2006
Morganella morganii,50,2006
Burkholderia cepacia,49,2006
Candida glabrata,44,2006
Enterobacter cloacae,43,2006
Haemophilus influenzae,43,2006
Citrobacter freundii,40,2006
Streptococcus agalactiae,38,2006
Bacteroides fragilis,35,2006
Serratia species,32,2006
Bacteroides fragilis group,32,2006
Klebsiella aerogenes,30,2006
Anaerobic Gram-positive cocci,30,2006
Elizabethkingia meningoseptica,29,2006
Enterococcus faecium,29,2006
Clostridium perfringens,28,2006
Vibrio vulnificus,28,2006
Acinetobacter baumannii,27,2006
Corynebacterium species,26,2006
Anaerobic Gram-positive bacilli,24,2006
Candida parapsilosis,23,2006
Streptococcus constellatus,21,2006
Staphylococcus epidermidis,21,2006
Aeromonas hydrophila,20,2006
Streptococcus pyogenes,20,2006
Achromobacter xylosoxidans,19,2006
Lactobacillus species,18,2006
Salmonella Enteritidis,18,2006
Neisseria species,17,2006
Streptococcus species,17,2006
Serratia marcescens,17,2006
Prevotella species,16,2006
Peptostreptococcus species,16,2006
Proteus vulgaris,15,2006
Flavobacterium species,15,2006
Providencia species,12,2006
"Streptococcus, group G",12,2006
Aeromonas species,11,2006
Klebsiella oxytoca,10,2006
Aspergillus species,10,2006
Propionibacterium species,9,2006
Talaromyces marneffei,9,2006
Corynebacterium amycolatum,9,2006
Prevotella melaninogenica,9,2006
Corynebacterium jeikeium,9,2006
Streptococcus anginosus,9,2006
Streptococcus oralis,9,2006
Veillonella species,8,2006
Moraxella catarrhalis,8,2006
Enterococcus avium,7,2006
"Mycobacterium, non-TB",7,2006
Micrococcus species,7,2006
Enterococcus casseliflavus,7,2006
Chryseobacterium indologenes,7,2006
Citrobacter koseri,6,2006
Beta-haemolytic streptococcus,6,2006
Aspergillus fumigatus,6,2006
"Streptococcus, viridans group",6,2006
Rothia mucilaginosa,6,2006
Streptococcus salivarius,6,2006
Streptococcus bovis group,6,2006
Fusobacterium species,6,2006
Eggerthella lenta,6,2006
Clostridium species,5,2006
Alcaligenes species,5,2006
Trichosporon species,5,2006
Trichosporon mucoides,5,2006
Cryptococcus neoformans,5,2006
"Streptococcus, group D",4,2006
Arcanobacterium haemolyticum,4,2006
Mycoplasma species,4,2006
Cutibacterium acnes,4,2006
Streptococcus dysgalactiae subsp. equisimilis,4,2006
Clostridioides difficile,4,2006
Chryseobacterium species,4,2006
Leuconostoc species,3,2006
Anaerobic bacteria,3,2006
Mycobacterium tuberculosis complex,3,2006
Aeromonas caviae,3,2006
Mycobacterium chelonae,3,2006
"Streptococcus, group C",3,2006
Pantoea species,3,2006
Peptostreptococcus micros,3,2006
Acinetobacter calcoaceticus-Acinetobacter baumannii complex,3,2006
Streptococcus mitis,3,2006
Gardnerella vaginalis,3,2006
Sphingomonas paucimobilis,3,2006
Enterococcus gallinarum,3,2006
Bacillus cereus,3,2006
Staphylococcus haemolyticus,3,2006
Salmonella group C,3,2006
Mycobacterium kansasii,3,2006
Salmonella group B,2,2006
Rothia species,2,2006
Alcaligenes faecalis,2,2006
Fusarium species,2,2006
Prevotella loescheii,2,2006
Candida famata,2,2006
Staphylococcus capitis,2,2006
Providencia stuartii,2,2006
Mycobacterium avium complex,2,2006
Salmonella group D,2,2006
Vibrio parahaemolyticus,2,2006
Acid-fast bacillus,2,2006
Malassezia species,2,2006
Haemophilus paraphrophilus,2,2006
Bacteroides caccae,2,2006
Staphylococcus lugdunensis,2,2006
Pichia kudriavzevii,2,2006
Prevotella bivia,2,2006
Aspergillus flavus,2,2006
Neisseria gonorrhoeae,2,2006
Aeromonas sobria,2,2006
Candida dubliniensis,2,2006
Bacteroides stercoris,1,2006
Malassezia furfur,1,2006
Eubacterium species,1,2006
Anaerobic Gram-negative bacilli,1,2006
Clostridium paraputrificum,1,2006
Candida guilliermondii,1,2006
Shewanella species,1,2006
Shewanella putrefaciens,1,2006
Salmonella species,1,2006
Pluralibacter gergoviae,1,2006
Streptococcus gallolyticus subspecies pasteurianus,1,2006
Prevotella buccae,1,2006
Moraxella species,1,2006
Streptococcus alactolyticus,1,2006
Streptococcus intermedius,1,2006
Trichosporon asahii,1,2006
Trichophyton rubrum,1,2006
Clostridium ramosum,1,2006
Mucor species,1,2006
Staphylococcus chromogenes,1,2006
Prevotella denticola,1,2006
Enterobacter asburiae,1,2006
Streptococcus suis,1,2006
Rhodotorula rubra,1,2006
Anaerobic Gram-negative cocci,1,2006
Enterocloster clostridioformis,1,2006
Prevotella corporis,1,2006
Campylobacter gracilis,1,2006
Pasteurella species,1,2006
Ralstonia picketti,1,2006
Prevotella veroralis,1,2006
Salmonella group E,1,2006
Aerococcus viridans,1,2006
Gemella species,1,2006
Actinomyces turicensis,1,2006
Bacteroides thetaiotaomicron,1,2006
Bacteroides eggerthii,1,2006
Pseudomonas fluorescens,1,2006
Providencia rettgeri,1,2006
Parabacteroides distasonis,1,2006
Prevotella oralis,1,2006
Escherichia hermannii,1,2006
Mycobacterium terrae complex,1,2006
Aerococcus species,1,2006
Haemophilus parainfluenzae,1,2006
Plesiomonas shigelloides,1,2006
Salmonella Typhi,1,2006
Corynebacterium urealyticum,1,2006
Streptococcus sanguinis,1,2006
Klebsiella pneumoniae subsp. Ozaenae,1,2006
Corynebacterium xerosis,1,2006
Non-fermentative Gram-negative bacilli,1,2006
Campylobacter jejuni,1,2006
Comamonas species,1,2006
Pseudomonas stutzeri,1,2006
Citrobacter braakii,1,2006
Bifidobacterium species,1,2006
Mycoplasma hominis,1,2006
Candida lipolytica,1,2006
Penicillium species,1,2006
Absidia species,1,2006
Escherichia coli,1577,2007
Pseudomonas aeruginosa,1239,2007
Candida albicans,1199,2007
Methicillin resistant Staphylococcus aureus,790,2007
Enterococcus species,695,2007
"Staphylococcus, coagulase negative",637,2007
Klebsiella species,601,2007
Stenotrophomonas maltophilia,497,2007
Acinetobacter species,417,2007
Yeast,355,2007
Candida species,314,2007
Staphylococcus aureus,266,2007
Klebsiella pneumoniae,233,2007
Enterobacter species,197,2007
Coliform bacteria,196,2007
Mycobacterium tuberculosis,117,2007
Diphtheroids,99,2007
Streptococcus milleri group,98,2007
Staphylococcus epidermidis,96,2007
Morganella morganii,89,2007
Proteus mirabilis,88,2007
Bacillus species,88,2007
Candida glabrata,87,2007
Candida tropicalis,85,2007
Alpha-haemolytic streptococcus,78,2007
Gram-negative bacilli,75,2007
Pseudomonas species,74,2007
Acinetobacter baumannii,71,2007
Mycobacterium species,68,2007
Bacteroides species,66,2007
Proteus species,65,2007
Non-haemolytic streptococcus,55,2007
Candida parapsilosis,54,2007
Enterococcus faecium,53,2007
Enterobacter cloacae,52,2007
Klebsiella aerogenes,51,2007
Enterococcus faecalis,47,2007
Citrobacter species,47,2007
