Organism,Count
Prevotella heparinolytica,29
Anaerobic diphtheroids,29
Ochrobactrum intermedium,29
Malassezia furfur,28
Campylobacter fetus,28
Corynebacterium simulans,27
Trichophyton species,27
Rhodotorula species,27
Malassezia pachydermatis,26
Aggregatibacter segnis,26
Fusobacterium necrophorum,26
Streptococcus mutans,26
Parabacteroides goldsteinii,25
Bacteroides stercoris,25
Lactobacillus delbrueckii,25
Bacteroides cellulosilyticus,25
Ralstonia picketti,25
Acinetobacter lwoffii,25
Cupriavidus gilardii,24
Cyberlindnera fabianii,24
Salmonella london,24
Pseudomonas fluorescens,24
Abiotrophia defectiva,24
Enterococcus thailandicus,24
Malassezia species,24
Mucor species,24
Eubacterium limosum,24
Actinotignum schaalii,24
Campylobacter jejuni subsp. Jejuni,23
Citrobacter youngae,23
Rhizobium radiobacter,23
Candida famata,23
Prevotella oralis,23
Ochrobactrum anthropi,23
Vibrio alginolyticus,23
Microbacterium species,22
Prevotella oris,22
Prevotella disiens,22
Attenuated Mycobacterium bovis,21
Campylobacter species,21
Eubacterium aerofaciens,21
Gleimia europaea,21
Campylobacter rectus,21
Bifidobacterium longum,21
Propionibacterium avidum,21
Ruminococcus gnavus,20
Trueperella bernardiae,20
Edwardsiella species,20
Salmonella derby,20
Gram-negative coccobacilli,20
Paenibacillus species,20
Roseomonas species,20
Mycoplasma species,20
nontoxigenic Corynebacterium diphtheriae,20
Absidia corymbifera,20
Capnocytophaga sputigena,19
Bifidobacterium breve,19
Fungus,19
Salmonella rissen,19
Porphyromonas gingivalis,19
Peptococcus species,19
Lactobacillus,19
Porphyromonas species,19
Clostridium sporogenes,19
Corynebacterium aurimucosum,19
Pseudomonas mosselii,19
Prevotella loescheii,19
Anaerococcus vaginalis,19
Chryseobacterium arthrosphaerae,19
Peptostreptococcus stomatis,19
Exophiala dermatitidis,19
Streptococcus vestibularis,19
Desulfovibrio species,19
Candida kefyr,18
Candida fabianii,18
Enterocloster clostridioformis,18
Corynebacterium coyleae,18
Parabacteroides merdae,18
Ralstonia species,18
Aeromonas hydrophila complex,18
Delftia species,18
Vibrio species,18
Saccharomyces species,18
Solobacterium moorei,18
Streptococcus cristatus,17
Myroides species,17
Haemophilus species,17
Rothia dentocariosa,17
Rhodotorula rubra,17
Aggregatibacter actinomycetemcomitans,17
Parabacteroides species,17
Staphylococcus cohnii,17
Actinomyces radingae,16
Aeromonas caviae complex,16
Neisseria gonorrhoeae,16
Staphylococcus pettenkoferi,16
Pseudomonas mendocina,16
Bacillus cereus group not Bacillus anthracis,16
Aerococcus sanguinicola,16
Limosilactobacillus species,15
Kluyvera georgiana,15
Catabacter hongkongensis,15
Pseudoglutamicibacter species,15
Exophiala species,15
Klebsiella pneumoniae subsp. Ozaenae,15
Staphylococcus pseudintermedius,15
Paenibacillus urinalis,15
Citrobacter farmeri,15
Bacteroides eggerthii,15
Cutibacterium species,15
Aerococcus viridans,15
Neisseria subflava,15
Streptococcus infantarius,15
Anaerococcus murdochii,14
Atopobium parvulum,14
Prevotella baroniae,14
Globicatella sanguinis,14
Mycobacterium obuense,14
"Streptococcus, group F",14
Weissella confusa,14
Bordetella bronchiseptica,14
Dermabacter species,14
Candida rugosa,14
Tsukamurella species,14
Corynebacterium propinquum,14
Actinomyces neuii,13
Mycobacterium paragordonae,13
Mycobacterium parascrofulaceum,13
Nocardia farcinica,13
Sphingobacterium species,13
Arthrobacter cumminsii,13
Oligella urethralis,13
Clostridium hathewayi,13
Prevotella nanceiensis,13
Acinetobacter haemolyticus,13
Scedosporium inflatum,13
Actinobaculum schaalii,13
Corynebacterium afermentans,12
Schizophyllum commune,12
Mycobacterium neoaurum,12
Clostridium septicum,12
Brevibacterium casei,12
Porphyromonas asaccharolytica,12
Staphylococcus simulans,12
Clostridium saudiense,12
Actinomyces meyeri,12
Lactobacillus johnsonii,12
Cupriavidus species,12
Dermacoccus species,12
Vibrio furnissii,12
Actinomyces oris,12
Cronobacter sakazakii,12
Leclercia adecarboxylata,12
Paenibacillus lautus,12
Cutibacterium modestum,12
Corynebacterium minutissimum,12
Atopobium rimae,12
Clostridium symbiosum,11
Acinetobacter johnsonii,11
Paeniclostridium sordellii,11
Enterobacter asburiae,11
Alistipes onderdonkii,11
Escherichia fergusonii,11
Meyerozyma guilliermondii,11
Prevotella timonensis,11
Aggregatibacter species,11
Brachybacterium species,11
Clostridium bifermentans,11
Fusobacterium gonidiaformans,11
Acinetobacter variabilis,11
Gordonia species,11
Roseomonas mucosa,11
Nocardia beijingensis,10
Actinomyces naeslundii,10
Absidia species,10
Propionibacterium granulosum,10
Kocuria rhizophila,10
Actinomyces neuii ss neuii,10
Mycobacterium chelonae complex,10
Streptococcus lutetiensis,10
Fungal Hyphae,10
Curvularia species,10
Flavonifractor plautii,10
Bordetella species,10
Acremonium species,10
Bacillus licheniformis,10
Parabacteroides gordonii,10
Mycobacterium xenopi,10
Arcanobacterium species,10
Schaalia species,9
Citrobacter werkmanii,9
Pseudomonas nitroreducens,9
Kocuria kristinae,9
Clostridium cadaveris,9
Bacteroides massiliensis,9
Salmonella group I,9
Burkholderia gladioli,9
Dermacoccus nishinomiyaensis,9
Gordonia sputi,9
Acidaminococcus intestini,9
Elizabethkingia miricola,9
Vagococcus fluvialis,9
Tsukamurella pulmonis,9
Enterococcus durans,9
Cronobacter species,9
Trichophyton mentagrophytes,9
Acinetobacter pittii,9
Pasteurella species,9
Gemella haemolysans,9
Corynebacterium accolens,9
Veillonella atypica,9
Gram-negative cocci,9
Weissella species,9
Mycobacterium haemophilum,9
Staphylococcus sciuri,9
Candida pararugosa,9
Haemophilus influenzae type B,9
Pseudomonas citronellolis,8
Prevotella buccalis,8
Lysinibacillus species,8
Myroides odoratimimus,8
Candida duobushaemulonii,8
Kerstersia gyiorum,8
Cetobacterium somerae,8
Candida lipolytica,8
Mycobacterium terrae complex,8
Turicibacter sanguinis,8
Prevotella veroralis,8
Lactococcus lactis,8
Parvimonas species,8
Salmonella Paratyphi A,8
Scedosporium apiospermum,8
Actinomyces urogenitalis,8
Pediococcus acidilactici,8
Campylobacter gracilis,8
Rhizopus arrhizus,8
Cladosporium species,7
Trichosporon japonicum,7
Alistipes species,7
Vagococcus lutrae,7
Pseudomonas oryzihabitans,7
Prevotella corporis,7
Staphylococcus petrasii,7
Candida haemulonii,7
Magnusiomyces species,7
Exserohilum rostratum,7
Streptococcus pseudopneumoniae,7
Actinomyces israelii,7
Arthrobacter species,7
Clostridium butyricum,7
Salmonella group G,7
Streptococcus dysgalactiae subsp. dysgalactiae,7
Gardnerella species,7
Brevibacterium ravenspurgense,7
Lactobacillus acidophilus,7
Nocardia farcinica complex,6
Capnocytophaga gingivalis,6
Odoribacter splanchnicus,6
Paenibacillus glucanolyticus,6
Pandoraea pnomenusa,6
Candida haemulonii complex,6
Brevibacillus species,6
Paraeggerthella species,6
Mycobacterium lentiflavum,6
Candida palmioleophila,6
Candida utilis,6
Mycobacterium mucogenicum group,6
Clostridium disporicum,6
Helcococcus kunzii,6
Eggerthella species,6
Acinetobacter guillouiae,6
Gordonibacter species,6
Histoplasma capsulatum,6
Fusobacterium ulcerans,6
Corynebacterium glucuronolyticum,6
Kazachstania telluris,6
Clostridium glycolicum,6
Fusarium solani complex,6
Fusarium solani,6
Finegoldia species,6
Trichosporon cutaneum,6
Eggerthia catenaformis,6
Bacillus simplex,6
Rhodococcus species,6
Acidovorax temperans,6
"Legionella pneumophila, not serogroup 1",6
Trichomonas vaginalis,6
Streptomyces species,6
Achromobacter denitrificans,6
Streptococcus sinensis,6
Pseudomonas guariconensis,6
Sutterella wadsworthensis,6
Actinomyces georgiae,5
Streptococcus alactolyticus,5
Comamonas testosteroni,5
Brevundimonas diminuta,5
Trichophyton mentagrophytes complex,5
Neisseria flavescens,5
Bacteroides intestinalis,5
Peptoniphilus asaccharolyticus,5
Corynebacterium diphtheriae,5
Streptococcus canis,5
Escherichia hermannii,5
Escherichia species,5
Mycobacterium scrofulaceum,5
Corynebacterium oculi,5
Eubacterium tenue,5
Pantoea dispersa,5
Pantoea piersonii,5
Gram-positive cocci in chains,5
Nocardia asteroides,5
Haemophilus paraphrophilus,5
Propionimicrobium lymphophilum,5
Nocardia otitidiscaviarum,5
Leptotrichia trevisanii,5
Chryseomonas luteola,5
Achromobacter insolitus,5
Blastoschizomyces capitatus,5
Bacteroides dorei,5
Meyerozyma guilliermondii complex,5
Microbacterium paraoxydans,5
Olsenella uli,5
Rothia koreensis,5
Trichosporon inkin,5
Paecilomyces species,5
Issatchenkia orientalis,5
Anaerococcus tetradius,5
Anaerococcus prevotii,5
Pseudomonas chlororaphis,5
Brevibacillus parabrevis,5
Eikenella species,5
Dialister micraerophilus,5
Helcococcus species,5
Vagococcus species,5
Shigella sonnei,5
Cryptococcus gattii,5
Alloscardovia omnicolens,5
Cupriavidus pauculus,5
Chaetomium species,5
Oscillibacter ruminantium,4
Pantoea agglomerans,4
Pandoraea species,4
Parabacteroides faecis,4
Pseudoclavibacter,4
Acinetobacter nosocomialis,4
Salmonella saintpaul,4
Bacteroides xylanisolvens,4
Bifidobacterium adolescentis,4
Pseudomonas koreensis,4
Bacteroides faecis,4
Bifidobacterium dentium,4
Purpureocillium lilacinum,4
Rhodococcus hoagii,4
Robinsoniella peoriensis,4
Salmonella group Q,4
Shigella flexneri,4
Paraclostridium bifermentans,4
Brevibacterium luteolum,4
Alloprevotella rava,4
Peptostreptococcus asaccharolyticus,4
Alistipes finegoldii,4
Brevundimonas species,4
Stenotrophomonas species,4
Streptobacillus moniliformis,4
Streptococcus equi subsp. equi,4
Paraeggerthella hominis,4
Peptoniphilus gorbachii,4
Kluyvera cryocrescens,4
Cellulosimicrobium cellulans,4
Hungatella species,4
Neisseria elongata,4
Globicatella species,4
Kytococcus schroeteri,4
Cunninghamella species,4
Lacrimispora species,4
Magnusiomyces capitatus,4
Lactobacillus crispatus,4
Lacticaseibacillus species,4
Abiotrophia species,4
Limosilactobacillus mucosae,4
Clostridium novyi,4
Lichtheimia species,4
Legionella species,4
Salmonella stanley,3
Kluyvera ascorbata,3
Porphyromonas somerae,3
Mycobacterium marinum,3
Peptoniphilus coxii,3
Scedosporium apiospermum complex,3
Kazachstania species,3
Sphingobacterium spiritivorum,3
Porphyromonas endodontalis,3
Morganella species,3
Granulicatella species,3
Mycobacterium iranicum,3
Capnocytophaga canimorsus,3
Arcobacter butzleri,3
Murdochiella asaccharolytica,3
Mycelia sterilia,3
Phocaeicola species,3
Capnocytophaga ochracea,3
Desulfovibrio desulfuricans,3
Salmonella kentucky,3
Lactobacillus jensenii,3
Chryseobacterium hominis,3
Bacteroides fluxus,3
Limosilactobacillus reuteri,3
Bacillus subtilis,3
Bacteroides kribbi,3
Bacillus megaterium,3
Bacillus flexus,3
Clavispora opuntiae,3
Clostridium baratii,3
Salmonella group C1,3
Clostridium bartlettii,3
Rothia aeria,3
Bifidobacterium bifidum,3
Megamonas species,3
Kytococcus sedentarius,3
Aspergillus versicolor,3
Salmonella goldcoast,3
Bordetella hinzii,3
Stenotrophomonas acidaminiphila,3
Staphylococcus auricularis,3
Corynebacterium xerosis,3
Neisseria oralis,3
Achromobacter mucicolens,3
Veillonella dispar,3
Actinobaculum species,3
Acinetobacter schindleri,3
Acinetobacter radioresistens,3
Corynebacterium pyruviciproducens,3
Pantoea septica,3
Nutritionally Variant Streptococcus,3
Turicella otitidis,3
Tsukamurella tyrosinosolvens,3
Acidovorax wautersii,3
Cunninghamella bertholletiae,3
Neisseria flavescens subflava group,3
Enterococcus malodoratus,3
Vibrio harveyi,3
Dysgonomonas species,3
Corynebacterium imitans,3
Wohlfahrtiimonas chitiniclastica,3
Corynebacterium argentoratense,3
Streptococcus iniae,3
Streptococcus infantarius subspecies infantarius,3
Actinotignum sanguinis,3
Gabonibacter species,3
Vibrio navarrensis,2
Kurthia gibsonii,2
Ruminococcus species,2
Atopobium species,2
Curtobacterium flaccumfaciens,2
Pseudomonas pseudoalcaligenes,2
Lancefieldella species,2
Rothia amarae,2
Dialister species,2
Cutaneotrichosporon species,2
Enterobacter bugandensis,2
Bacillus pumilus,2
Dietzia cinnamea,2
Pseudomonas stutzeri group,2
Pseudoramibacter alactolyticus,2
Romboutsia species,2
Varibaculum cambriense,2
Deinococcus species,2
Rahnella aquatilis,2
Salmonella bareilly,2
Dysgonomonas gadei,2
Dietzia species,2
Dolosigranulum pigrum,2
Nocardia asiatica,2
Geotrichum candidum,2
Cryptococcus curvatus,2
Staphylococcus chromogenes,2
Serratia fonticola,2
Serratia liquefaciens,2
Anaerotruncus colihominis,2
Fusarium dimerum,2
Ignatzschineria indica,2
Fusobacterium hominis,2
Hafnia species,2
Corynebacterium mucifaciens,2
Corynebacterium kroppenstedtii,2
Alistipes putredinis,2
Fusobacterium periodonticum,2
Clostridium subterminale,2
Gram-positive cocci in clusters,2
Gordonibacter pamelaeae,2
Scotochromogenic mycobacteria,2
Actinomyces graevenitzii,2
Aspergillus terreus complex,2
Arcobacter species,2
Enterococcus mundtii,2
Aspergillus nidulans,2
Gordonia otitidis,2
Kocuria palustris,2
Salmonella group U,2
Trichoderma species,2
Salmonella newport,2
Streptococcus peroris,2
Salmonella singapore,2
Synergistaceae,2
Corynebacterium sundsvallense,2
Acinetobacter soli,2
Facklamia hominis,2
Facklamia ignava,2
Laribacter hongkongensis,2
Aspergillus versicolor Group,2
Butyricimonas species,2
Neisseria mucosa,2
"Beta-haemolytic streptococcus, non-Group A, non-Group B",2
Mycobacterium novocastrense,2
Christensenella species,2
Malassezia slooffiae,2
Megasphaera elsdenii,2
Mycobacterium rufum,2
Prevotella salivae,2
Prevotella pallens,2
Neisseria meningitidis group B,2
Bulleidia extructa,2
Burkholderia cenocepacia,2
Methylobacterium species,2
Neisseria meningitidis W135,2
Paracoccus yeei,2
Campylobacter ureolyticus,2
Prevotella histicola,2
Bordetella parapertussis,2
Neisseria cinerea,2
Neisseria bacilliformis,2
Neisseria animaloris,2
Mycobacterium kyorinense,2
Butyricimonas paravirosa,2
Bordetella trematum,2
Necropsobacter rosorum,2
Photobacterium damselae subsp damselae,2
Pichia manshurica,2
Mobiluncus species,2
Moraxella nonliquefaciens,2
Mycobacterium wolinskyi,2
Pediococcus pentosaceus,2
Paenibacillus illinoisensis,2
Campylobacter curvus,2
Campylobacter concisus,2
Pseudallescheria boydii,2
Chromobacterium species,2
Peptostreptococcus russellii,2
Brevibacterium paucivorans,2
Bacteroides ureolyticus,2
Niallia species,2
Campylobacter showae,2
Leifsonia species,2
Brucella melitensis,2
Candida pelliculosa,2
Mycobacterium avium,2
Olsenella species,2
Agathobaculum species,1
Mycobacterium marseillense,1
Streptococcus mutans group,1
Paracoccus sanguinis,1
Collinsella species,1
Fastidiosipila sanguinis,1
Gallibacterium anatis,1
Paraclostridium species,1
Staphylococcus xylosus,1
Filifactor alocis,1
Fannyhessea vaginae,1
Gram-positive bacteria,1
Agromyces mediolanus,1
Actinomyces cardiffensis,1
Cohnella species,1
Actinobaculum urinale,1
Actinomyces funkei,1
Aeromonas schubertii,1
Coprobacillus cateniformis,1
Peptococcus niger,1
Pasteurella stomatis,1
Pediococcus stilesii,1
Actinomyces timonensis,1
Faecalitalea cylindroides,1
Brevundimonas vesicularis,1
Globicatella sulfidifaciens,1
Fusobacterium necrogenes,1
Gordonia bronchialis,1
Mycobacterium simiae,1
Mycobacterium simiae complex,1
Corynebacterium massiliense,1
Mycobacterium smegmatis,1
Franconibacter pulveris,1
Peptacetobacter species,1
Corynebacterium bovis,1
Candida intermedia,1
Pseudomonas monteilii,1
Facklamia species,1
Paenibacillus barengoltzii,1
Empedobacter brevis,1
Eisenbergiella species,1
Neisseria sicca group,1
Varibaculum species,1
Oerskovia species,1
Veillonella montpellierensis,1
Eggerthella hongkongensis,1
Acidovorax species,1
Ochroconis species,1
CDC Corynebacterium group G,1
Calidifontibacter indicus,1
Dysgonomonas capnocytophagoides,1
Vibrio metschnikovii,1
Non-photochromogenic mycobacteria,1
Campylobacter fetus subsp. Fetus,1
Neurospora species,1
Vogesella perlucida,1
Desulfovibrio porci,1
Nocardia abscessus,1
Yarrowia lipolytica,1
Desulfovibrio legallii,1
Neisseria sicca,1
Tsukamurella strandjordii,1
Streptococcus sobrinus,1
Curtobacterium species,1
Myroides odoratus,1
Exophiala jeanselmei,1
Parabacteroides johnsonii,1
Myroides phaeus,1
Eubacterium yurii,1
Desulfovibrio fairfieldensis,1
Corynebacterium singulare,1
Sutterella species,1
Synergistes species,1
Acinetobacter parvus,1
Cronobacter sakazakii group,1
Enterococcus dispar,1
Trichophyton tonsurans,1
Trichophyton violaceum,1
Cryptococcus laurentii,1
Butyricimonas virosa,1
Trichosporon faecale,1
Enterococcus canintestini,1
Acinetobacter courvalinii,1
Acinetobacter beijerinckii,1
Neisseria meningitidis group Y,1
Mycobacterium malmoense,1
Staphylococcus gallinarum,1
Alistipes indistinctus,1
Blautia producta,1
Roseomonas gilardii,1
Aureobasidium species,1
Propionimicrobium species,1
Rothia endophytica,1
Lachnoanaerobaculum species,1
Metabacillus species,1
Ruthenibacterium lactatiformans,1
Atopobium minutum,1
Cellulosimicrobium funkei,1
Aspergillus versicolor complex,1
Kosakonia species,1
Salmonella braenderup,1
Lactobacillus brevis,1
Salmonella choleraesuis,1
Meyerozyma species,1
Microbacterium esteraromaticum,1
Salmonella group A,1
Prevotella jejuni,1
Kodamaea species,1
Clostridium botulinum,1
Kocuria rosea,1
Cellulomonas species,1
Salmonella group J,1
Salmonella group M,1
Basidiobolus species,1
Barrientosiimonas species,1
Granulicatella elegans,1
Lactobacillus vaginalis,1
Lautropia mirabilis,1
Pseudomonas protegens,1
Leuconostoc mesenteroides,1
Pseudomonas fulva,1
Chrysosporium species,1
Bacteroides coprocola,1
Bacteroides coagulans,1
Limnobacter thiooxidans,1
Pseudomonas thermotolerans,1
Pseudomonas alcaliphila,1
Psychrobacillus species,1
Pseudomonas alcaligenes,1
Barrientosiimonas humi,1
Chromobacterium violaceum,1
Citrobacter sedlakii,1
Lactobacillus sakei,1
Lactobacillus plantarum,1
Bacillus idriensis,1
Rhizomucor species,1
Providencia alcalifaciens,1
Rhizopus microsporus complex,1
Bacillus circulans,1
Prototheca species,1
Lysinibacillus fusiformis,1
Clostridium celatum,1
Salmonella group R,1
Salmonella johannesburg,1
Staphylococcus carnosus,1
Sphingobacterium multivorum,1
Hathewaya limosa,1
Peribacillus species,1
Sphingobacterium thalpophilum,1
Anaerococcus hydrogenalis,1
Sphingomonas pseudosanguinis,1
Anaerobic Gram-positive coccobacilli,1
Staphylococcus argenteus,1
Anaerobic Gram-negative coccobacilli,1
Hanseniaspora uvarum,1
Alloprevotella tannerae,1
Brevibacterium otitidis,1
Prevotella dentalis,1
Staphylococcus cohnii subspecies urealyticus,1
Staphylococcus condimenti,1
Staphylococcus equorum,1
Chryseobacterium taklimakanense,1
Clostridium scindens,1
Staphylococcus kloosii,1
Staphylococcus lentus,1
Haemophilus influenzae type A,1
Staphylococcus pasteuri,1
Graphium species,1
Candida membranifaciens,1
