Organism_Combination,Count,Year
Acinetobacter species | Coliform bacteria | Enterococcus species | Methicillin resistant Staphylococcus aureus | Providencia species | Pseudomonas aeruginosa | Stenotrophomonas maltophilia,1,2003
Mycobacterium tuberculosis,1,2003
Bacillus species | Escherichia coli | Pseudomonas aeruginosa,1,2003
Acinetobacter species | Candida albicans | Enterococcus faecalis | Enterococcus species | Pseudomonas aeruginosa | Staphylococcus epidermidis,1,2003
Gemella morbillorum | Klebsiella oxytoca,1,2003
Acinetobacter species | Bacillus species | Enterococcus species | Methicillin resistant Staphylococcus aureus | Yeast,1,2003
"Chryseobacterium indologenes | Enterococcus species | Fusarium species | Pseudomonas aeruginosa | Staphylococcus, coagulase negative | Trichosporon cutaneum | Yeast",1,2003
Candida albicans | Elizabethkingia meningoseptica | Klebsiella species | Pseudomonas aeruginosa | Yeast,1,2003
Enterobacter species | Pseudomonas aeruginosa,1,2003
Bacillus species | Elizabethkingia meningoseptica,1,2003
Bacillus cereus | Pseudomonas aeruginosa,1,2003
Candida albicans | Candida tropicalis | Pseudomonas aeruginosa | Stenotrophomonas maltophilia | Yeast,1,2003
Acinetobacter species | Klebsiella species | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa | Stenotrophomonas maltophilia,1,2003
Achromobacter xylosoxidans | Candida albicans,1,2003
Candida species | Enterococcus species | Escherichia coli | Salmonella group D | Staphylococcus epidermidis,1,2003
Candida albicans | Corynebacterium species | Escherichia coli | Yeast,1,2003
Clostridium perfringens | Enterococcus species | Klebsiella species | Morganella morganii,1,2003
Bacillus species | Klebsiella species | Pseudomonas aeruginosa,1,2003
Candida species | Escherichia coli | Methicillin resistant Staphylococcus aureus,1,2003
Flavobacterium species | Methicillin resistant Staphylococcus aureus | Pseudomonas species | Stenotrophomonas maltophilia,1,2003
Acinetobacter baumannii | Acinetobacter species | Methicillin resistant Staphylococcus aureus,1,2003
Candida albicans | Escherichia coli | Klebsiella oxytoca | Staphylococcus epidermidis,1,2003
Candida species | Enterococcus species | Klebsiella species | Stenotrophomonas maltophilia,1,2003
Acinetobacter species | Candida albicans | Candida species | Corynebacterium striatum | Enterococcus faecium | Escherichia coli | Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus | Morganella morganii | Pseudomonas aeruginosa | Pseudomonas species | Staphylococcus epidermidis | Stenotrophomonas maltophilia,1,2003
Enterococcus species | Escherichia coli | Methicillin resistant Staphylococcus aureus,1,2003
"Bacteroides fragilis group | Candida albicans | Candida species | Elizabethkingia meningoseptica | Enterococcus faecium | Enterococcus species | Escherichia coli | Pseudomonas aeruginosa | Staphylococcus, coagulase negative",1,2003
"Acinetobacter species | Candida albicans | Enterococcus faecalis | Enterococcus species | Staphylococcus, coagulase negative | Stenotrophomonas maltophilia | Yeast",1,2003
Acinetobacter species | Citrobacter species | Enterococcus species | Klebsiella species,1,2003
Bacteroides fragilis | Enterococcus species | Escherichia coli | Klebsiella species | Stenotrophomonas maltophilia,1,2003
"Acinetobacter baumannii | Acinetobacter species | Bacillus species | Candida albicans | Candida guilliermondii | Candida parapsilosis | Candida tropicalis | Citrobacter species | Enterobacter species | Enterococcus species | Methicillin resistant Staphylococcus aureus | Morganella morganii | Pichia kudriavzevii | Pseudomonas aeruginosa | Serratia species | Staphylococcus, coagulase negative | Stenotrophomonas maltophilia | Yeast",1,2003
Candida albicans | Candida species | Klebsiella pneumoniae | Klebsiella species,1,2003
"Enterobacter species | Klebsiella aerogenes | Methicillin resistant Staphylococcus aureus | Staphylococcus, coagulase negative",1,2003
Bacteroides species | Escherichia coli | Klebsiella oxytoca,1,2003
"Candida albicans | Enterobacter species | Enterococcus species | Klebsiella species | Staphylococcus, coagulase negative",1,2003
Escherichia coli | Staphylococcus epidermidis,1,2003
Candida albicans | Enterococcus faecalis | Escherichia coli | Methicillin resistant Staphylococcus aureus | Proteus mirabilis | Pseudomonas aeruginosa | Staphylococcus epidermidis,1,2003
Acinetobacter species | Bacteroides species | Methicillin resistant Staphylococcus aureus | Streptococcus constellatus,1,2003
Diphtheroids | Enterococcus species | Escherichia coli | Klebsiella species | Pseudomonas aeruginosa | Yeast,1,2003
"Acinetobacter species | Candida albicans | Enterobacter species | Enterococcus faecium | Enterococcus species | Escherichia coli | Haemophilus influenzae | Klebsiella pneumoniae | Klebsiella species | Proteus mirabilis | Pseudomonas species | Staphylococcus aureus | Staphylococcus, coagulase negative | Stenotrophomonas maltophilia",1,2003
Bacillus species | Escherichia coli | Klebsiella pneumoniae,1,2003
Gram-negative bacilli,1,2003
"Bacillus species | Enterobacter species | Enterococcus species | Escherichia coli | Haemophilus influenzae | Klebsiella pneumoniae | Staphylococcus, coagulase negative",1,2003
"Bacteroides species | Clostridium species | Escherichia coli | Staphylococcus, coagulase negative | Streptococcus, viridans group",1,2003
Acinetobacter species | Pseudomonas species,1,2003
Candida albicans | Candida species | Escherichia coli | Pseudomonas aeruginosa | Pseudomonas species,1,2003
Candida albicans | Candida species | Pichia kudriavzevii,1,2003
Candida albicans | Candida species | Enterococcus species | Escherichia coli | Klebsiella pneumoniae | Klebsiella species | Non-haemolytic streptococcus,1,2003
"Burkholderia cepacia | Candida albicans | Escherichia coli | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa | Staphylococcus, coagulase negative | Yeast",1,2003
Escherichia coli | Pseudomonas aeruginosa | Streptococcus milleri group,1,2003
Acinetobacter species | Candida albicans | Enterobacter species | Escherichia coli | Methicillin resistant Staphylococcus aureus,1,2003
"Acinetobacter species | Bacteroides species | Candida guilliermondii | Citrobacter species | Enterococcus species | Escherichia coli | Klebsiella oxytoca | Methicillin resistant Staphylococcus aureus | Staphylococcus, coagulase negative | Streptococcus agalactiae",1,2003
Acinetobacter species | Candida albicans | Pseudomonas aeruginosa | Pseudomonas species | Stenotrophomonas maltophilia,1,2003
Fusobacterium mortiferum | Streptococcus bovis group,1,2003
Flavobacterium species | Pseudomonas species | Staphylococcus epidermidis | Stenotrophomonas maltophilia,1,2003
Bacteroides species | Candida albicans | Chryseobacterium species | Escherichia coli,1,2003
"Bacillus species | Candida albicans | Candida glabrata | Enterobacter cloacae | Enterococcus faecium | Enterococcus species | Escherichia coli | Methicillin resistant Staphylococcus aureus | Staphylococcus, coagulase negative | Stenotrophomonas maltophilia",1,2003
Acinetobacter species | Candida albicans | Salmonella group D,1,2003
Escherichia coli | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa | Staphylococcus epidermidis,1,2003
Clostridium perfringens | Escherichia coli | Morganella morganii,1,2003
Candida albicans | Corynebacterium striatum | Escherichia coli | Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus | Pseudomonas species,1,2003
Haemophilus influenzae | Methicillin resistant Staphylococcus aureus,1,2003
Candida species | Diphtheroids | Prevotella bivia,1,2003
Bacillus species | Enterococcus species | Escherichia coli,1,2003
"Acinetobacter species | Bacillus species | Candida albicans | Candida glabrata | Enterococcus species | Haemophilus influenzae | Klebsiella species | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa | Staphylococcus, coagulase negative | Streptococcus, group F | Trichosporon species | Yeast",1,2003
Enterobacter species | Klebsiella pneumoniae | Klebsiella species,1,2003
"Acinetobacter baumannii | Candida albicans | Staphylococcus, coagulase negative",1,2003
Bacillus species | Candida species,1,2003
Bacteroides species | Enterococcus species | Escherichia coli | Klebsiella species | Methicillin resistant Staphylococcus aureus,1,2003
Bacillus species | Klebsiella pneumoniae,1,2003
Candida albicans | Escherichia coli | Klebsiella species | Pseudomonas aeruginosa | Staphylococcus aureus,1,2003
Acinetobacter species | Candida albicans | Candida species | Enterococcus species | Stenotrophomonas maltophilia,1,2003
Candida albicans | Candida species | Coliform bacteria | Enterococcus faecalis | Enterococcus species | Escherichia coli | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa,1,2003
Candida species | Candida tropicalis | Corynebacterium jeikeium | Klebsiella species | Pseudomonas aeruginosa | Pseudomonas species,1,2003
Candida albicans | Candida species | Haemophilus influenzae | Staphylococcus aureus | Staphylococcus epidermidis | Streptococcus pneumoniae,1,2003
Candida albicans | Enterococcus species | Escherichia coli | Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus | Yeast,1,2003
Acinetobacter species | Candida albicans | Enterococcus species | Klebsiella pneumoniae | Klebsiella species | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa,1,2003
Clostridium ramosum | Mycobacterium species | Mycobacterium tuberculosis,1,2003
Candida albicans | Candida tropicalis | Methicillin resistant Staphylococcus aureus | Mycobacterium tuberculosis complex | Yeast,1,2003
"Acinetobacter species | Candida parapsilosis | Citrobacter species | Coliform bacteria | Enterobacter species | Enterococcus species | Klebsiella pneumoniae | Klebsiella species | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa | Staphylococcus aureus | Staphylococcus, coagulase negative | Trichosporon species | Yeast",1,2003
Corynebacterium striatum | Escherichia coli,1,2003
"Coliform bacteria | Escherichia coli | Staphylococcus, coagulase negative | Stenotrophomonas maltophilia | Yeast",1,2003
Candida albicans | Escherichia coli | Proteus vulgaris,1,2003
Candida albicans | Candida species | Enterococcus species | Escherichia coli | Methicillin resistant Staphylococcus aureus | Staphylococcus aureus,1,2003
Bacillus species | Methicillin resistant Staphylococcus aureus | Staphylococcus epidermidis,1,2003
"Candida albicans | Methicillin resistant Staphylococcus aureus | Proteus mirabilis | Staphylococcus, coagulase negative | Stenotrophomonas maltophilia",1,2003
Acid-fast bacillus | Candida albicans | Candida species | Methicillin resistant Staphylococcus aureus | Mycobacterium tuberculosis | Staphylococcus epidermidis,1,2003
Bacillus species | Candida albicans | Sphingomonas paucimobilis | Yeast,1,2003
Candida albicans | Escherichia coli | Klebsiella species | Staphylococcus epidermidis,1,2003
Acinetobacter species | Enterobacter cloacae | Enterobacter species | Klebsiella pneumoniae | Pseudomonas aeruginosa | Staphylococcus aureus,1,2003
Acinetobacter baumannii | Candida albicans | Candida species | Pseudomonas aeruginosa,1,2003
Candida species | Stenotrophomonas maltophilia,1,2003
Acid-fast bacillus | Candida albicans | Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa,1,2003
Acinetobacter species | Candida albicans | Candida species | Coliform bacteria | Klebsiella pneumoniae | Klebsiella species | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa | Sphingomonas paucimobilis | Staphylococcus epidermidis | Stenotrophomonas maltophilia,1,2003
Acinetobacter species | Candida albicans | Diphtheroids | Enterococcus species | Escherichia coli | Klebsiella species | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa | Pseudomonas species | Stenotrophomonas maltophilia,1,2003
Candida albicans | Enterococcus species | Escherichia coli | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa | Staphylococcus epidermidis | Streptococcus agalactiae,1,2003
Candida species | Clostridium species | Enterococcus species | Escherichia coli | Klebsiella pneumoniae | Klebsiella species | Methicillin resistant Staphylococcus aureus | Staphylococcus aureus,1,2003
Coliform bacteria | Enterococcus species | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa | Staphylococcus epidermidis,1,2003
Enterococcus species | Morganella morganii | Providencia species | Providencia stuartii,1,2003
Acinetobacter species | Pseudomonas aeruginosa | Staphylococcus aureus | Streptococcus agalactiae,1,2003
Candida albicans | Candida glabrata | Candida species | Coliform bacteria | Enterococcus faecalis | Enterococcus faecium | Enterococcus species | Escherichia coli | Klebsiella species | Methicillin resistant Staphylococcus aureus | Staphylococcus epidermidis | Trichosporon species,1,2003
Bacteroides fragilis | Clostridium species | Klebsiella species | Peptostreptococcus species,1,2003
Candida species | Staphylococcus epidermidis,1,2003
Acinetobacter species | Diphtheroids | Methicillin resistant Staphylococcus aureus | Pseudomonas species | Staphylococcus epidermidis,1,2003
Eggerthella lenta | Enterococcus avium | Escherichia coli,1,2003
"Corynebacterium species | Enterobacter species | Enterococcus species | Proteus mirabilis | Pseudomonas aeruginosa | Staphylococcus, coagulase negative",1,2003
Acinetobacter species | Candida albicans | Candida species | Enterococcus species | Peptococcus species | Pseudomonas aeruginosa | Pseudomonas species | Staphylococcus epidermidis,1,2003
Aspergillus niger | Methicillin resistant Staphylococcus aureus,1,2003
Candida albicans | Klebsiella pneumoniae | Klebsiella species | Staphylococcus epidermidis,1,2003
Acinetobacter species | Candida albicans | Candida glabrata | Candida species | Escherichia coli | Klebsiella species | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa,1,2003
Candida albicans | Diphtheroids | Enterococcus faecalis | Enterococcus species | Klebsiella species | Methicillin resistant Staphylococcus aureus,1,2003
Acremonium species | Candida species | Coliform bacteria | Methicillin resistant Staphylococcus aureus,1,2003
Acinetobacter species | Candida albicans | Enterococcus species | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa | Stenotrophomonas maltophilia,1,2003
Bacteroides species,1,2003
Enterococcus species | Escherichia coli | Pseudomonas aeruginosa | Staphylococcus epidermidis,1,2003
Bacillus species | Candida albicans | Corynebacterium jeikeium | Staphylococcus epidermidis,1,2003
Bacillus species | Coliform bacteria | Escherichia coli | Staphylococcus species,1,2003
Candida albicans | Enterococcus species | Escherichia coli | Methicillin resistant Staphylococcus aureus | Proteus mirabilis | Pseudomonas aeruginosa | Stenotrophomonas maltophilia,1,2003
"Candida albicans | Klebsiella species | Staphylococcus, coagulase negative | Yeast",1,2003
"Diphtheroids | Escherichia coli | Staphylococcus, coagulase negative",1,2003
Acinetobacter species | Aeromonas species | Candida albicans | Escherichia coli | Klebsiella pneumoniae | Klebsiella species | Methicillin resistant Staphylococcus aureus,1,2003
Candida albicans | Escherichia coli | Methicillin resistant Staphylococcus aureus,1,2003
Acinetobacter species | Candida albicans | Klebsiella species | Methicillin resistant Staphylococcus aureus | Stenotrophomonas maltophilia,1,2003
Acinetobacter species | Candida albicans | Candida glabrata | Candida species | Enterococcus faecalis | Enterococcus species | Escherichia coli | Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa | Staphylococcus epidermidis | Stenotrophomonas maltophilia | Streptococcus constellatus,1,2003
Enterococcus faecalis | Klebsiella pneumoniae,1,2003
Bacillus species | Candida albicans | Enterococcus species | Mycobacterium species | Staphylococcus aureus | Yeast,1,2003
Candida albicans | Candida species | Methicillin resistant Staphylococcus aureus | Yeast,1,2003
Candida albicans | Corynebacterium urealyticum | Escherichia coli | Staphylococcus epidermidis | Yeast,1,2003
Enterobacter cloacae | Serratia species,1,2003
"Coliform bacteria | Enterococcus species | Klebsiella species | Morganella morganii | Proteus vulgaris | Staphylococcus, coagulase negative | Stenotrophomonas maltophilia | Yeast",1,2003
"Candida albicans | Staphylococcus, coagulase negative",1,2003
"Candida albicans | Enterobacter species | Escherichia coli | Methicillin resistant Staphylococcus aureus | Proteus vulgaris | Staphylococcus, coagulase negative | Yeast",1,2003
"Acinetobacter species | Alpha-haemolytic streptococcus | Enterococcus faecium | Methicillin resistant Staphylococcus aureus | Staphylococcus, coagulase negative",1,2003
"Candida tropicalis | Klebsiella pneumoniae | Klebsiella species | Staphylococcus, coagulase negative | Streptococcus, group G | Yeast",1,2003
"Enterobacter species | Enterococcus species | Escherichia coli | Klebsiella pneumoniae | Lactobacillus species | Morganella morganii | Plesiomonas shigelloides | Pseudomonas aeruginosa | Staphylococcus, coagulase negative",1,2003
"Staphylococcus, coagulase negative | Yeast",1,2003
Acinetobacter species | Candida albicans | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa,1,2003
Acinetobacter species | Bacillus species,1,2003
Enterococcus gallinarum | Enterococcus species | Escherichia coli,1,2003
Escherichia coli | Klebsiella species | Morganella morganii | Pseudomonas aeruginosa,1,2003
"Bacteroides fragilis | Escherichia coli | Klebsiella species | Methicillin resistant Staphylococcus aureus | Non-haemolytic streptococcus | Pseudomonas aeruginosa | Staphylococcus, coagulase negative | Streptococcus milleri group",1,2003
Proteus mirabilis,1,2003
Acinetobacter species | Bacillus species | Enterococcus species | Methicillin resistant Staphylococcus aureus | Stenotrophomonas maltophilia,1,2003
Escherichia coli | Yeast,1,2003
Klebsiella oxytoca,1,2003
"Candida albicans | Enterobacter species | Escherichia coli | Morganella morganii | Staphylococcus, coagulase negative",1,2003
Coliform bacteria | Klebsiella species,1,2003
Acinetobacter species | Anaerobic bacteria | Bacillus species | Bacteroides fragilis | Candida albicans | Citrobacter species | Enterococcus species | Escherichia coli | Klebsiella pneumoniae | Klebsiella species | Methicillin resistant Staphylococcus aureus | Proteus vulgaris | Stenotrophomonas maltophilia | Streptococcus milleri group | Yeast,1,2003
Acinetobacter species | Candida albicans | Coliform bacteria | Enterococcus faecalis | Enterococcus species | Escherichia coli | Haemophilus influenzae | Klebsiella species | Methicillin resistant Staphylococcus aureus | Morganella morganii | Pseudomonas aeruginosa | Stenotrophomonas maltophilia | Streptococcus milleri group | Yeast,1,2003
Candida species | Enterococcus species,1,2003
Candida albicans | Candida species | Enterococcus species | Escherichia coli,1,2003
Candida albicans | Methicillin resistant Staphylococcus aureus | Streptococcus intermedius,1,2003
Bacillus species | Candida guilliermondii | Streptococcus pneumoniae | Yeast,1,2003
Enterococcus faecalis | Escherichia coli | Pseudomonas aeruginosa,1,2003
Acinetobacter species | Klebsiella pneumoniae | Lactobacillus species | Methicillin resistant Staphylococcus aureus,1,2003
Candida albicans | Coliform bacteria | Klebsiella species,1,2003
Candida albicans | Methicillin resistant Staphylococcus aureus | Proteus vulgaris,1,2003
Acinetobacter species | Klebsiella pneumoniae | Klebsiella species | Micrococcus species,1,2003
Escherichia coli | Morganella morganii,1,2003
Coliform bacteria | Pseudomonas species | Staphylococcus epidermidis | Stenotrophomonas maltophilia,1,2003
Acinetobacter species | Klebsiella species | Methicillin resistant Staphylococcus aureus | Proteus penneri,1,2003
Candida albicans | Enterococcus species | Providencia species | Pseudomonas aeruginosa,1,2003
Acinetobacter baumannii | Lactobacillus,1,2003
Alpha-haemolytic streptococcus | Escherichia coli | Morganella morganii | Proteus species | Streptococcus milleri group,1,2003
Acinetobacter species | Candida albicans | Enterococcus faecium | Klebsiella pneumoniae | Klebsiella species | Methicillin resistant Staphylococcus aureus,1,2003
"Achromobacter xylosoxidans | Acinetobacter species | Anaerobic bacteria | Bacillus species | Bacteroides fragilis | Burkholderia cepacia | Candida albicans | Enterococcus species | Escherichia coli | Klebsiella species | Lactobacillus species | Methicillin resistant Staphylococcus aureus | Peptostreptococcus species | Pseudomonas aeruginosa | Staphylococcus, coagulase negative | Stenotrophomonas maltophilia",1,2003
Candida albicans | Candida species,1,2003
Candida albicans | Enterococcus species | Escherichia coli | Klebsiella pneumoniae,1,2003
Candida species | Corynebacterium striatum | Enterobacter cloacae | Pseudomonas aeruginosa,1,2003
Citrobacter species | Klebsiella pneumoniae | Klebsiella species,1,2003
Candida albicans | Stenotrophomonas maltophilia | Yeast,1,2003
Candida albicans | Enterococcus species | Klebsiella pneumoniae | Klebsiella species | Stenotrophomonas maltophilia | Yeast,1,2003
"Aeromonas species | Enterococcus casseliflavus | Enterococcus species | Escherichia coli | Morganella morganii | Pseudomonas species | Staphylococcus, coagulase negative | Stenotrophomonas maltophilia | Streptococcus bovis group",1,2003
Klebsiella pneumoniae | Klebsiella species | Morganella morganii | Neisseria species | Staphylococcus aureus | Streptococcus milleri group,1,2003
"Candida albicans | Candida parapsilosis | Enterobacter species | Escherichia coli | Methicillin resistant Staphylococcus aureus | Staphylococcus, coagulase negative | Yeast",1,2003
Candida albicans | Haemophilus influenzae | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa,1,2003
"Corynebacterium jeikeium | Staphylococcus aureus | Staphylococcus, coagulase negative",1,2003
Acinetobacter species | Methicillin resistant Staphylococcus aureus | Pseudomonas species,1,2003
Candida species | Escherichia coli | Streptococcus milleri group,1,2003
"Acinetobacter species | Alpha-haemolytic streptococcus | Bacillus species | Candida parapsilosis | Coliform bacteria | Diphtheroids | Enterococcus species | Escherichia coli | Methicillin resistant Staphylococcus aureus | Pasteurella species | Pseudomonas aeruginosa | Staphylococcus aureus | Staphylococcus, coagulase negative | Stenotrophomonas maltophilia | Yeast",1,2003
Acinetobacter species | Bacillus species | Candida albicans | Coliform bacteria | Klebsiella species | Pseudomonas aeruginosa,1,2003
"Escherichia coli | Staphylococcus, coagulase negative | Yeast",1,2003
Candida albicans | Candida species | Pseudomonas aeruginosa | Staphylococcus epidermidis,1,2003
Aeromonas hydrophila | Enterococcus species,1,2003
Acinetobacter species | Candida species | Coliform bacteria | Corynebacterium striatum | Pseudomonas aeruginosa | Pseudomonas species | Stenotrophomonas maltophilia,1,2003
Candida albicans | Coliform bacteria | Klebsiella pneumoniae | Klebsiella species,1,2003
Coliform bacteria | Diphtheroids | Enterococcus species | Escherichia coli,1,2003
Enterococcus species | Klebsiella pneumoniae | Klebsiella species | Methicillin resistant Staphylococcus aureus,1,2003
"Acinetobacter species | Escherichia coli | Pseudomonas aeruginosa | Staphylococcus aureus | Staphylococcus, coagulase negative | Yeast",1,2003
"Acinetobacter species | Candida albicans | Enterococcus faecium | Lactobacillus species | Staphylococcus, coagulase negative",1,2003
Candida albicans | Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus | Stenotrophomonas maltophilia,1,2003
"Enterococcus species | Escherichia coli | Methicillin resistant Staphylococcus aureus | Staphylococcus, coagulase negative | Stenotrophomonas maltophilia",1,2003
Methicillin resistant Staphylococcus aureus | Staphylococcus epidermidis,1,2003
Enterococcus species | Methicillin resistant Staphylococcus aureus | Trichoderma species,1,2003
"Mycobacterium, non-TB",1,2003
"Acinetobacter species | Aerococcus species | Aspergillus species | Candida albicans | Chryseobacterium indologenes | Elizabethkingia meningoseptica | Escherichia coli | Methicillin resistant Staphylococcus aureus | Mycobacterium species | Staphylococcus, coagulase negative | Streptococcus milleri group | Streptococcus, viridans group | Trichophyton rubrum",1,2003
Candida albicans | Enterococcus species | Salmonella group D,1,2003
Candida species | Coliform bacteria | Enterococcus faecalis | Methicillin resistant Staphylococcus aureus | Serratia species,1,2003
Candida albicans | Escherichia coli | Klebsiella pneumoniae,1,2003
"Candida albicans | Escherichia coli | Klebsiella aerogenes | Proteus vulgaris | Pseudomonas aeruginosa | Staphylococcus, coagulase negative",1,2003
Candida albicans | Candida tropicalis | Coliform bacteria | Enterococcus species | Pseudomonas aeruginosa,1,2003
Citrobacter youngae | Enterococcus faecalis | Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus | Proteus mirabilis,1,2003
Candida albicans | Candida parapsilosis | Coliform bacteria | Pseudomonas aeruginosa,1,2003
Acinetobacter species | Candida albicans | Escherichia coli | Methicillin resistant Staphylococcus aureus | Pseudomonas species,1,2003
Burkholderia cepacia | Enterococcus faecium | Enterococcus species | Escherichia coli | Morganella morganii | Plesiomonas shigelloides,1,2003
Candida albicans | Coliform bacteria | Methicillin resistant Staphylococcus aureus,1,2003
"Bacteroides fragilis | Candida albicans | Citrobacter koseri | Diphtheroids | Escherichia coli | Klebsiella pneumoniae | Klebsiella species | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa | Staphylococcus, coagulase negative",1,2003
Acinetobacter species | Candida albicans | Coliform bacteria,1,2003
Aspergillus fumigatus | Pseudomonas aeruginosa,1,2003
"Methicillin resistant Staphylococcus aureus | Staphylococcus aureus | Staphylococcus, coagulase negative",1,2003
Acinetobacter species | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa | Pseudomonas species,1,2003
Bacillus species | Burkholderia cepacia | Candida albicans | Klebsiella species | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa | Pseudomonas species | Stenotrophomonas maltophilia,1,2003
Micrococcus species,1,2003
